term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
negozio,true,negozio,shop,"shopping,commerce",masculine,singular,none,n/a,n/a,n/a,base lemma,"Vedo un negozio in centro.","I see a shop in the center."
un negozio,false,negozio,a shop,"shopping,commerce",masculine,singular,indefinite,un,un,n/a,,"Ho aperto un negozio vicino a casa.","I opened a shop near home."
il negozio,false,negozio,the shop,"shopping,commerce",masculine,singular,definite,il,il,n/a,,"Il negozio è chiuso oggi.","The shop is closed today."
negozi,false,negozio,shops,"shopping,commerce",masculine,plural,none,n/a,n/a,n/a,plural form,"Ci sono molti negozi in città.","There are many shops in the city."
i negozi,false,negozio,the shops,"shopping,commerce",masculine,plural,definite,i,i,n/a,,"I negozi chiudono la domenica.","The shops close on Sunday."
dei negozi,false,negozio,some shops,"shopping,commerce",masculine,plural,articulated_preposition,i,dei,di,,"Le insegne dei negozi sono nuove.","The shops' signs are new."
del negozio,false,negozio,of the shop,"shopping,commerce",masculine,singular,articulated_preposition,il,del,di,,"La vetrina del negozio è luminosa.","The shop's window is bright."
al negozio,false,negozio,to the shop,"shopping,commerce",masculine,singular,articulated_preposition,il,al,a,,"Vado al negozio domani.","I will go to the shop tomorrow."
ai negozi,false,negozio,to the shops,"shopping,commerce",masculine,plural,articulated_preposition,i,ai,a,,"Consegnerò i volantini ai negozi del quartiere.","I'll deliver the flyers to the shops in the neighborhood."
dal negozio,false,negozio,from the shop,"shopping,commerce",masculine,singular,articulated_preposition,il,dal,da,,"Prendo il pacco dal negozio.","I pick up the package from the shop."
dai negozi,false,negozio,from the shops,"shopping,commerce",masculine,plural,articulated_preposition,i,dai,da,,"Ho ricevuto feedback dai negozi della zona.","I received feedback from the shops in the area."
nel negozio,false,negozio,in the shop,"shopping,commerce",masculine,singular,articulated_preposition,il,nel,in,,"Ci sono luci nel negozio.","There are lights in the shop."
nei negozi,false,negozio,in the shops,"shopping,commerce",masculine,plural,articulated_preposition,i,nei,in,,"Troverai offerte nei negozi del centro.","You'll find deals in the shops downtown."
sul negozio,false,negozio,on the shop,"shopping,commerce",masculine,singular,articulated_preposition,il,sul,su,,"C'è un cartello sul negozio.","There is a sign on the shop."
sui negozi,false,negozio,on the shops,"shopping,commerce",masculine,plural,articulated_preposition,i,sui,su,,"Ho scritto articoli sui negozi locali.","I wrote articles about local shops."
col negozio,false,negozio,with the shop,"shopping,commerce",masculine,singular,articulated_preposition,il,col,con,common contraction,"Ho un accordo col negozio vicino.","I have an agreement with the nearby shop."
coi negozi,false,negozio,with the shops,"shopping,commerce",masculine,plural,articulated_preposition,i,coi,con,common contraction,"Collaboriamo coi negozi del quartiere.","We collaborate with the shops in the neighborhood."
