term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
parlare,True,parlare,to speak,verb,to speak,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; past participle 'parlato',Voglio parlare con te.,I want to speak with you.
parlando,False,parlare,to speak,verb,speaking,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto parlando adesso.,I am speaking now.
parlato,False,parlare,to speak,verb,spoken,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle masculine singular,Ho parlato con lei.,I spoke with her.
parlata,False,parlare,to speak,verb,spoken,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle feminine singular,La parte parlata è interessante.,The spoken part is interesting.
parlati,False,parlare,to speak,verb,spoken,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle masculine plural,I dialetti parlati qui sono tanti.,The spoken dialects here are many.
parlate,False,parlare,to speak,verb,spoken,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle feminine plural,Le lingue parlate in città sono molte.,The languages spoken in the city are many.
parlo,False,parlare,to speak,verb,I speak,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Parlo italiano ogni giorno.,I speak Italian every day.
parli,False,parlare,to speak,verb,you speak,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Parli molto velocemente.,You speak very quickly.
parla,False,parlare,to speak,verb,he speaks/she speaks/you (formal) speak,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lei parla lentamente.,You (formal) speak slowly.
parliamo,False,parlare,to speak,verb,we speak,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Parliamo dopo la riunione.,We speak after the meeting.
parlate,False,parlare,to speak,verb,you (plural) speak,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Parlate sempre tra voi.,You (plural) always speak among yourselves.
parlano,False,parlare,to speak,verb,they speak,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Parlano al telefono.,They speak on the phone.
parlavo,False,parlare,to speak,verb,I was speaking,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Parlavo spesso con mia nonna.,I often spoke with my grandmother.
parlavi,False,parlare,to speak,verb,you were speaking,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Parlavi di viaggi.,You talked about travel.
parlava,False,parlare,to speak,verb,he was speaking/she was speaking/you (formal) were speaking,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei parlava poco da giovane.,She spoke little when young.
parlavamo,False,parlare,to speak,verb,we were speaking,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Parlavamo fino a tardi.,We spoke until late.
parlavate,False,parlare,to speak,verb,you (plural) were speaking,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Parlavate di lavoro ogni giorno.,You (plural) talked about work every day.
parlavano,False,parlare,to speak,verb,they were speaking,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Parlavano sempre a bassa voce.,They always spoke in a low voice.
ho parlato,False,parlare,to speak,verb,I have spoken,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'parlato',Ho parlato con il capo.,I have spoken with the boss.
hai parlato,False,parlare,to speak,verb,you have spoken,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'parlato',Hai parlato con tua madre?,Have you spoken with your mother?
ha parlato,False,parlare,to speak,verb,he has spoken/she has spoken/you (formal) have spoken,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'parlato'; also used as formal 'Lei',Ha parlato con me.,He has spoken with me.
abbiamo parlato,False,parlare,to speak,verb,we have spoken,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'parlato',Abbiamo parlato ieri sera.,We spoke last night.
avete parlato,False,parlare,to speak,verb,you (plural) have spoken,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'parlato',Avete parlato con loro.,You (plural) have spoken with them.
hanno parlato,False,parlare,to speak,verb,they have spoken,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'parlato',Hanno parlato troppo.,They have spoken too much.
