token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO117	0	okay.	okay	linguistic	Intonation=Falling	Begin=1.33	_	_	_	_
0-1	BO117	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-2	BO117	0	sì.	sì	linguistic	Intonation=Falling	_	_	_	_	_
0-3	BO117	0	mi	mi	linguistic	_	_	_	_	_	_
0-4	BO117	0	dica.	dica	linguistic	Intonation=Falling	End=2.475	_	_	_	_
1-0	BO005	1	quindi	quindi	linguistic	_	Begin=2.69	_	_	_	_
1-1	BO005	1	eh	eh	linguistic	ProsodicLink=Yes	_	_	_	_	_
1-2	BO005	1	a:m	am	linguistic	_	_	0x1	_	_	_
1-3	BO005	1	ho	ho	linguistic	_	_	_	_	_	_
1-4	BO005	1	pensato	pensato	linguistic	_	_	_	_	_	_
1-5	BO005	1	di	di	linguistic	_	_	_	_	_	_
1-6	BO005	1	fare	fare	linguistic	_	_	_	_	_	_
1-7	BO005	1	la	la	linguistic	_	_	_	_	_	_
1-8	BO005	1	ricerca	ricerca	linguistic	_	_	_	_	_	_
1-9	BO005	1	in	in	linguistic	_	_	_	_	_	_
1-10	BO005	1	paragoni	paragoni	linguistic	_	_	_	_	_	_
1-11	BO005	1	delle	delle	linguistic	_	_	_	_	_	_
1-12	BO005	1	forme	forme	linguistic	_	_	_	_	_	_
1-13	BO005	1	di	di	linguistic	_	_	_	_	_	_
1-14	BO005	1	cortesia	cortesia	linguistic	_	_	_	_	_	_
1-15	BO005	1	e	e	linguistic	_	_	_	_	_	_
1-16	BO005	1	i	i	linguistic	_	_	_	_	_	_
1-17	BO005	1	suoi	suoi	linguistic	_	_	_	_	_	_
1-18	BO005	1	usi	usi	linguistic	_	_	_	_	_	_
1-19	BO005	1	tra	tra	linguistic	_	_	_	_	_	_
1-20	BO005	1	tra	tra	linguistic	_	_	_	_	_	_
1-21	BO005	1	spagnolo	spagnolo	linguistic	_	_	_	_	_	_
1-22	BO005	1	americano	americano	linguistic	_	_	_	_	_	_
1-23	BO005	1	ed	ed	linguistic	_	_	_	_	_	_
1-24	BO005	1	europeo.	europeo	linguistic	Intonation=Falling	End=9.34	_	_	_	_
2-0	BO117	2	a:h,	ah	linguistic	Intonation=WeaklyRising	Begin=9.42	0x1	_	_	_
2-1	BO117	2	benissimo.	benissimo	linguistic	Intonation=Falling	End=10.3	_	_	_	_
3-0	BO005	3	sì.	sì	linguistic	Intonation=Falling	Begin=10.5	_	_	_	_
3-1	BO005	3	ma	ma	linguistic	_	_	_	_	_	_
3-2	BO005	3	e:h	eh	linguistic	_	End=11.52	0x1	_	_	_
4-0	BO005	4	per	per	linguistic	_	Begin=11.66	_	_	_	_
4-1	BO005	4	essere	essere	linguistic	_	_	_	_	_	_
4-2	BO005	4	un	un	linguistic	_	_	_	_	_	_
4-3	BO005	4	po'	po'	linguistic	_	_	_	_	_	_
4-4	BO005	4	specifica	specifica	linguistic	_	_	_	_	_	_
4-5	BO005	4	perché	perché	linguistic	_	_	_	_	_	_
4-6	BO005	4	ci	ci	linguistic	_	_	_	_	_	_
4-7	BO005	4	sono	sono	linguistic	_	_	_	_	_	_
4-8	BO005	4	tante	tante	linguistic	_	_	_	_	_	_
4-9	BO005	4	cose	cose	linguistic	_	_	_	_	_	_
4-10	BO005	4	e	e	linguistic	_	_	_	_	_	_
4-11	BO005	4	h[o	ho	linguistic	_	_	_	_	_	1-2(0)
4-12	BO005	4	pensat]o:	pensato	linguistic	_	End=14.998	6x1	_	_	0-6(0)
5-0	BO117	5	[°u:	u	linguistic	Volume=Low	Begin=13.878	0x1	_	_	0-1(0)
5-1	BO117	5	sì.	sì	linguistic	Intonation=Falling|Volume=Low	_	_	_	_	0-2(0)
5-2	BO117	5	sì.°]	sì	linguistic	Intonation=Falling|Volume=Low	End=14.551	_	_	_	0-2(0)
6-0	BO005	6	al	al	linguistic	_	Begin=15.706	_	_	_	_
6-1	BO005	6	fatto	fatto	linguistic	_	_	_	_	_	_
6-2	BO005	6	di	di	linguistic	_	_	_	_	_	_
6-3	BO005	6	per	per	linguistic	_	_	_	_	_	_
6-4	BO005	6	esempio,	esempio	linguistic	Intonation=WeaklyRising	End=16.755	_	_	_	_
7-0	BO005	7	puoi	puoi	linguistic	_	Begin=16.945	_	_	_	_
7-1	BO005	7	o	o	linguistic	_	_	_	_	_	_
7-2	BO005	7	potresti,	potresti	linguistic	Intonation=WeaklyRising	End=18.055	_	_	_	_
8-0	BO117	8	>mh	mh	linguistic	_	Begin=18.226	_	Fast=0-2	_	_
8-1	BO117	8	mh<	mh	linguistic	_	End=18.574	_	Fast=0-2	_	_
9-0	BO005	9	e:h	eh	linguistic	_	Begin=18.848	0x1	_	_	_
9-1	BO005	9	cioè	cioè	linguistic	_	_	_	_	_	_
9-2	BO005	9	ag~	ag~	linguistic	Interrupted=Yes	_	_	_	_	_
9-3	BO005	9	>agli	agli	linguistic	_	_	_	Fast=0-4	_	_
9-4	BO005	9	usi	usi	linguistic	_	_	_	Fast=0-3	_	_
9-5	BO005	9	verbali<,	verbali	linguistic	Intonation=WeaklyRising	End=20.81	_	Fast=0-7	_	_
10-0	BO005	10	al	al	linguistic	_	Begin=21.31	_	_	_	_
10-1	BO005	10	fatto	fatto	linguistic	_	_	_	_	_	_
10-2	BO005	10	di	di	linguistic	_	_	_	_	_	_
10-3	BO005	10	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
10-4	BO005	10	usted	usted	linguistic	_	_	_	_	_	_
