text	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	group	sentence_1_it	sentence_1_en	sentence_2_it	sentence_2_en	sentence_3_it	sentence_3_en
posso	potere	VERB		31	4.5e-05	4579	0.006701	potere	VERB	V	ccomp	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	6a3185d3-9c4e-5e15-920f-13fe9c12cb97	ff3b0220-4e7f-52e4-a0f1-ea65b915736e	lemma=potere, pos=VERB	Lo finirò più velocemente che posso.	I'll finish it as quickly as I can.	Non ne posso più! Sono tre giorni che non dormo!	I can't take it anymore! I haven't slept for three days!	Io voglio aiutare se posso.	I want to help if I can.
puoi	potere	VERB		14	2e-05	4579	0.006701	potere	VERB	V	acl:relcl	Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin	20961f5b-17a3-58e9-a2b2-bac189743422	ff3b0220-4e7f-52e4-a0f1-ea65b915736e	lemma=potere, pos=VERB	Se puoi, vieni con noi.	If you can, come with us.	Certamente, puoi.	Of course, you may.	Se vuoi venire puoi.	If you want to come, you can.
potevo	potere	VERB		9	1.3e-05	4579	0.006701	potere	VERB	V	ccomp	Mood=Ind|Number=Sing|Person=1|Tense=Imp|VerbForm=Fin	a75aa51a-33d0-5ebf-8d38-64635bfe8d14	ff3b0220-4e7f-52e4-a0f1-ea65b915736e	lemma=potere, pos=VERB	Ho corso più veloce che potevo per prendere il treno.	I ran as fast as I could to catch the train.	Io ho fatto quello che potevo.	I have done what I could.	Io non potevo che ammirare il suo coraggio.	I could not but admire his courage.
poteva	potere	VERB		6	9e-06	4579	0.006701	potere	VERB	V	acl:relcl	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin	ceb4b509-99ef-5af1-9c24-f70fa972d9a7	ff3b0220-4e7f-52e4-a0f1-ea65b915736e	lemma=potere, pos=VERB	Tom ha fatto tutto quello che poteva.	Tom did all that he could.	Provò a correre il più veloce che poteva.	She tried to run as fast as she could.	Lei provò a correre il più veloce che poteva.	She tried to run as fast as she could.
può	potere	VERB		6	9e-06	4579	0.006701	potere	VERB	V	acl:relcl	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	6bb91f5b-eb49-5afd-bbc4-7f5a8f2033d6	ff3b0220-4e7f-52e4-a0f1-ea65b915736e	lemma=potere, pos=VERB	Se vuole venire può.	If you want to come, you can.	Si salvi chi può!	Everyone for themselves!	Venga il più velocemente che può.	Come as fast as you can.
potè	potere	VERB		5	7e-06	4579	0.006701	potere	VERB	V	acl:relcl	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin	6afea95f-c299-515a-95f6-fb83e64a85d9	ff3b0220-4e7f-52e4-a0f1-ea65b915736e	lemma=potere, pos=VERB	Tom fece tutto quello che potè.	Tom did all he could.	Lui fece tutto ciò che potè per proteggere suo figlio.	He did all he could to protect his son.	Fece tutto ciò che potè per proteggere suo figlio.	He did all he could to protect his son.
possiamo	potere	VERB		5	7e-06	4579	0.006701	potere	VERB	V	root	Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin	31dcb440-aa81-599c-a0d3-74f72b4d26fc	ff3b0220-4e7f-52e4-a0f1-ea65b915736e	lemma=potere, pos=VERB	Non possiamo che ammirare il suo coraggio.	We could not but admire his courage.	Facciamo ciò che dobbiamo perché possiamo.	We do what we must because we can.	Noi facciamo quello che dobbiamo perché possiamo.	We do what we must because we can.
potessi	potere	VERB		4	6e-06	4579	0.006701	potere	VERB	V	advcl	Mood=Ind|Number=Sing|Person=1|Tense=Imp|VerbForm=Fin	4903ceff-3857-5100-ac47-2f546aa234f4	ff3b0220-4e7f-52e4-a0f1-ea65b915736e	lemma=potere, pos=VERB	Io aiuterei se potessi.	I'd help if I could.	Aiuterei se potessi.	I'd help if I could.	Vorrei conoscere Tom se potessi.	I'd like to meet Tom if I could.
poterti	potere	VERB		3	4e-06	4579	0.006701	potere	VERB	V	advcl	VerbForm=Inf	84ae735c-bb5e-563f-9318-7c83424c272e	ff3b0220-4e7f-52e4-a0f1-ea65b915736e	lemma=potere, pos=VERB	Ho bisogno del tuo indirizzo per poterti mandare un regalo.	I need your address in order to send you a present.	Io ho bisogno del tuo indirizzo per poterti mandare un regalo.	I need your address in order to send you a present.	Temo di non poterti aiutare adesso.	I'm afraid I can't help you now.
potete	potere	VERB		3	4e-06	4579	0.006701	potere	VERB	V	acl:relcl	Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin	980b8894-b2f4-5c51-b242-9e9968c1fa8f	ff3b0220-4e7f-52e4-a0f1-ea65b915736e	lemma=potere, pos=VERB	Temo che non potete.	I'm afraid you can't.	Vente il più velocemente che potete.	Come as fast as you can.	Se volete venire potete.	If you want to come, you can.
