term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
momento,True,momento,moment,noun,moment,"Time & Temporal,Concepts & Ideas",,,masculine,singular,,,False,False,False,,,,,base lemma,Questo momento è importante.,This moment is important.,c43aad6469a8969d210fe919e024437acf23c968a9393170fd02d2581e3dabf4,1104.0,948787f819961bd49cdb3b32b88a3cda414d4dd063783c96a22dc64d82f3613b,1488.0,moh-MEHN-toh
un momento,False,momento,moment,noun,a moment,"Time & Temporal,Concepts & Ideas",,,masculine,singular,,,False,False,False,indefinite,un,un,,,"Dammi un momento, per favore.","Give me a moment, please.",4bba28b4268a5e99580bb9ed6e0932809d14117f9d5aed4269009f1eb3a91832,1248.0,cad38bf018ae5e32a9d815b5f6da6fbd3528121be752e35d3f5ac32b3e78eb96,1584.0,OON moh-MEHN-toh
il momento,False,momento,moment,noun,the moment,"Time & Temporal,Concepts & Ideas",,,masculine,singular,,,False,False,False,definite,il,il,,,Il momento è arrivato.,The moment has arrived.,3f44098d0f9b326b1ff8bdabb27eff7e4c64f3aeaa5b7b5997ce65e509086a32,1248.0,339ec42a2239dd29d417be40d88a2f2294d8441fd48db9093c0835f2b65cd801,1608.0,EEL moh-MEHN-toh
momenti,False,momento,moment,noun,moments,"Time & Temporal,Concepts & Ideas",,,masculine,plural,,,False,False,False,,,,,plural form,Ci sono momenti difficili.,There are difficult moments.,ea64707cf8f4db06a421929a699bd72bf75e0a3804effcb8b6aabef33061ecd3,1200.0,5cc2dfe6fb50bb280d9c4074e9feec4fd7b7a4218e2db70a2f31ac97938a9c74,1488.0,moh-MEHN-tee
i momenti,False,momento,moment,noun,the moments,"Time & Temporal,Concepts & Ideas",,,masculine,plural,,,False,False,False,definite,i,i,,,I momenti belli restano.,The good moments remain.,22c89dbb67a9178e9f1081f669b6714ca825a68d4833a1a98861f881be34628e,1344.0,846ba10cf95a8f8e0ff46ad1915eb72cd7fc31089ac6d328dbc296d4d5823282,1536.0,EE moh-MEHN-tee
dei momenti,False,momento,moment,noun,some moments,"Time & Temporal,Concepts & Ideas",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Raccontami dei momenti felici.,Tell me about some happy moments.,699bc368ed057f0c6549d544e52e5f893920ca926a0d3156425bafc3531d5364,1488.0,dce2f31f8457f4e21c5e5996f10c4f2f813e8598a3e9a6544c9b53b253b5dffc,1656.0,DAY moh-MEHN-tee
del momento,False,momento,moment,noun,of the moment,"Time & Temporal,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il significato del momento è chiaro.,The meaning of the moment is clear.,de19f1f2863d589afb8596080993a902a468c8da1fdacaf783820db3cec106c2,1368.0,bbc1ad1be9dd3dd70825f9386531adae321fd0fb7c8312525e59d12731ec3fa7,1656.0,DEHL moh-MEHN-toh
al momento,False,momento,moment,noun,at the moment,"Time & Temporal,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Al momento non posso parlare.,At the moment I cannot talk.,33b9776d5413e889a2a346c8892b8245411832517cad896ae574a9ff6f5c1b68,1344.0,32cd2e7b992186ceb307b9847f27fa6d0a4dfd745b5a81c64358195bd7fece3a,1584.0,AHL moh-MEHN-toh
ai momenti,False,momento,moment,noun,to the moments,"Time & Temporal,Concepts & Ideas",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Penso ai momenti passati.,I think about past moments.,dc0a84f41765a9a60f42519e3ebd8381e211f4f101b88e9a15af2980a65bde4f,1464.0,5f9682066b78a6022dadcf6fb208ea9b2dc2c1cd195353cfec7ae1eac0302a76,1608.0,EYE moh-MEHN-tee
dal momento,False,momento,moment,noun,from the moment,"Time & Temporal,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,"Dal momento che sei qui, iniziamo.","Since you are here, let's start.",2756c3e21ffa36b166e7ab433d30b5706f8a871b07ce40b2f03b8ba289f4e204,1440.0,d05306f9d0804395596252e57cf31fc2c9b3fc1e2ed348170f6e700edc0ab435,1680.0,DAHL moh-MEHN-toh
dai momenti,False,momento,moment,noun,from the moments,"Time & Temporal,Concepts & Ideas",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Dai momenti difficili nascono lezioni.,Lessons are born from difficult moments.,ac608bd92ed0dea24f7054d20f15ead5073f03da637f7c11198515b97b3fcada,1536.0,0dd58f8968938fde1fcc6a89d31de4d1c7ca15969e8df459caf910afbe3440d5,1680.0,DEYE moh-MEHN-tee
nel momento,False,momento,moment,noun,in the moment,"Time & Temporal,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,"Nel momento della verità, ha tremato.","At the moment of truth, he trembled.",bb31751eeac0657dea8f158d471edffd67676a84f576485a06e8d3d6d45f1990,1344.0,c1180ac5cefd11c34e33607f7e3c7fb7d28c8f19a18daa0cfb0af99598b44da1,1680.0,NEHL moh-MEHN-toh
nei momenti,False,momento,moment,noun,in the moments,"Time & Temporal,Concepts & Ideas",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Nei momenti giusti parla.,In the right moments he speaks.,14d4be765d9714e6a265a4776a7a2987c6b575bf054b3b1feef06dbfae62d997,1440.0,4374785d846dc94e95b8f3e24fb4f5136339c8cc6c538d5274f4377a2ce66892,1704.0,NAY moh-MEHN-tee
sul momento,False,momento,moment,noun,on the spot,"Time & Temporal,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Non decidere sul momento.,Do not decide on the spot.,3ba69010aa5d1718b4cec2245827674a40ec8f6d3d774fc7364ad1565468e5da,1368.0,5e6f2088f40e844c769bb232a2045fde05a49f119ae595bd29e36bbe8b88c11c,1752.0,SOOL moh-MEHN-toh
sui momenti,False,momento,moment,noun,about the moments,"Time & Temporal,Concepts & Ideas",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ci sono riflessioni sui momenti importanti.,There are reflections about important moments.,1fe6d227c03db31a85f772bf0c63e6fbd2c2ba4bf64be6ac5e511908a8173c0e,1632.0,03720eda49eb8cb8712e99927748893afb299ee3d3fc077a928b01e35e07bc91,1824.0,SWEE moh-MEHN-tee
col momento,False,momento,moment,noun,with the moment,"Time & Temporal,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,"Col momento giusto, tutto è possibile.","With the right moment, everything is possible.",a00a5301f762e44c3a1874191dac33ef43e9635c324411c9dfaa8454757f1d5b,1416.0,acd3576b55da0109b52effb0de94a29ac8e29af16b8ebf95e0a17fa782745684,1656.0,KOHL moh-MEHN-toh
coi momenti,False,momento,moment,noun,with the moments,"Time & Temporal,Concepts & Ideas",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Imparo coi momenti difficili.,I learn from difficult moments.,3d9ba777588af300f3fe9f2515d2b3aebf26c5a34dd8efa4fc7b071ee1e69121,1512.0,2848c032a59d1f09680633dc9ed4cde6fec0a8d53670dd815343a9bfd1b9bb4f,1704.0,KOY moh-MEHN-tee
