term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,pronunciation
dare,True,dare,to give,verb,to give,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,irregular verb; passato remoto 'diede'; past participle 'dato'; used with auxiliary avere,Voglio dare un regalo.,I want to give a gift.,DAH-reh
dando,False,dare,to give,verb,giving,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto dando una mano.,I am giving a hand.,DAHN-doh
dato,False,dare,to give,verb,given,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; used with auxiliary avere,L'ho dato.,I gave it.,DAH-toh
data,False,dare,to give,verb,given,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; feminine singular,L'ha data a Maria.,He gave it to Maria.,DAH-tah
dati,False,dare,to give,verb,given,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; masculine plural,Li ho dati.,I gave them.,DAH-tee
date,False,dare,to give,verb,given,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; feminine plural,Le ho date.,I gave them.,DAH-teh
do,False,dare,to give,verb,I give,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,irregular present,Io do il mio aiuto.,I give my help.,DOH
dai,False,dare,to give,verb,you give,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,irregular present,Tu dai sempre buoni consigli.,You give good advice.,DAHEE
dà,False,dare,to give,verb,he gives/she gives/you (formal) give,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,irregular present; also used as formal 'Lei',Lei dà buoni consigli.,She gives good advice.,DAH
diamo,False,dare,to give,verb,we give,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,irregular present,Noi diamo il via al progetto.,We give the go-ahead to the project.,DEEAH-moh
date,False,dare,to give,verb,you (plural) give,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,irregular present,Voi date troppa importanza.,You give too much importance.,DAH-teh
danno,False,dare,to give,verb,they give,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,irregular present,Loro danno una mano.,They give a hand.,DAHN-noh
davo,False,dare,to give,verb,I was giving/I used to give,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,regular imperfect stem,Io davo sempre regali.,I used to give gifts.,DAH-voh
davi,False,dare,to give,verb,you were giving,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,regular imperfect stem,Tu davi spesso consigli.,You used to give advice often.,DAH-vee
dava,False,dare,to give,verb,he was giving/she was giving/you (formal) were giving,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,regular imperfect; also used as formal 'Lei',Lui dava una mano quando poteva.,He used to give a hand when he could.,DAH-vah
