term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
arrivare,True,arrivare,to arrive,verb,to arrive,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; takes auxiliary essere in compound tenses,Voglio arrivare presto.,I want to arrive early.,314535e4f34e810d0f284044c3395f6e9689f15d36639133c8433694b5aee132,ab9dc72ebee3962404ca94c13ccb914c107888fbd10a20782939bc593827d729,1272.0,1440.0,ahr-ree-VAH-reh
arrivando,False,arrivare,to arrive,verb,arriving,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto arrivando adesso.,I am arriving now.,c624ddc517099da0230ec93bb045e9453901aa83d07491dfce767eea10135d58,5bf7f7c8e176b8dc514a7f949e6f0b246c040224ccf7eb8bb8231d73902b7ea3,1200.0,1584.0,ahr-ree-VAHN-doh
arrivato,False,arrivare,to arrive,verb,arrived,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; agrees with subject; used with auxiliary essere,Sono arrivato tardi.,I arrived late.,98fb3dde6b2d72b7fa95746a40f193dea24e78a024cdb6f82500a096d388ead6,2b9869c76ea4163cad7badad34efe0fc850c73afae3111d12ef656e945375b0e,1152.0,1512.0,ahr-ree-VAH-toh
arrivata,False,arrivare,to arrive,verb,arrived,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; agrees with subject; used with auxiliary essere,Sono arrivata tardi.,I arrived late.,d14eb7913247a191ebe12165b53cbc6c48be068a499776d47de1d7ddccc1fce6,2b9869c76ea4163cad7badad34efe0fc850c73afae3111d12ef656e945375b0e,1152.0,1512.0,ahr-ree-VAH-tah
arrivati,False,arrivare,to arrive,verb,arrived,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; agrees with subject; used with auxiliary essere,Siamo arrivati insieme.,We arrived together.,f49c68e8e671613b9b27d681ce76e8dedb98fd4e330a1c26b5b4c879a09eb9a0,2b9869c76ea4163cad7badad34efe0fc850c73afae3111d12ef656e945375b0e,1152.0,1512.0,ahr-ree-VAH-tee
arrivate,False,arrivare,to arrive,verb,arrived,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; agrees with subject; used with auxiliary essere,Siamo arrivate insieme.,We arrived together.,5ab61f088adb4f1e83815e3dea67a46da5362c05e6cd90d11ed1d241855a2b35,2b9869c76ea4163cad7badad34efe0fc850c73afae3111d12ef656e945375b0e,1152.0,1488.0,ahr-ree-VAH-teh
arrivo,False,arrivare,to arrive,verb,I arrive,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Arrivo tra cinque minuti.,I arrive in five minutes.,8e0d7326c8aee57d71e12e4353700c1403316bb2c96e5726e0d1feb232b954b4,533f615e8e104443f97d260713864b0deec10219453a099625f4c8eae66c5972,1248.0,1368.0,ahr-REE-voh
arrivi,False,arrivare,to arrive,verb,you arrive,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Arrivi in tempo ogni giorno.,You arrive on time every day.,780683bed6b6493344433c5b71aabda19b1a5bf7134b6c0f8615819cf7d90912,48c00858d93b8b9079fcb06cf988e5325e21b6874dc4eeac0d6dde3b6126388c,1320.0,1320.0,ahr-REE-vee
arriva,False,arrivare,to arrive,verb,he arrives/she arrives/you (formal) arrive,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal Lei,Lui arriva presto.,He arrives early.,9afcf711c1a02461c0e4e2c04f40f6d1847e8023bddf5c57fc23b09c21d6bdcd,277383282d0fb5486c6538e84de8acd6858597aac8c7d6422d82abb45b96e428,4944.0,1296.0,ahr-REE-vah
arriviamo,False,arrivare,to arrive,verb,we arrive,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Arriviamo al lavoro alle nove.,We arrive at work at nine.,d424f1ca9a15254f9e9a3bdb08ea576f3fd14716ba55234799ae63b989abd17c,b1a440e2602590a70d2128e0f20380c3ac3a363b5556bd022ad21ffbef3065be,1320.0,1536.0,ahr-ree-VYAH-moh
arrivate,False,arrivare,to arrive,verb,you (plural) arrive,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Arrivate domani?,Do you arrive tomorrow?,5ab61f088adb4f1e83815e3dea67a46da5362c05e6cd90d11ed1d241855a2b35,fc8db2d390220a8e075fd4e08dc249661c33687d91d639104de4efcf098bb36e,2400.0,1488.0,ahr-ree-VAH-teh
arrivano,False,arrivare,to arrive,verb,they arrive,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Arrivano da Milano.,They arrive from Milan.,51d5c6d1f5c5be4454bb17a81d7b69f4c5755d60afd5efc220233ad71c151806,d64d19057a9e97aaa620016a7fd48d8e5a104a2b0f31b262e0bd928b73e43979,1320.0,1440.0,ahr-ree-VAH-noh
arrivavo,False,arrivare,to arrive,verb,I was arriving,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Arrivavo spesso in ritardo.,I was arriving often late.,59ad9d8707b41f6bd4ca18969ea794927919707688cbc5190e2d64a860d3be77,e58db1689f85f9de85df76af6c403294dfec63725990005c89bbc9adbeee7850,1488.0,1512.0,ahr-ree-VAH-voh
arrivavi,False,arrivare,to arrive,verb,you were arriving,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Arrivavi tardi da bambino.,You were arriving late as a child.,8cd6673b26cedb7da6bd28394487a3764535e95f435867d5fac5c0a4b9995799,30e82a0d3c2c1fadf54b54d74364afe96bbc02b38e10ff3fc2767f1b9babf6e4,1512.0,1488.0,ahr-ree-VAH-vee
