term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
affare,True,affare,deal,noun,deal,"work,business",,,masculine,singular,,,False,False,False,,,,,base lemma,Affare fatto.,Deal done.,bda64c3763a6a8c7f3215e56f1fc074bf910183fca7e89ac7253bf20d24e9193,93e953e970b78a0ab19e9e240597a371876c71c416a07e64bfc5af9690ee3153,1032.0,1344.0
un affare,False,affare,deal,noun,a deal,"work,business",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho un affare importante.,I have an important deal.,42a235b05b2db799d3e60aa62358efc5ccffd0fbe7a6ad45473fbf4380d5c400,51d7d862d219f8b3dc203589d3b180291392ab72ec0b830342a8ce13a74ba691,1152.0,1536.0
l'affare,False,affare,deal,noun,the deal,"work,business",,,masculine,singular,,,False,False,False,definite,l',l',,before vowel,L'affare è serio.,The deal is serious.,53fd5c1754a5a5adb7b99832d8cff65b627d732def4f4319e3efb147f8f95a11,e5bee0cc300e2e0302fa7d59ac447e7049aab2ee741453827f1b7f0b1fe3b245,1176.0,1440.0
affari,False,affare,deal,noun,deals/business,"work,business",,,masculine,plural,,,False,False,False,,,,,plural form,Faccio affari online.,I do business online.,e91910fa083f51048a4636bfb14c99d128af8d0b0ba9dbfd7c1e2f28ef0dcafc,5e234f4fde9de98281e8512945b8458f61e11a8742b432ad117984e4f57f25ab,2280.0,1368.0
gli affari,False,affare,deal,noun,the business,"work,business",,,masculine,plural,,,False,False,False,definite,gli,gli,,before vowel,Gli affari vanno bene.,Business is going well.,2803b50961b12d6be8403fe9d476a45237368338dd5fecc604b5beca77b0066c,c3dd64446da692d1a236975347dd91d19ae6cbb23a2033d7edd473eec01548fc,1344.0,1656.0
degli affari,False,affare,deal,noun,some business,"work,business",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Parliamo degli affari di famiglia.,We are talking about family business.,c2ad82a120a66c11b673c77b33b4d1337e9c24f86a2778ff9d8f7be76f3979f4,b00cf9327b29194e3f7554dd21741f7e97a322621b1213b6a68f5a3222fd075c,1440.0,1728.0
dell'affare,False,affare,deal,noun,of the deal,"work,business",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',Il prezzo dell'affare è ottimo.,The price of the deal is excellent.,048de245b5121f238ce8895ca4a702d6a0cd84427d21faa97fba4526a70ab31e,767a4b1ec03005e26e4fa6b9a07c217e3d961e2711200b3262cc4c448b6f2239,1272.0,1608.0
all'affare,False,affare,deal,noun,to the deal,"work,business",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Passiamo all'affare principale.,Let's get to the main deal.,2fca193ad5263e925c90229b82c461179499e89c1b4d3f3608b645bbb98f4a8b,003fdf7ede18ece9148dd9016bf0a824464c3bb3f8b6f0c930d527302adc00ee,1272.0,1536.0
agli affari,False,affare,deal,noun,to the business,"work,business",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Torniamo agli affari.,Back to business.,fe19091b8e16302ec48b4cb6e9c9462aa88b1e57cb508385e81df30d3a59c23c,101e6073048df3b457e38c2cbd873ff525717b453588ee0ff73b9ad8cdbc13f9,1464.0,1656.0
dall'affare,False,affare,deal,noun,from the deal,"work,business",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Sono uscito dall'affare.,I pulled out from the deal.,6136cb5956b31de8218156f722ecb2e61d9192e9f59b71362d15eff05d53685d,b050f08812bd06d5bc27ae6b163edc5874bf848c3cb75e4a8c68132685e91827,1344.0,1632.0
dagli affari,False,affare,deal,noun,from the business,"work,business",,,masculine,plural,,,False,False,False,articulated_preposition,gli,dagli,da,contraction of da + gli,Mi allontano dagli affari.,I am stepping away from business.,f92e771bc7af2daab5db0eb2aee0f34b09b96ca348c3015e69cca0d47410ec58,9eae0015de321f60533442bd675c0240cf2560df02a4bac9c61cc0e0927f7603,1512.0,1776.0
nell'affare,False,affare,deal,noun,in the deal,"work,business",,,masculine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',C'è un rischio nell'affare.,There is a risk in the deal.,909df641269e7ac1067702efb9d94e4434fc60644e145d36de43cb7f87b43359,84d16fcd3b1b54fb1c0e0e70bf92d5705bbaff065ee2be7db5e09ce746cd449b,1272.0,1632.0
negli affari,False,affare,deal,noun,in business,"work,business",,,masculine,plural,,,False,False,False,articulated_preposition,gli,negli,in,contraction of in + gli,È esperto negli affari.,He is experienced in business.,2738d65c00145293802e9501f63c8f7cc8712ea6ce512e7f85e28c63ccff61c2,12e81e04e9d5001d8c5a626f6ba38e75612fa4f0a647c28cc11bae0d5b9b4a13,1368.0,1728.0
sull'affare,False,affare,deal,noun,on the deal,"work,business",,,masculine,singular,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',Ho letto un articolo sull'affare.,I read an article about the deal.,5e80c1929b5fb93b0ccf1858419622d1aac551be818c1399201d81c8d8052cb7,b072ba780e171ce1792e22035cad68d46d70a7dd7861336791fd3496a611404f,1296.0,1680.0
sugli affari,False,affare,deal,noun,about business,"work,business",,,masculine,plural,,,False,False,False,articulated_preposition,gli,sugli,su,contraction of su + gli,Ho dati sugli affari locali.,I have data about local business.,0a581c9ec21f5613397c0fa71ad4504df0a85cdb0b80fc2b5a6fbcea9f3ad516,d14b6781b963f76f7af0222b283f186e65c7ecb718f36a791e070bfb363b82e9,1536.0,1848.0
con l'affare,False,affare,deal,noun,with the deal,"work,business",,,masculine,singular,,,False,False,False,articulated_preposition,l',con l',con,standard form without contraction,Ho a che fare con l'affare più grande.,I am dealing with the biggest deal.,19dbb4f57c0a540377c64eef1d58ebe92884f7471aec9a96618ab5d74602b6a1,684179109c186ab204302f44324c410c17763eaa014c858fd3a6a5f60b2866fe,1320.0,1632.0
con gli affari,False,affare,deal,noun,with business,"work,business",,,masculine,plural,,,False,False,False,articulated_preposition,gli,con gli,con,standard form without contraction,Lavoro con gli affari internazionali.,I work with international business.,731aa0bec7430551785e7c4fe1cf65ca5f5421e3957eeed62bffacf7e01453e4,ed33db6ca0d500067e049de52168d82391e1c25fc83d06a460bf4014c3910bf6,1416.0,1776.0
