english,italian
train,treno
a train,un treno
the train,il treno
the trains,i treni
an automobile,una macchina
the automobile,la macchina
the automobiles,le macchine
a taxi,un taxi
the taxi,il taxi
a ship,una nave
the ship,la nave
an airplain,un aereo
the airplain,l'aereo
the bus,l'autobus
a bus,un autobus
the bus stop,la fermata dell'autobus
a bus stop,una fermata dell'autobus
a ticket,un biglietto
the ticket,il biglietto
the ticket window / the ticket office,la biglietteria
an airport,un aeroporto
the airport,l'aeroporto
the flight,il volo
a connection,una coincidenza
the connection,la coincidenza
the connections,le coincidenze
the gate,l'uscita
the railway,la ferrovia
the station,la stazione
the railway station,la stazione ferroviaria
the bus terminal,il capolinea dell'autobus
the platform,il marciapiede
which platform,quale marciapiede
which track,quale binario
which traincar,quale carrozza
