term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
pasta,True,pasta,pasta,"food,dining",feminine,singular,none,,,,base lemma,Cucino pasta spesso.,I cook pasta often.
una pasta,False,pasta,a pastry,"food,dining",feminine,singular,indefinite,una,una,,as a pastry in cafés; for quantity use della,Prendo una pasta alla crema.,I'll have a cream pastry.
la pasta,False,pasta,the pasta,"food,dining",feminine,singular,definite,la,la,,,La pasta è al dente.,The pasta is al dente.
paste,False,pasta,pastas,"food,dining",feminine,plural,none,,,,plural form,Paste fresche oggi.,Fresh pastas today.
le paste,False,pasta,the pastas,"food,dining",feminine,plural,definite,le,le,,,Le paste sono fatte in casa.,The pastas are homemade.
delle paste,False,pasta,some pastas,"food,dining",feminine,plural,articulated_preposition,le,delle,di,,Assaggio delle paste ripiene.,I taste some stuffed pastas.
della pasta,False,pasta,of the pasta,"food,dining",feminine,singular,articulated_preposition,la,della,di,,Mangio della pasta.,I eat some pasta.
alla pasta,False,pasta,to the pasta,"food,dining",feminine,singular,articulated_preposition,la,alla,a,,Aggiungo salsa alla pasta.,I add sauce to the pasta.
alle paste,False,pasta,to the pastas,"food,dining",feminine,plural,articulated_preposition,le,alle,a,,Do forma alle paste.,I shape the pastas.
dalla pasta,False,pasta,from the pasta,"food,dining",feminine,singular,articulated_preposition,la,dalla,da,,Il profumo viene dalla pasta.,The smell comes from the pasta.
dalle paste,False,pasta,from the pastas,"food,dining",feminine,plural,articulated_preposition,le,dalle,da,,Sugo cola dalle paste.,Sauce drips from the pastas.
nella pasta,False,pasta,in the pasta,"food,dining",feminine,singular,articulated_preposition,la,nella,in,,C'è pepe nella pasta.,There is pepper in the pasta.
nelle paste,False,pasta,in the pastas,"food,dining",feminine,plural,articulated_preposition,le,nelle,in,,Erbe nelle paste fresche.,Herbs in the fresh pastas.
sulla pasta,False,pasta,on the pasta,"food,dining",feminine,singular,articulated_preposition,la,sulla,su,,Metto formaggio sulla pasta.,I put cheese on the pasta.
sulle paste,False,pasta,on the pastas,"food,dining",feminine,plural,articulated_preposition,le,sulle,su,,Sughi diversi sulle paste.,Different sauces on the pastas.
con la pasta,False,pasta,with the pasta,"food,dining",feminine,singular,articulated_preposition,la,con la,con,,Servo vino con la pasta.,I serve wine with the pasta.
con le paste,False,pasta,with the pastas,"food,dining",feminine,plural,articulated_preposition,le,con le,con,,Lavoro con le paste fresche.,I work with fresh pastas.
