term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
orario,True,orario,schedule,noun,schedule,"time,planning",,,masculine,singular,,,False,False,False,,,,,also 'timetable'/'opening hours',Cerco orario aggiornato.,I am looking for an updated schedule.,2450d091a8cc70c0fea84018f266880224b3483fda2dde5659f978b7c09a765f,935fd5e64b4e7390d444a8e22f98f4985645c7ab73248bd1e54df71b726f652c,1224.0,1392.0
un orario,False,orario,schedule,noun,a schedule,"time,planning",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho un orario flessibile.,I have a flexible schedule.,f89a66603c35a0c5005cb4d266627c01418c835438193b2b5c9f4c4a607cf7d1,135f1c356592ada20636837ae874878a7ade0323290791a1eccafa257c6f2534,1320.0,1560.0
l'orario,False,orario,schedule,noun,the schedule,"time,planning",,,masculine,singular,,,False,False,False,definite,l',l',,,L'orario è cambiato.,The schedule has changed.,2d39dc33b47fc11916e9b780b7b94656d6825e23591572a6a6d66aede3fd5db8,5a119da2b07669bdd03418b5ac3c56f0f757ceb3fe015e85d69b7334e9fb1f10,1368.0,1488.0
orari,False,orario,schedule,noun,schedules,"time,planning",,,masculine,plural,,,False,False,False,,,,,plural form,Orari nuovi sono online.,New schedules are online.,d9cc2796367e03493eb0716f120b053715537b5029128e67950af098a08be2d2,313d755ac6e6cac96e27adf09da7bdbf54d010013ac28ce75e13dcaa265d38db,1344.0,1272.0
gli orari,False,orario,schedule,noun,the schedules,"time,planning",,,masculine,plural,,,False,False,False,definite,gli,gli,,,Gli orari sono sul sito.,The schedules are on the website.,2610345cba9ec553fba2909cc319ce8159bb749eac3bfddb3b494e54854af868,0b6cdf04bc1cb6e4bbccea50ad27969611ea85977171d0bcdbb27969a9415313,1464.0,1584.0
degli orari,False,orario,schedule,noun,some schedules,"time,planning",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Ho visto degli orari diversi.,I saw some different schedules.,fd1066be25c783764b12ef54dff9ce0327682d778a783bea1dbef407c10443f3,c45f4ff13437434af72111eb33fa4008f9f3d4ba9efeec0bf2337fcf8b0924a7,1608.0,1632.0
dell'orario,False,orario,schedule,noun,of the schedule,"time,planning",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',L'aggiornamento dell'orario è online.,The update of the schedule is online.,850403fb119bb72b06866c6ed58bd3c6aeeaa3774a981a17b606a040c8170f02,6d9c5a3e32a6dd11e32ca2a83c0b3f17265465253ad6a85bed3944f0c3da8beb,1464.0,1632.0
all'orario,False,orario,schedule,noun,to the schedule,"time,planning",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Vai all'orario del bus.,Go to the bus schedule.,d5aab329f542be7359925d3371bb535531a82d29031e6f484bc0b9e666aac9e1,003246f89cb5460659f1e6d91e65a4d60e90896d474d16f9f1bfcb2cbafef270,1464.0,1584.0
agli orari,False,orario,schedule,noun,to the schedules,"time,planning",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Presta attenzione agli orari.,Pay attention to the schedules.,25bbccdd5852326d48d0edce1ec5da85690862fee8f09eb2d1642cf7330080b4,627bc01c3445d3bc34341775d73ce4a26ec1375ab5ddaa12004240805c7601fc,1584.0,1560.0
dall'orario,False,orario,schedule,noun,from the schedule,"time,planning",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Non uscire dall'orario consentito.,Do not go outside the permitted schedule.,b32391e838aa13b7b0ceb881d944f73126e3f99207fc1c25981081050658e645,16a3e61e9ee9d6192fb98dd88480e37041ef0d49610bc8657c044d31d1d1834f,1536.0,1656.0
dagli orari,False,orario,schedule,noun,from the schedules,"time,planning",,,masculine,plural,,,False,False,False,articulated_preposition,gli,dagli,da,contraction of da + gli,Le regole dipendono dagli orari.,The rules depend on the schedules.,ad538d4e5c9408e56edf5ee0c70ef64db250861b583b2a7c555dd23c3bd6004e,2dc9e1374bfff837d6f82233e9612f6a2f937d90feaca63e83fa141b86fdc3fa,1632.0,1680.0
nell'orario,False,orario,schedule,noun,in the schedule,"time,planning",,,masculine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',È scritto nell'orario.,It is written in the schedule.,85f7e921dad2a9ef8388fbb645e9c490be58dd1c74d6cb287642f6ce64c244ee,71e4e060365f13e43e2b783b9000d66b25b24cafcf3a6072f1efe486a9e3048b,1464.0,1632.0
negli orari,False,orario,schedule,noun,in the schedules,"time,planning",,,masculine,plural,,,False,False,False,articulated_preposition,gli,negli,in,contraction of in + gli,C'è un errore negli orari.,There is an error in the schedules.,ceebcd17cef94d43fe7ed00440f3ac18fe7ab58424615cc57ce795e15d7b5de9,9f6194bd56518224cc36860eff5c4a77d5c55f2a00b0b6536255b1035d57718b,1560.0,1632.0
sull'orario,False,orario,schedule,noun,about the schedule,"time,planning",,,masculine,singular,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',Ho un dubbio sull'orario.,I have a doubt about the schedule.,9c1aed508f584252efbd3c7c29b43ba8c520aef64eb47d45c6c818d1140d6d13,a37ee4859e85afbcabbeb45a18c05096314ecf630210a4a22c85df867349bb8f,1632.0,1704.0
sugli orari,False,orario,schedule,noun,about the schedules,"time,planning",,,masculine,plural,,,False,False,False,articulated_preposition,gli,sugli,su,contraction of su + gli,Hanno deciso sugli orari.,They decided about the schedules.,0e860514caa9a2c62c69c54c98e6035a0bcfdb3521c124ca4d5c1ac6c0bf6f3d,104c0d087d47d8648e5b138b121ba1519d70551154995dbaed5c72964c8724e9,1752.0,1752.0
con l'orario,False,orario,schedule,noun,with the schedule,"time,planning",,,masculine,singular,,,False,False,False,articulated_preposition,l',con l',con,simple preposition + article,Sono a posto con l'orario.,I am fine with the schedule.,b1ae5fedb866ea48dd1617dd044fda4f071e7487ac23762ad641d7dae91f53d1,c6db43caa11572fa94348a64843ba2b23e3d760f062e46f4aed14b2a84772103,1512.0,1656.0
con gli orari,False,orario,schedule,noun,with the schedules,"time,planning",,,masculine,plural,,,False,False,False,articulated_preposition,gli,con gli,con,simple preposition + article,Abbiamo problemi con gli orari.,We have problems with the schedules.,28fae029583049a2619599ecd07836540d971bebdd3dd350b0949ddf29523537,f1fa9898e506a63cd5e616028227c00b3e9a71263bc7af6953d05a10af42d01d,1608.0,1680.0
