gram2_key	count	substr	term_1	term_2	lemma_1	lemma_2	pos_1	pos_2
('non_non_ADV', 'è_essere_AUX')	1461	non è	non	è	non	essere	ADV	AUX
('ha_avere_AUX', 'detto_dire_VERB')	1391	ha detto	ha	detto	avere	dire	AUX	VERB
('detto_dire_VERB', 'che_che_SCONJ')	1385	detto che	detto	che	dire	che	VERB	SCONJ
('io_io_PRON', 'non_non_ADV')	1345	io non	io	non	io	non	PRON	ADV
('il_il_DET', 'suo_suo_DET')	1255	il suo	il	suo	il	suo	DET	DET
('è_essere_AUX', 'un_uno_DET')	1108	è un	è	un	essere	uno	AUX	DET
('la_il_DET', 'sua_suo_DET')	1021	la sua	la	sua	il	suo	DET	DET
('che_che_SCONJ', 'non_non_ADV')	1001	che non	che	non	che	non	SCONJ	ADV
('mi_mi_PRON', 'ha_avere_AUX')	924	mi ha	mi	ha	mi	avere	PRON	AUX
('io_io_PRON', 'sono_essere_AUX')	877	io sono	io	sono	io	essere	PRON	AUX
('a_a_ADP', 'casa_casa_NOUN')	845	a casa	a	casa	a	casa	ADP	NOUN
('è_essere_AUX', 'il_il_DET')	810	è il	è	il	essere	il	AUX	DET
('il_il_DET', 'mio_mio_DET')	807	il mio	il	mio	il	mio	DET	DET
('non_non_ADV', 'sono_essere_AUX')	794	non sono	non	sono	non	essere	ADV	AUX
('penso_pensare_VERB', 'che_che_SCONJ')	746	penso che	penso	che	pensare	che	VERB	SCONJ
('non_non_ADV', 'mi_mi_PRON')	696	non mi	non	mi	non	mi	ADV	PRON
('la_il_DET', 'mia_mio_DET')	696	la mia	la	mia	il	mio	DET	DET
('si_si_PRON', 'è_essere_AUX')	657	si è	si	è	si	essere	PRON	AUX
('è_essere_AUX', 'la_il_DET')	626	è la	è	la	essere	il	AUX	DET
('è_essere_AUX', 'una_uno_DET')	618	è una	è	una	essere	uno	AUX	DET
('disse_dire_VERB', 'che_che_SCONJ')	615	disse che	disse	che	dire	che	VERB	SCONJ
('bisogno_bisogno_NOUN', 'di_di_ADP')	586	bisogno di	bisogno	di	bisogno	di	NOUN	ADP
"(""c'_ci_PRON"", 'è_essere_VERB')"	560	c'è	c'	è	ci	essere	PRON	VERB
('quello_quello_PRON', 'che_che_PRON')	550	quello che	quello	che	quello	che	PRON	PRON
('non_non_ADV', 'lo_lo_PRON')	513	non lo	non	lo	non	lo	ADV	PRON
('è_essere_AUX', 'molto_molto_ADV')	480	è molto	è	molto	essere	molto	AUX	ADV
('a_a_ADP', 'me_me_PRON')	466	a me	a	me	a	me	ADP	PRON
('per_per_ADP', 'favore_favore_NOUN')	464	per favore	per	favore	per	favore	ADP	NOUN
('con_con_ADP', 'lei_lei_PRON')	457	con lei	con	lei	con	lei	ADP	PRON
"(""l'_lo_PRON"", 'ha_avere_AUX')"	455	l'ha	l'	ha	lo	avere	PRON	AUX
('lei_lei_PRON', 'è_essere_AUX')	451	lei è	lei	è	lei	essere	PRON	AUX
('per_per_ADP', 'piacere_piacere_NOUN')	445	per piacere	per	piacere	per	piacere	ADP	NOUN
"(""l'_lo_PRON"", 'ho_avere_AUX')"	432	l'ho	l'	ho	lo	avere	PRON	AUX
('perché_perché_PRON', 'non_non_ADV')	429	perché non	perché	non	perché	non	PRON	ADV
('che_che_SCONJ', 'era_essere_AUX')	428	che era	che	era	che	essere	SCONJ	AUX
('è_essere_AUX', 'stato_essere_AUX')	411	è stato	è	stato	essere	essere	AUX	AUX
('il_il_DET', 'tuo_tuo_DET')	410	il tuo	il	tuo	il	tuo	DET	DET
('i_il_DET', 'suoi_suo_DET')	397	i suoi	i	suoi	il	suo	DET	DET
('non_non_ADV', 'era_essere_AUX')	384	non era	non	era	non	essere	ADV	AUX
('di_di_ADP', 'essere_essere_AUX')	380	di essere	di	essere	di	essere	ADP	AUX
"('un_uno_DET', ""po'_poco_PRON"")"	374	un po'	un	po'	uno	poco	DET	PRON
('con_con_ADP', 'lui_lui_PRON')	370	con lui	con	lui	con	lui	ADP	PRON
('non_non_ADV', 'ha_avere_AUX')	367	non ha	non	ha	non	avere	ADV	AUX
('andare_andare_VERB', 'a_a_ADP')	357	a	andare	a	andare	a	VERB	ADP
"(""po'_poco_PRON"", 'di_di_ADP')"	357	po' di	po'	di	poco	di	PRON	ADP
('io_io_PRON', 'ho_avere_AUX')	354	io ho	io	ho	io	avere	PRON	AUX
('non_non_ADV', 'ho_avere_VERB')	349	non ho	non	ho	non	avere	ADV	VERB
('questo_questo_PRON', 'è_essere_AUX')	346	questo è	questo	è	questo	essere	PRON	AUX
('non_non_ADV', 'ho_avere_AUX')	345	non ho	non	ho	non	avere	ADV	AUX
('parlare_parlare_VERB', 'con_con_ADP')	338	parlare con	parlare	con	parlare	con	VERB	ADP
('ha_avere_AUX', 'fatto_fare_VERB')	334	ha fatto	ha	fatto	avere	fare	AUX	VERB
"('un_uno_DET', ""po'_poco_ADV"")"	331	un po'	un	po'	uno	poco	DET	ADV
('lui_lui_PRON', 'è_essere_AUX')	328	lui è	lui	è	lui	essere	PRON	AUX
('la_il_DET', 'tua_tuo_DET')	327	la tua	la	tua	il	tuo	DET	DET
('dice_dire_VERB', 'che_che_SCONJ')	321	dice che	dice	che	dire	che	VERB	SCONJ
('che_che_DET', 'cosa_cosa_PRON')	316	che cosa	che	cosa	che	cosa	DET	PRON
('di_di_ADP', 'non_non_ADV')	303	di non	di	non	di	non	ADP	ADV
('il_il_DET', 'vostro_vostro_DET')	302	il vostro	il	vostro	il	vostro	DET	DET
('non_non_ADV', 'si_si_PRON')	293	non si	non	si	non	si	ADV	PRON
('ho_avere_AUX', 'detto_dire_VERB')	293	ho detto	ho	detto	avere	dire	AUX	VERB
('ha_avere_VERB', 'un_uno_DET')	291	ha un	ha	un	avere	uno	VERB	DET
('mi_mi_PRON', 'piace_piacere_VERB')	290	mi piace	mi	piace	mi	piacere	PRON	VERB
('a_a_ADP', 'scuola_scuola_NOUN')	285	a scuola	a	scuola	a	scuola	ADP	NOUN
('di_di_ADP', 'lei_lei_PRON')	283	di lei	di	lei	di	lei	ADP	PRON
('non_non_ADV', 'posso_potere_AUX')	280	non posso	non	posso	non	potere	ADV	AUX
('qual_qual_PRON', 'è_essere_AUX')	279	qual è	qual	è	qual	essere	PRON	AUX
('io_io_PRON', 'ho_avere_VERB')	279	io ho	io	ho	io	avere	PRON	VERB
('mi_mi_PRON', 'sono_essere_AUX')	272	mi sono	mi	sono	mi	essere	PRON	AUX
('piace_piacere_VERB', 'il_il_DET')	267	piace il	piace	il	piacere	il	VERB	DET
