term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
rallentare,True,rallentare,to slow down,verb,to slow down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; past participle 'rallentato',Devo rallentare.,I need to slow down.,51bbbf992390d89057008ea07c5b746fb50789849fbe19debdbac762f1f60870,1512.0,633cef419975961a4318d82faa6ab837ef89b52a1de4c53e9a3fd85c2c873a61,1656.0,rahl-lehn-TAH-reh
rallentando,False,rallentare,to slow down,verb,slowing down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,,,,gerund,,False,False,False,,,,,gerund form,Sto rallentando.,I am slowing down.,7a11c1a0667441129efa4b0535c6478397c6065c52c2cf961d9cbc4db4b1214f,1512.0,137549420343917fcbd148075fe18f287dca3dce102a48c9dd330676c03f287a,1776.0,rahl-lehn-TAHN-doh
rallentato,False,rallentare,to slow down,verb,slowed,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,,masculine,singular,participle,past,False,False,False,,,,,past participle (masculine singular),Ha rallentato la macchina.,He slowed down the car.,ff1e73d7dab46af4d5236b0be664e012b7fa08ec5ddcc2e76ddb53126ae9a28a,1104.0,e4176898af61d9f1dd1aab8503e8a1fab4f0b097e175332dd7309b3f6779a7e9,1752.0,rahl-lehn-TAH-toh
rallentata,False,rallentare,to slow down,verb,slowed,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,,feminine,singular,participle,past,False,False,False,,,,,past participle (feminine singular),La macchina è rallentata.,The car slowed down.,ff1e73d7dab46af4d5236b0be664e012b7fa08ec5ddcc2e76ddb53126ae9a28a,1104.0,14f072cb0e0b8a76ffa3d22f2f08820b7bb5973a22c9042a7b265898813f6603,1728.0,rahl-lehn-TAH-tah
rallentati,False,rallentare,to slow down,verb,slowed,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,,masculine,plural,participle,past,False,False,False,,,,,past participle (masculine plural),I veicoli sono rallentati.,The vehicles have slowed down.,ff1e73d7dab46af4d5236b0be664e012b7fa08ec5ddcc2e76ddb53126ae9a28a,1104.0,d10c6bc5522329e561c7f230b17ab771ac205db9f9ebe8c0c1b62ec95e660511,1728.0,rahl-lehn-TAH-tee
rallentate,False,rallentare,to slow down,verb,slowed,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,,feminine,plural,participle,past,False,False,False,,,,,past participle (feminine plural),Le ruote sono rallentate.,The wheels are slowed down.,ff1e73d7dab46af4d5236b0be664e012b7fa08ec5ddcc2e76ddb53126ae9a28a,1104.0,f7445ce8710a5d80fa978308785a6f60a1c987e3077ab44b92626f39a2943bbc,1704.0,rahl-lehn-TAH-teh
rallento,False,rallentare,to slow down,verb,I slow down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,1s,,singular,indicative,present,False,False,False,,,,,,Rallento quando vedo traffico.,I slow down when I see traffic.,f1d5cbd6fe8fa01cc03844e5d82272baf3a0eb229857b22613f8e9fe55a57a5b,1560.0,de603bfc9cbe92dfeffc1fea3fc860a28a4d55e080b386896673dbb6a853c7aa,1560.0,rahl-LEHN-toh
rallenti,False,rallentare,to slow down,verb,you slow down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,2s,,singular,indicative,present,False,False,False,,,,,,Tu rallenti troppo presto.,You slow down too early.,2532373a078fcfb1aa44a64e9be68d6dc495ca0a96426ab2ea8929b32601d523,1560.0,5aebfb7dbeea609d406b3c1973bc33173e44aecdaffffc5741a28645ea809292,1536.0,rahl-LEHN-tee
rallenta,False,rallentare,to slow down,verb,he slows down/she slows down/you (formal) slow down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui rallenta alla curva.,He slows down at the turn.,5d773d22b5642addf018df52f15d5f474faaa69f538cf839d62d7b34e57ee520,5664.0,3816ed079aca1b247c1720b9cde92a67996a0ad02399f2ff3ebe7b0b52a6f597,1536.0,rahl-LEHN-tah
rallenta,False,rallentare,to slow down,verb,you (singular informal) slow down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,2s,,singular,imperative,present,False,False,False,,,,,imperative (informal),Rallenta!,Slow down!,e7ecfd24186c40bbfe8516669c97b88c157575ac00d77f00a7d3971c5e8433ec,3552.0,3816ed079aca1b247c1720b9cde92a67996a0ad02399f2ff3ebe7b0b52a6f597,1536.0,rahl-LEHN-tah
rallentiamo,False,rallentare,to slow down,verb,we slow down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,1p,,plural,indicative,present,False,False,False,,,,,,Rallentiamo quando piove.,We slow down when it rains.,5deb32e9328e39a3ac11fe2de88900919e682bf6609b92910940ba01797be587,1584.0,077a44ad6d52603defb85e79c7f74667a7ce1b50f52e109ed94e1ca511ca6f4e,1752.0,rahl-lehn-TYAH-moh
rallentate,False,rallentare,to slow down,verb,you (plural) slow down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,2p,,plural,indicative,present,False,False,False,,,,,,Voi rallentate prima degli incroci.,You slow down before intersections.,cc6339901851aec64cf0460b6e944f77c12579687b4ffc559f6040a49b3e8253,2712.0,f7445ce8710a5d80fa978308785a6f60a1c987e3077ab44b92626f39a2943bbc,1704.0,rahl-lehn-TAH-teh
rallentano,False,rallentare,to slow down,verb,they slow down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,3p,,plural,indicative,present,False,False,False,,,,,,Loro rallentano per la nebbia.,They slow down because of the fog.,d63c20ed75c03bad568f0b039dbd852d574db7b75d8a7cc0273630ee2132102d,1584.0,42fb7b8ae9d4500aaa9c176c24b761a53e9c5c97fa3cabecab78e6b1a4229084,1656.0,rahl-lehn-TAH-noh
rallentavo,False,rallentare,to slow down,verb,I was slowing down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io rallentavo spesso lì.,I was often slowing down there.,b53955419ffbc536345f94ea6a9aa0f2dcef512e27a4b075bf7810ced727c3d5,1728.0,e11adb1d9f0605191980fe43db0a8d48395c9a5a6a430e2f4e924e334a62cbe9,1728.0,rahl-lehn-TAH-voh
rallentavi,False,rallentare,to slow down,verb,you were slowing down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu rallentavi prima della salita.,You were slowing down before the hill.,515078e57bdf738f410969dcb4447b3acd0f1b58b9676c2e057fb0694faa96f9,1800.0,3da2e5619768529a6d77514276e8f70ab1cfcbae0b169d5584b4d9b4db88d60f,1704.0,rahl-lehn-TAH-vee
rallentava,False,rallentare,to slow down,verb,he was slowing down/she was slowing down/you (formal) were slowing down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei rallentava sempre lì.,She was always slowing down there.,299588e9d002e866076e6f7a4c7f3f9e744624f25691093472611b7ac87ad4b9,6168.0,349d8c0d0c834aa947e8afb6e4790a771a4ebe1af17ef02029ff97cc5a0570f7,1704.0,rahl-lehn-TAH-vah
rallentavamo,False,rallentare,to slow down,verb,we were slowing down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Rallentavamo quando pioveva.,We were slowing down when it rained.,757bd204738a47b8cb0876adff3898a6e41de9cace7b08f321449c0c54611e24,1800.0,f23b41feb29f33c0dc89d6b61f41b0ef0cd8121a1a9124fafe567b90075587ca,1824.0,rahl-lehn-tah-VAH-moh
rallentavate,False,rallentare,to slow down,verb,you (plural) were slowing down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi rallentavate troppo tardi.,You were slowing down too late.,a4bbe579e8b6ae9f2a0a07c149d08e3ada1e4acfa3c51913d60088d6555400ec,2928.0,50da9b2d11f00d94246c8aeb0998bfe3bd29ca2070103c82a803c22214a05871,1824.0,rahl-lehn-tah-VAH-teh
rallentavano,False,rallentare,to slow down,verb,they were slowing down,"Adverbs & Particles,Directions & Position,Qualities & Descriptions,Verbs & Actions,Spotify Lessons",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro rallentavano davanti alla scuola.,They were slowing down in front of the school.,23cc2661b7d54f414f46bc51ca6128db6c1a69480276a2fe090a09b1dc0b090d,1800.0,40e3beedda2d79ada0864037ee0484e3546d17fbcd594928aeda326d4c62fbd5,1824.0,rahl-lehn-tah-VAH-noh
