gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3	translation_en
('sono_essere_AUX', 'colui_colui_PRON', 'che_che_PRON')	5	sono colui che	sono	colui	che	essere	colui	che	AUX	PRON	PRON	i am the one who
('hai_avere_AUX', 'detto_dire_VERB', 'loro_loro_PRON')	5	hai detto loro	hai	detto	loro	avere	dire	loro	AUX	VERB	PRON	you told them
('si_si_PRON', 'è_essere_AUX', 'fermato_fermare_VERB')	5	si è fermato	si	è	fermato	si	essere	fermare	PRON	AUX	VERB	he/she stopped
('bisogno_bisogno_NOUN', 'di_di_ADP', 'fare_fare_VERB')	5	bisogno di fare	bisogno	di	fare	bisogno	di	fare	NOUN	ADP	VERB	need to do
('nella_in_ADP', 'mia_mio_DET', 'squadra_squadra_NOUN')	5	nella mia squadra	nella	mia	squadra	in	mio	squadra	ADP	DET	NOUN	in my (feminine) team
('che_che_DET', 'cosa_cosa_PRON', 'stanno_stare_AUX')	5	che cosa stanno	che	cosa	stanno	che	cosa	stare	DET	PRON	AUX	what are they
('mi_mi_PRON', 'è_essere_AUX', 'sempre_sempre_ADV')	5	mi è sempre	mi	è	sempre	mi	essere	sempre	PRON	AUX	ADV	to me it has always
('che_che_PRON', 'li_li_PRON', 'ha_avere_AUX')	5	che li ha	che	li	ha	che	li	avere	PRON	PRON	AUX	that has them
('come_come_ADP', 'il_il_DET', 'pane_pane_NOUN')	5	come il pane	come	il	pane	come	il	pane	ADP	DET	NOUN	like the bread
('con_con_ADP', 'la_il_DET', 'mano_mano_NOUN')	5	con la mano	con	la	mano	con	il	mano	ADP	DET	NOUN	with the hand
('detto_dire_VERB', 'che_che_SCONJ', 'probabilmente_probabilmente_ADV')	5	detto che probabilmente	detto	che	probabilmente	dire	che	probabilmente	VERB	SCONJ	ADV	said that probably
('che_che_SCONJ', 'la_il_DET', 'gente_gente_NOUN')	5	che la gente	che	la	gente	che	il	gente	SCONJ	DET	NOUN	that people
('pensate_pensare_VERB', 'che_che_SCONJ', 'i_il_DET')	5		pensate	che	i	pensare	che	il	VERB	SCONJ	DET	you (plural) think that the
('hai_avere_AUX', 'imparato_imparare_VERB', 'a_a_ADP')	5	ha	hai	imparato	a	avere	imparare	a	AUX	VERB	ADP	you have learned to
('a_a_ADP', 'scuola_scuola_NOUN', 'domani_domani_ADV')	5	andare a scuola domani	a	scuola	domani	a	scuola	domani	ADP	NOUN	ADV	to go to school tomorrow
('frase_frase_NOUN', 'non_non_ADV', 'è_essere_AUX')	5	frase non è	frase	non	è	frase	non	essere	NOUN	ADV	AUX	the sentence is not
('su_su_ADP', 'di_di_ADP', 'te._te._PRON')	5	su di te.	su	di	te.	su	di	te.	ADP	ADP	PRON	about you
('davvero_davvero_ADV', 'preoccupato_preoccupato_ADJ', 'per_per_ADP')	5	davvero preoccupato per	davvero	preoccupato	per	davvero	preoccupato	per	ADV	ADJ	ADP	really worried about
('sono_essere_AUX', 'un_uno_DET', 'dottore_dottore_NOUN')	5	sono un dottore	sono	un	dottore	essere	uno	dottore	AUX	DET	NOUN	i am a doctor
('che_che_PRON', 'ho_avere_AUX', 'visto_vedere_VERB')	5	che ho visto	che	ho	visto	che	avere	vedere	PRON	AUX	VERB	that i saw
('qualche_qualche_DET', 'altra_altro_ADJ', 'parte_parte_NOUN')	5	qualche altra parte	qualche	altra	parte	qualche	altro	parte	DET	ADJ	NOUN	some other place
('da_da_ADP', 'qualche_qualche_DET', 'altra_altro_ADJ')	5	da qualche altra	da	qualche	altra	da	qualche	altro	ADP	DET	ADJ	from some other
('andate_andare_VERB', 'a_a_ADP', 'scuola_scuola_NOUN')	5	andate a scuola	andate	a	scuola	andare	a	scuola	VERB	ADP	NOUN	you (plural) go to school
('quello_quello_PRON', 'che_che_PRON', 'volete_volere_VERB')	5	quello che volete	quello	che	volete	quello	che	volere	PRON	PRON	VERB	what you (plural) want
('grado_grado_NOUN', 'di_di_ADP', 'contattare_contattare_VERB')	5	grado di contattare	grado	di	contattare	grado	di	contattare	NOUN	ADP	VERB	able to contact
('so_sapere_VERB', 'che_che_SCONJ', 'ha_avere_AUX')	5	so che ha	so	che	ha	sapere	che	avere	VERB	SCONJ	AUX	i know that he/she has
('un_uno_DET', 'albero_albero_NOUN', 'di_di_ADP')	5	un albero di	un	albero	di	uno	albero	di	DET	NOUN	ADP	a tree of
('mio_mio_DET', 'orologio_orologio_NOUN', 'è_essere_AUX')	5	mio orologio è	mio	orologio	è	mio	orologio	essere	DET	NOUN	AUX	my (masculine) watch is
('fatto_fare_VERB', 'per_per_ADP', 'me_me_PRON')	5		fatto	per	me	fare	per	me	VERB	ADP	PRON	made for me
"(""po'_poco_PRON"", 'di_di_ADP', 'riposo_riposo_NOUN')"	5	po' di riposo	po'	di	riposo	poco	di	riposo	PRON	ADP	NOUN	a bit of rest
('il_il_DET', 'mio_mio_DET', 'obiettivo_obiettivo_NOUN')	5	il mio obiettivo	il	mio	obiettivo	il	mio	obiettivo	DET	DET	NOUN	my (masculine) goal
('che_che_PRON', 'ha_avere_AUX', 'rotto_rompere_VERB')	5	che ha rotto	che	ha	rotto	che	avere	rompere	PRON	AUX	VERB	that he/she broke
('in_in_ADP', 'modo_modo_NOUN', 'strano_strano_ADJ')	5	in modo strano	in	modo	strano	in	modo	strano	ADP	NOUN	ADJ	in a strange way
('io_io_PRON', 'sto_essere_AUX', 'lavorando_lavorare_VERB')	5	io sto lavorando	io	sto	lavorando	io	essere	lavorare	PRON	AUX	VERB	i am working
('la_il_DET', 'gente_gente_NOUN', 'lo_lo_PRON')	5	la gente lo	la	gente	lo	il	gente	lo	DET	NOUN	PRON	the people it
('alla_a_ADP', 'vostra_vostro_DET', 'domanda_domanda_NOUN')	5	alla vostra domanda	alla	vostra	domanda	a	vostro	domanda	ADP	DET	NOUN	to your (you (plural); feminine) question
('di_di_ADP', 'se_se_PRON', 'stessa_stesso_ADJ')	5	di se stessa	di	se	stessa	di	se	stesso	ADP	PRON	ADJ	of herself
('non_non_ADV', 'hai_avere_AUX', 'fatto_fare_VERB')	5	non hai fatto	non	hai	fatto	non	avere	fare	ADV	AUX	VERB	you have not done
('pensa_pensare_VERB', 'che_che_SCONJ', 'dovrei_dovere_AUX')	5	pensa che dovrei	pensa	che	dovrei	pensare	che	dovere	VERB	SCONJ	AUX	he/she thinks i should
('voi_voi_PRON', 'lo_lo_PRON', 'sapete_sapere_VERB')	5	voi lo sapete	voi	lo	sapete	voi	lo	sapere	PRON	PRON	VERB	you (plural) know it
('piacciono_piacere_VERB', 'le_il_DET', 'mele_mela_NOUN')	5	piacciono le mele	piacciono	le	mele	piacere	il	mela	VERB	DET	NOUN	they like the apples
('la_il_DET', 'sua_suo_DET', 'religione_religione_NOUN')	5	la sua religione	la	sua	religione	il	suo	religione	DET	DET	NOUN	his/her (feminine) religion
('molto_molto_ADV', 'importante_importante_ADJ', 'per_per_ADP')	5	molto importante per	molto	importante	per	molto	importante	per	ADV	ADJ	ADP	very important for
