term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
dire,True,dire,to say,verb,to say,"core,communication",,,,,non-finite,infinitive,False,False,False,,,,,irregular verb; past participle 'detto',Voglio dire la verità.,I want to say the truth.
dicendo,False,dire,to say,verb,telling,"core,communication",,,,,gerund,,False,False,False,,,,,gerund form,Sto dicendo qualcosa.,I am saying something.
detto,False,dire,to say,verb,said,"core,communication",,,masculine,singular,participle,past,False,False,False,,,,,past participle; used with auxiliary avere,L'ho detto.,I have said it.
detta,False,dire,to say,verb,said,"core,communication",,,feminine,singular,participle,past,False,False,False,,,,,"past participle used attributively, feminine singular",La parola detta era vera.,The spoken word was true.
detti,False,dire,to say,verb,said,"core,communication",,,masculine,plural,participle,past,False,False,False,,,,,past participle masculine plural,I detti popolari sono antichi.,Proverbs are ancient.
dette,False,dire,to say,verb,said,"core,communication",,,feminine,plural,participle,past,False,False,False,,,,,past participle feminine plural,Le parole dette erano sincere.,The words said were sincere.
dico,False,dire,to say,verb,I say,"core,communication",,1s,,singular,indicative,present,False,False,False,,,,,,Io dico la verità.,I say the truth.
dici,False,dire,to say,verb,you say,"core,communication",,2s,,singular,indicative,present,False,False,False,,,,,,Tu dici la verità.,You say the truth.
dice,False,dire,to say,verb,he says/she says/you (formal) say,"core,communication",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui dice sempre così.,He says that always.
diciamo,False,dire,to say,verb,we say,"core,communication",,1p,,plural,indicative,present,False,False,False,,,,,,Noi diciamo la verità.,We say the truth.
dite,False,dire,to say,verb,you (plural) say,"core,communication",,2p,,plural,indicative,present,False,False,False,,,,,,Voi dite sempre la verità.,You say the truth.
dicono,False,dire,to say,verb,they say,"core,communication",,3p,,plural,indicative,present,False,False,False,,,,,,Loro dicono il contrario.,They say the opposite.
dicevo,False,dire,to say,verb,I used to say,"core,communication",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io dicevo sempre la verità.,I used to always say the truth.
dicevi,False,dire,to say,verb,you used to say,"core,communication",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu dicevi spesso questo.,You used to say this often.
diceva,False,dire,to say,verb,he was saying/she was saying/you (formal) were saying,"core,communication",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lui diceva la verità.,He was saying the truth.
dicevamo,False,dire,to say,verb,we were saying,"core,communication",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi dicevamo le stesse cose.,We were saying the same things.
dicevate,False,dire,to say,verb,you (plural) were saying,"core,communication",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi dicevate cose strane.,You were saying strange things.
dicevano,False,dire,to say,verb,they were saying,"core,communication",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro dicevano la verità.,They were saying the truth.
dissi,False,dire,to say,verb,I said,"core,communication",,1s,,singular,indicative,passato remoto,False,False,False,,,,,,Io dissi tutto.,I said everything.
dicesti,False,dire,to say,verb,you said,"core,communication",,2s,,singular,indicative,passato remoto,False,False,False,,,,,,Tu dicesti la verità.,You said the truth.
disse,False,dire,to say,verb,he said/she said/you (formal) said,"core,communication",,3s,,singular,indicative,passato remoto,False,False,False,,,,,also used as formal 'Lei',Lui disse che era vero.,He said that it was true.
dicemmo,False,dire,to say,verb,we said,"core,communication",,1p,,plural,indicative,passato remoto,False,False,False,,,,,,Noi dicemmo la verità.,We said the truth.
diceste,False,dire,to say,verb,you (plural) said,"core,communication",,2p,,plural,indicative,passato remoto,False,False,False,,,,,,Voi diceste la verità.,You said the truth.
dissero,False,dire,to say,verb,they said,"core,communication",,3p,,plural,indicative,passato remoto,False,False,False,,,,,,Loro dissero la verità.,They said the truth.
dicessi,False,dire,to say,verb,I might say,"core,communication",,1s,,singular,subjunctive,imperfect,False,False,False,,,,,,Speravo che io dicessi la verità.,I hoped that I would tell the truth.
dicessi,False,dire,to say,verb,you might say,"core,communication",,2s,,singular,subjunctive,imperfect,False,False,False,,,,,,Speravo che tu dicessi la verità.,I hoped that you would say the truth.
dicesse,False,dire,to say,verb,he might say/she might say/you (formal) might say,"core,communication",,3s,,singular,subjunctive,imperfect,False,False,False,,,,,also used as formal 'Lei',Speravo che lui dicesse la verità.,I hoped that he would say the truth.
dicessimo,False,dire,to say,verb,we might say,"core,communication",,1p,,plural,subjunctive,imperfect,False,False,False,,,,,,Speravo che noi dicessimo la verità.,I hoped that we would say the truth.
diceste,False,dire,to say,verb,you (plural) might say,"core,communication",,2p,,plural,subjunctive,imperfect,False,False,False,,,,,,Speravo che voi diceste la verità.,I hoped that you would say the truth.
dicessero,False,dire,to say,verb,they might say,"core,communication",,3p,,plural,subjunctive,imperfect,False,False,False,,,,,,Speravo che loro dicessero la verità.,I hoped that they would say the truth.
ho detto,False,dire,to say,verb,I have said,"core,communication",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'detto',Ho detto la verità.,I have said the truth.
hai detto,False,dire,to say,verb,you have said,"core,communication",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'detto',Hai detto la verità.,You have said the truth.
