token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR006	0	okay	okay	linguistic	none	_	Begin=2.05	_	_	_	_
0-1	TOR006	0	ciao	ciao	linguistic	none	_	_	_	_	_	_
0-2	TOR006	0	come	come	linguistic	none	_	_	_	_	_	_
0-3	TOR006	0	ti	ti	linguistic	none	_	_	_	_	_	_
0-4	TOR006	0	chiami	chiami	linguistic	none	_	End=3.62	_	_	_	_
1-0	TOI033	1	ciao	ciao	linguistic	none	_	Begin=4.002	_	_	_	_
1-1	TOI033	1	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
1-2	TOI033	1	stefano,	stefano	linguistic	none	Intonation=WeaklyRising	End=4.99	_	_	_	_
2-0	TOR006	2	okay	okay	linguistic	none	_	Begin=5.178	_	_	_	_
2-1	TOR006	2	bene	bene	linguistic	none	_	End=6.01	_	_	_	_
3-0	TOR006	3	e:::	e	linguistic	none	_	Begin=6.35	0x3	_	_	_
3-1	TOR006	3	dunque	dunque	linguistic	none	_	_	_	_	_	_
3-2	TOR006	3	tu	tu	linguistic	none	_	_	_	_	_	_
3-3	TOR006	3	lavori	lavori	linguistic	none	_	_	_	_	_	_
3-4	TOR006	3	giust[o],	giusto	linguistic	none	Intonation=WeaklyRising	End=8.88	_	_	_	5-6(0)
4-0	TOI033	4	[es]atto	esatto	linguistic	none	_	Begin=8.84|End=9.41	_	_	_	0-2(0)
5-0	TOR006	5	che	che	linguistic	none	_	Begin=9.46	_	_	_	_
5-1	TOR006	5	lavoro	lavoro	linguistic	none	_	_	_	_	_	_
5-2	TOR006	5	fai	fai	linguistic	none	_	End=10.32	_	_	_	_
6-0	TOI033	6	faccio	faccio	linguistic	none	_	Begin=10.52	_	_	_	_
6-1	TOI033	6	il	il	linguistic	none	_	_	_	_	_	_
6-2	TOI033	6	carrozziere	carrozziere	linguistic	none	_	End=11.5	_	_	_	_
7-0	TOR006	7	okay,	okay	linguistic	none	Intonation=WeaklyRising	Begin=11.85	_	_	_	_
7-1	TOR006	7	e:::	e	linguistic	none	_	_	0x3	_	_	_
7-2	TOR006	7	da	da	linguistic	none	_	_	_	_	_	_
7-3	TOR006	7	quanto	quanto	linguistic	none	_	_	_	_	_	_
7-4	TOR006	7	tempo?	tempo	linguistic	none	Intonation=Rising	End=14.63	_	_	_	_
8-0	TOI033	8	sono::	sono	linguistic	none	ProsodicLink=Yes	Begin=14.76	3x2	_	_	_
8-1	TOI033	8	ho	ho	linguistic	none	_	_	_	_	_	_
8-2	TOI033	8	iniziato	iniziato	linguistic	none	_	_	_	_	_	_
8-3	TOI033	8	il	il	linguistic	none	_	_	_	_	_	_
8-4	TOI033	8	quinto	quinto	linguistic	none	_	_	_	_	_	_
8-5	TOI033	8	anno	anno	linguistic	none	_	End=16.4	_	_	_	_
9-0	TOI033	9	[quinto	quinto	linguistic	none	_	Begin=16.96	_	_	_	0-6(1)
9-1	TOI033	9	anno]	anno	linguistic	none	_	_	_	_	_	0-4(1)
9-2	TOI033	9	di	di	linguistic	none	_	_	_	_	_	_
9-3	TOI033	9	carrozzeria	carrozzeria	linguistic	none	_	End=18.03	_	_	_	_
10-0	TOR006	10	[okay]	okay	linguistic	none	_	Begin=16.96|End=17.61	_	_	_	0-4(1)
11-0	TOR006	11	okay	okay	linguistic	none	_	Begin=18.51	_	_	_	_
11-1	TOR006	11	mi	mi	linguistic	none	_	_	_	_	_	_
11-2	TOR006	11	puoi	puoi	linguistic	none	_	_	_	_	_	_
11-3	TOR006	11	spiegare	spiegare	linguistic	none	_	_	_	_	_	_
11-4	TOR006	11	qualcosa	qualcosa	linguistic	none	_	_	_	_	_	_
11-5	TOR006	11	sul	sul	linguistic	none	_	_	_	_	_	_
11-6	TOR006	11	tuo	tuo	linguistic	none	_	_	_	_	_	_
11-7	TOR006	11	lavoro,	lavoro	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
11-8	TOR006	11	cos[a	cosa	linguistic	none	_	_	_	_	_	3-4(2)
11-9	TOR006	11	fai],	fai	linguistic	none	Intonation=WeaklyRising	End=22.15	_	_	_	0-3(2)
12-0	TOI033	12	[sì	sì	linguistic	none	_	Begin=21.66	_	_	_	0-2(2)
12-1	TOI033	12	asso]lutamente	assolutamente	linguistic	none	_	_	_	_	_	0-4(2)
12-2	TOI033	12	la	la	linguistic	none	_	_	_	_	_	_
12-3	TOI033	12	mia	mia	linguistic	none	_	_	_	_	_	_
12-4	TOI033	12	mansione	mansione	linguistic	none	_	_	_	_	_	_
12-5	TOI033	12	è	è	linguistic	none	_	_	_	_	_	_
12-6	TOI033	12	detta	detta	linguistic	none	_	_	_	_	_	_
12-7	TOI033	12	montaggio	montaggio	linguistic	none	_	_	_	_	_	_
12-8	TOI033	12	e	e	linguistic	none	_	_	_	_	_	_
12-9	TOI033	12	smontaggio,	smontaggio	linguistic	none	Intonation=WeaklyRising	End=25.41	_	_	_	_
13-0	TOR006	13	mhmh,	mhmh	linguistic	none	Intonation=WeaklyRising	Begin=25.62|End=25.93	_	_	_	_
14-0	TOI033	14	quindi:::	quindi	linguistic	none	_	Begin=26.13	5x3	_	_	_
14-1	TOI033	14	smonto:::	smonto	linguistic	none	_	_	5x3	_	_	_
14-2	TOI033	14	parti:::	parti	linguistic	none	_	_	4x3	_	_	_
14-3	TOI033	14	di:	di	linguistic	none	_	_	1x1	_	_	_
14-4	TOI033	14	di	di	linguistic	none	_	_	_	_	_	_
14-5	TOI033	14	macchine:::	macchine	linguistic	none	_	_	7x3	_	_	_
14-6	TOI033	14	da:::	da	linguistic	none	_	End=31.48	1x3	_	_	_
15-0	TOI033	15	dal	dal	linguistic	none	_	Begin=31.95	_	_	_	_
15-1	TOI033	15	pezzo	pezzo	linguistic	none	_	_	_	_	_	_
15-2	TOI033	15	singolo	singolo	linguistic	none	_	_	_	_	_	_
15-3	TOI033	15	a	a	linguistic	none	_	_	_	_	_	_
15-4	TOI033	15	intere	intere	linguistic	none	_	_	_	_	_	_
15-5	TOI033	15	parti	parti	linguistic	none	_	_	_	_	_	_
15-6	TOI033	15	di	di	linguistic	none	_	_	_	_	_	_
15-7	TOI033	15	carrozzeria,	carrozzeria	linguistic	none	Intonation=WeaklyRising	End=34.52	_	_	_	_
16-0	TOR006	16	okay	okay	linguistic	none	_	Begin=34.75|End=35.46	_	_	_	_
17-0	TOI033	17	preparazione	preparazione	linguistic	none	_	Begin=35.5	_	_	_	_
17-1	TOI033	17	alla:	alla	linguistic	none	_	_	3x1	_	_	_
17-2	TOI033	17	alla	alla	linguistic	none	_	_	_	_	_	_
17-3	TOI033	17	riparazione,	riparazione	linguistic	none	Intonation=WeaklyRising	End=37.94	_	_	_	_
18-0	TOI033	18	[poi	poi	linguistic	none	_	Begin=38.03	_	_	_	0-3(3)
18-1	TOI033	18	di]	di	linguistic	none	_	_	_	_	_	0-2(3)
18-2	TOI033	18	montaggio	montaggio	linguistic	none	_	_	_	_	_	_
18-3	TOI033	18	e	e	linguistic	none	_	_	_	_	_	_
18-4	TOI033	18	rifinitura	rifinitura	linguistic	none	_	_	_	_	_	_
18-5	TOI033	18	macchina,	macchina	linguistic	none	Intonation=WeaklyRising	End=40.14	_	_	_	_
19-0	TOR006	19	[°mhmh°]	mhmh	linguistic	none	Volume=Low	Begin=38.079|End=38.436	_	_	_	0-4(3)
20-0	TOI033	20	e	e	linguistic	none	_	Begin=40.51	_	_	_	_
20-1	TOI033	20	poi	poi	linguistic	none	_	_	_	_	_	_
20-2	TOI033	20	infine	infine	linguistic	none	_	_	_	_	_	_
20-3	TOI033	20	la	la	linguistic	none	_	_	_	_	_	_
20-4	TOI033	20	consegna.	consegna	linguistic	none	Intonation=Falling	End=42.078	_	_	_	_
21-0	TOR006	21	okay	okay	linguistic	none	_	Begin=42.19|End=42.66	_	_	_	_
22-0	TOR006	22	e:::h	eh	linguistic	none	_	Begin=43.17	0x3	_	_	_
22-1	TOR006	22	quindi	quindi	linguistic	none	_	_	_	_	_	_
22-2	TOR006	22	cinque	cinque	linguistic	none	_	_	_	_	_	_
22-3	TOR006	22	anni,	anni	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
22-4	TOR006	22	quindi	quindi	linguistic	none	_	_	_	_	_	_
22-5	TOR006	22	in	in	linguistic	none	_	_	_	_	_	_
22-6	TOR006	22	pratica:	pratica	linguistic	none	_	End=46.4	6x1	_	_	_
23-0	TOR006	23	tu	tu	linguistic	none	_	Begin=46.57	_	_	_	_
23-1	TOR006	23	che:::	che	linguistic	none	_	_	2x3	_	_	_
23-2	TOR006	23	che	che	linguistic	none	_	_	_	_	_	_
23-3	TOR006	23	superiore	superiore	linguistic	none	_	_	_	_	_	_
23-4	TOR006	23	hai	hai	linguistic	none	_	_	_	_	_	_
23-5	TOR006	23	fatto?	fatto	linguistic	none	Intonation=Rising	End=48.93	_	_	_	_
24-0	TOI033	24	io	io	linguistic	none	_	Begin=48.98	_	_	_	_
24-1	TOI033	24	ho	ho	linguistic	none	_	_	_	_	_	_
24-2	TOI033	24	frequentato:::	frequentato	linguistic	none	_	_	10x3	_	_	_
24-3	TOI033	24	istituto	istituto	linguistic	none	_	_	_	_	_	_
