term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
dare,True,dare,to give,verb,to give,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; past participle 'dato'; used with auxiliary avere,Voglio dare questo libro.,I want to give this book.
dando,False,dare,to give,verb,giving,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto dando una mano.,I am giving a hand.
dato,False,dare,to give,verb,given,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,"past participle, masculine singular",L'ho dato.,I gave it.
data,False,dare,to give,verb,given,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,"past participle, feminine singular",L'ho data.,I gave it.
dati,False,dare,to give,verb,given,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,"past participle, masculine plural",Li ho dati.,I gave them.
date,False,dare,to give,verb,given,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,"past participle, feminine plural",Le ho date.,I gave them.
do,False,dare,to give,verb,I give,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io do il mio aiuto.,I give my help.
dai,False,dare,to give,verb,you give,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu dai buoni consigli.,You give good advice.
dà,False,dare,to give,verb,he gives/she gives/you (formal) give,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,present third singular accented 'dà'; also spelled da without accent informally,Lui dà il regalo.,He gives the gift.
diamo,False,dare,to give,verb,we give,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi diamo una mano.,We give a hand.
date,False,dare,to give,verb,you (plural) give,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi date sempre il massimo.,You give always your best.
danno,False,dare,to give,verb,they give,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,present irregular double 'n' in terza persona plural,Loro danno consigli.,They give advice.
davo,False,dare,to give,verb,I was giving,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io davo spesso regali.,I was giving gifts often.
davi,False,dare,to give,verb,you were giving,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu davi sempre una mano.,You were always giving a hand.
dava,False,dare,to give,verb,he was giving/she was giving/you (formal) were giving,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,,Lei dava buoni consigli.,She was giving good advice.
davamo,False,dare,to give,verb,we were giving,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi davamo tutto.,We were giving everything.
davate,False,dare,to give,verb,you (plural) were giving,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi davate attenzione.,You (plural) were giving attention.
davano,False,dare,to give,verb,they were giving,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro davano il massimo.,They were giving their best.
ho dato,False,dare,to give,verb,I have given,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; compound past,Ho dato il mio voto.,I have given my vote.
hai dato,False,dare,to give,verb,you have given,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; compound past,Hai dato tutto.,You have given everything.
ha dato,False,dare,to give,verb,he has given/she has given/you (formal) have given,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; also used as formal 'Lei',Ha dato una risposta.,He has given an answer.
abbiamo dato,False,dare,to give,verb,we have given,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; compound past,Abbiamo dato una mano.,We have given a hand.
avete dato,False,dare,to give,verb,you (plural) have given,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; compound past,Avete dato il meglio.,You (plural) have given the best.
hanno dato,False,dare,to give,verb,they have given,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; compound past,Hanno dato il permesso.,They have given permission.
demmo,False,dare,to give,verb,we gave,"core,verb",,1p,,plural,indicative,passato remoto,False,False,False,,,,,passato remoto irregular form 'demmo' (stem demm-),Noi demmo i documenti.,We gave the documents.
