term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
potere,True,potere,to be able to,verb,to be able to,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,modal verb; highly irregular; used with auxiliary avere; past participle potuto,Voglio potere partire.,I want to be able to leave.,a4dccee22b4d40543e739af6af55288346dca0975e23388245c6c7fc492df679,915a901b00ed698e2f3df3a1eee5e4556a158324d125351317958aec639250d2,1440.0,1344.0
potendo,False,potere,to be able to,verb,being able to,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form; usually followed by an infinitive,Non potendo entrare aspettiamo fuori.,Not being able to enter we wait outside.,63f2a671097fb04e2f7a338aedb98693e6245077c450ac7a66c63409127038f3,67851316f4b557e4ded9c83e531b4a75630b9c16947b08e37ab08a40a564d3c7,1512.0,1464.0
potuto,False,potere,to be able to,verb,been able to,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; used with auxiliary avere + infinitive,L'ho potuto fare.,I was able to do it.,9b962d0e9e13a3667f6355be9bc0a2f0bb6d13b38e592a1caf9a8fa368235719,6c7524c774ef9f166b88c3070b6567df2bf9a48e8ff521f9b06748ccc88ff9bc,1392.0,1392.0
potuta,False,potere,to be able to,verb,been able to,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; agreement may occur with preceding direct object pronoun,L'ho potuta vedere.,I was able to see her.,438b6b77132fb3e3a4f6a64e07a93067e72ca2eb6d17bdbc185b736b51729bec,6c7524c774ef9f166b88c3070b6567df2bf9a48e8ff521f9b06748ccc88ff9bc,1392.0,1368.0
potuti,False,potere,to be able to,verb,been able to,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; agreement may occur with preceding direct object pronoun,Li ho potuti aiutare.,I was able to help them.,dd071f3f99cf6260a10bfb84f8a2d3cc53f5fecb730c809d3f0d757b0e663c38,6c7524c774ef9f166b88c3070b6567df2bf9a48e8ff521f9b06748ccc88ff9bc,1392.0,1392.0
potute,False,potere,to be able to,verb,been able to,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; agreement may occur with preceding direct object pronoun,Le ho potute invitare.,I was able to invite them.,5d553ad72f8603097df71152a8785179c7d038cac3362129f72b1f3007ba2b9a,6c7524c774ef9f166b88c3070b6567df2bf9a48e8ff521f9b06748ccc88ff9bc,1392.0,1368.0
posso,False,potere,to be able to,verb,I can,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Posso venire domani.,I can come tomorrow.,be0c096ee718b869ff3ebf3fa8efd0192c3e617fc430d18d88643a2441bdc8d3,78b787dbad03d9b2bf848aa0dc18eac836c9a0c790b94199fca84c208eb94409,1152.0,1272.0
puoi,False,potere,to be able to,verb,you can,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Puoi chiamarmi dopo.,You can call me later.,c07652b2c55f11914f5ac61a4048772fc32d93ef98f9f51a443651a7b70c2443,0aa6f60bbf7966e884f903b929a4e6b9ae92b76a8c5d4c766d88ea2e94493fc1,1200.0,1128.0
può,False,potere,to be able to,verb,he can/she can/you (formal) can,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal Lei,Può aspettare un momento.,He can wait a moment.,ea95eba7cf38e7e8e3b2572a18d411072bc1288b92f46cf670658abfe178062a,5edb34576443a295f52a3db6c4c1dc3d4b0a5b723597739db55b483cfff9e282,4368.0,1008.0
possiamo,False,potere,to be able to,verb,we can,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Possiamo uscire presto.,We can go out early.,ab03fff48058c066b6d16184c7786d95253052d4829c862263816fefe512a6e4,bb54aa70dc7407c019bda5591c8683490af92ee4381e096e6b45c87374fcfc40,1200.0,1488.0
potete,False,potere,to be able to,verb,you (plural) can,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Potete sedervi qui.,You can sit here.,20f97502bad52a71935615ad74e3f4bc588eb6712599d1cef7967ef7177348c8,f83de2e94dd7a4cce05e4ade75139c0685007c3de21b5626fa55969d9b489401,2280.0,1368.0
possono,False,potere,to be able to,verb,they can,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Possono iniziare ora.,They can start now.,a37ca27b283319684c9fe13cc68f635f507dc97205543dc1a2a93ffae85d763c,34f38e3fdc560e9fa0bc2584cf923f8a3be1d334f320688453a4018f903223c3,1200.0,1416.0
potevo,False,potere,to be able to,verb,I could,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Potevo correre più veloce.,I could run faster.,e3f5088d9491b1e4ecf13db1baba5d2e955f6575a9af0419a5e00bbeb59f9e65,be23b1ccbe8f0ef04499b480fa6f20b8a6d418d5cb7fef6bc802392e46de86f4,1128.0,1392.0
potevi,False,potere,to be able to,verb,you could,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Potevi vedere il mare.,You could see the sea.,bfccf279ef4d2779d9cec4bba5920e634f4da814a7f093e2d00ab29a5c17aaf1,b7ca3d6d85e815b1f122007aae9bebec2eb64aa7d21da8d568440410634a8a9a,1176.0,1368.0
poteva,False,potere,to be able to,verb,he could/she could/you (formal) could,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal Lei,Poteva finire presto.,He could finish early.,58a06331dfe66771a849045e47d2292b8b32ac718e1c8ec1d20969b0382b54ee,67e9a3be468430e879d04cc87b5099413dd0679e6f9e6e1d2c12abc8c3d4b9a1,4200.0,1392.0
potevamo,False,potere,to be able to,verb,we could,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Potevamo aiutarti.,We could help you.,62ddbaee893c5e0a4e11f7cb6ce2768eb09575464f704ba420c70666e99513ad,bc7a8c1c36261b307d6f6f4e00008ab1610ed3e9ebe3007717dc7d206b07a961,1176.0,1560.0
potevate,False,potere,to be able to,verb,you (plural) could,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Potevate arrivare prima.,You could arrive earlier.,fecea0a37f591d57e101f95ff66f5a5136d7a3856062145f51db3d894eb1c4df,e2680a0868827f99f41ad1aeae58fcc12f8ad5304570f0bf1e23abae3e74a5e9,2232.0,1560.0
potevano,False,potere,to be able to,verb,they could,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Potevano capire tutto.,They could understand everything.,106484f4ac04bae06b658cae9e9ba7ef2428934547c580207711ff7a56e65e84,792b5f20745e01ad2d213f405b549c07ddb6a450e85c646b6af2bce345577e4f,1200.0,1512.0
ho potuto,False,potere,to be able to,verb,I have been able to,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; usually followed by an infinitive,Ho potuto parlargli.,I have been able to talk to him.,865648ad8ade99c124967644f87d4a08488de8c2ac45f412b00acecaa1c8f6ed,471f79f9e3369d541988e6d2f55ea6bf45404966fcd80ee91bdf08b974906b4b,1608.0,1488.0
hai potuto,False,potere,to be able to,verb,you have been able to,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; usually followed by an infinitive,Hai potuto dormire.,You have been able to sleep.,4f380b2bed45cb621e6b6ba787e4eb8172f93c2661dd881919f4d409ca932069,e077d9a91ed4de5746b44b726e6a6aee94586dea5be6b6791ad9319488a1bdb6,1656.0,1536.0
ha potuto,False,potere,to be able to,verb,he has been able to/she has been able to/you (formal) have been able to,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; also used as formal Lei,Ha potuto entrare.,He has been able to enter.,35f3b41c228072c8d72b08bb068f23474ea719682cd1bf519f738bcb46c4b4b9,629f76a7583562bd6248286a79cc7b32b23d52a36661ffab769cf11351478e96,6072.0,1512.0
abbiamo potuto,False,potere,to be able to,verb,we have been able to,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; usually followed by an infinitive,Abbiamo potuto vedere tutto.,We have been able to see everything.,f69e8bd86ceadcb1478904c774d4526d6923be570916c89c40b726d40161cf13,ee47b26c1178a4be06989559f07902f1f1d2febe1ca42f4bac2760eec6be4698,1680.0,1896.0
avete potuto,False,potere,to be able to,verb,you (plural) have been able to,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; usually followed by an infinitive,Avete potuto finire.,You have been able to finish.,4a905b5d03465a2310c5fa2d09eb4f509f97df989c1fee48f22c3fb4412e36aa,bd2d92697f99e8277b6246aeef7246d9abcf140dbb0c4a25f090c6f2956f265c,2808.0,1800.0
hanno potuto,False,potere,to be able to,verb,they have been able to,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; usually followed by an infinitive,Hanno potuto partire.,They have been able to leave.,cbcc11a32abbc04725547cacb2efaa4d0eb9095790cf99000a9d3cb985e30eef,f8fb847304afcee95c1f2e8e2736981efe09b9bed1421b287d0ebf8ca9401105,1680.0,1704.0
