term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
binario,True,binario,track,noun,track,"travel,transport",,,masculine,singular,,,False,False,False,,,,,railway term; also 'platform' at stations,Cerco binario otto.,I am looking for track eight.,912787c069e19800692cd9805176b2722d3e562282c38830b9c4f2552d56eac0,1032.0,7e0ffa1d3dbf59e8d26c36e502dd7f0b5ca24dfc0851a2d1a64282e0efb98304,1488.0,bee-NAH-ryoh
un binario,False,binario,track,noun,a track,"travel,transport",,,masculine,singular,,,False,False,False,indefinite,un,un,,,C'è un binario libero.,There is a free track.,a63758a8b80026d4c5f1ab7b79d8a5b41e4fe96e7b9188a95fda9b0da921f30c,1176.0,01e9ee1292f78837764afe9f97713e13a0908bdd97b5553ee28a1297866cbb40,1608.0,OON bee-NAH-ryoh
il binario,False,binario,track,noun,the track,"travel,transport",,,masculine,singular,,,False,False,False,definite,il,il,,,Il binario è affollato.,The track is crowded.,1958e88ac24051995ec83fed3fd66ab0572655c2be1641d9c2ddf4739f8a0d0c,1200.0,53744ee1c79008253fc9303198ee887f0da9551a78f2930bb5a3abb994fb0277,1608.0,EEL bee-NAH-ryoh
binari,False,binario,track,noun,tracks,"travel,transport",,,masculine,plural,,,False,False,False,,,,,plural form,Binari nuovi scricchiolano.,New tracks creak.,c610c650eaf1c94de5d27d1b3556c7cc27783aa9e739cd04f3909a220bd2a802,1176.0,778e87cec0a3a49af7b7223656039dc56ee6eb111937a9120378e7f0ac2a6851,1368.0,bee-NAH-ree
i binari,False,binario,track,noun,the tracks,"travel,transport",,,masculine,plural,,,False,False,False,definite,i,i,,,I binari sono bagnati.,The tracks are wet.,5a27368b87395215f49222da060de0bfa0ccb75c01d2342139323201afa1ad81,1320.0,dbaca725ea2dab97e13224e0b65513bbdcf7cd5bdab9431275b66502433f2e05,1440.0,EE bee-NAH-ree
dei binari,False,binario,track,noun,some tracks,"travel,transport",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Vedo dei binari arrugginiti.,I see some rusty tracks.,d36afa67795a7685e242066bc838a44ee0c3f9003bc64c6a3ae0145d868f90a8,1440.0,f218f48b36eebe745d1801105f33b9f6d99a4412ab1d9e64c3b39d24a03ff3a5,1560.0,DAY bee-NAH-ree
del binario,False,binario,track,noun,of the track,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,La fine del binario è chiusa.,The end of the track is closed.,1b5b926f621e2b4c3575fd3c07e2bdd6049534193f1233ff1b7d9f8436d21f98,1320.0,24adc9dbcc4af7eb47f3e84e63d1c06fb7f53dccb5d4d3cf77ca85e8b424d38f,1680.0,DEHL bee-NAH-ryoh
dei binari,False,binario,track,noun,of the tracks,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,dei,di,contraction of di + i,La mappa dei binari è aggiornata.,The map of the tracks is updated.,c4f177929f630af7ec1abeeacb1ca72d58dc72428ab6acf7daa0bc134f25f767,1440.0,f218f48b36eebe745d1801105f33b9f6d99a4412ab1d9e64c3b39d24a03ff3a5,1560.0,DAY bee-NAH-ree
al binario,False,binario,track,noun,to the track,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Corro al binario 3.,I run to track 3.,133b519ec6bb764cf3820667ed68a3ecfda993ecb5fe73764ee3d085d7eb9921,1296.0,f1d981ad0348f52f7cf6bc9c23549ec781202a6a539232f063d29e7330e27c31,1608.0,AHL bee-NAH-ryoh
ai binari,False,binario,track,noun,to the tracks,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,C'è un bar vicino ai binari.,There is a bar near the tracks.,022b506c15875d09cd6255121fe6e63fd7ee2bf1d5458ded36a3d84a89cabe62,1440.0,fbed4b2efb08d10e7d1f1a3ae41e54773e65739e77f72a28641755a7594dfa7a,1512.0,EYE bee-NAH-ree
