english,italian
a moment,un momento
a day,un giorno
a week,una settimana
a month,un mese
a year,un anno
today,oggi
tomorrow,domani
yesterday,ieri
now,ora / adesso
not now,non ora / non adesso
not yet,non ancora
this year,quest'anno
the next year,l'anno prossimo
the last year,l'anno scorso / lanno passato
the other day,l'altro giorno
in two days,fra due giorni / tra due giorni
within two days,entro due giorni
two days ago, due giorni fa
two times,due volte
three times,tre volte
one more time / another time,un'altra volta
another time,ancora / di nuovo
in time,cotempo
on time / on schedule,in orario
