term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
piatto,True,piatto,plate/flat,noun,plate,"core,food",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco piatto pulito.,I'm looking for a clean plate.,8787672f5141fe9f4ab7efa084118598c71d0f84719d81cbd2da0ed68d726ed8,1056.0,2a54fea05c0d2420282fb68c3093504a18788fba02979d7ef878c3d0e39bed14,1320.0,PYAHT-toh
un piatto,False,piatto,plate/flat,noun,a plate,"core,food",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Prendi un piatto.,Take a plate.,3b2293e7017993df24702baf739d2cddf29bfc1806319b3bb01b604878742e5b,1224.0,96a57850d3498d3006f728ad55bb98f64fbc42197397eb324caa8a4167441df0,1536.0,OON PYAHT-toh
il piatto,False,piatto,plate/flat,noun,the plate,"core,food",,,masculine,singular,,,False,False,False,definite,il,il,,,Il piatto è sporco.,The plate is dirty.,116a00a4fd481c5239ca0e316977a9baa8cb6f9df095ca48b8b0db7bf61cb67c,1224.0,7785d7fc03f452ff5234bd2479e219bfd3213d88bb471770b5410363aef43b37,1536.0,EEL PYAHT-toh
piatti,False,piatto,plate/flat,noun,plates,"core,food",,,masculine,plural,,,False,False,False,,,,,plural form,Vendono piatti artigianali.,They sell handcrafted plates.,1a43c50131cb78837816f30943383ad84146b81964d9d5d963c9a234a4e60bf3,1176.0,b4fdf5c5bed308a3adbaa48c696e51b00d2f407e2faa4f768726033a96dbe4ed,1320.0,PYAHT-tee
i piatti,False,piatto,plate/flat,noun,the plates,"core,food",,,masculine,plural,,,False,False,False,definite,i,i,,,I piatti sono sullo scaffale.,The plates are on the shelf.,2f6c6301b89e17469473cac9e6e489a02b95366f5efd89f9af70732605316777,1320.0,f0ecb501f51e06559deb43ab563e660ced1a941ba7343b54d067ff388e87b24a,1464.0,EE PYAHT-tee
dei piatti,False,piatto,plate/flat,noun,some plates,"core,food",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho visto dei piatti rotti.,I saw some broken plates.,c400924986996bd66837a1e1a153b3b74e7bcc150d1bf618b3a73c00ff44896d,1440.0,5c87d914f6a1237a948f621140c6defa0356f2a50fda78181cef45788440c52e,1608.0,DAY PYAHT-tee
del piatto,False,piatto,plate/flat,noun,of the plate,"core,food",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il colore del piatto è bianco.,The color of the plate is white.,beaf7f9c57ffd0fb91fc1d97dc84a65bc53b7c08e155ee0ba60f2558dbe8039a,1344.0,48e32212668cd6e8dfdb5418a42c55ec152eef40ef2675744ec945aed00e61e9,1608.0,DEHL PYAHT-toh
al piatto,False,piatto,plate/flat,noun,to the plate,"core,food",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Metti il pane al piatto.,Put the bread on the plate.,e8b140e52364cb5986a50b566def456bb3c0ffdefe32e3c71e9015b6961f72cf,1344.0,1503f005f523ce8116cc964b86b768aaaba53dec5f383db82ed6fbd5221d273a,1536.0,AHL PYAHT-toh
ai piatti,False,piatto,plate/flat,noun,to the plates,"core,food",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Aggiungi salsa ai piatti.,Add sauce to the plates.,0f002ffe9742ec9c90b0333fff8adceeda4e2d0a57f953a512a92f1e492533c4,1416.0,6d05e1ec6d24edb5e06b42dcfb75628f056f2d770b2deea36530db70923c5127,1536.0,EYE PYAHT-tee
dal piatto,False,piatto,plate/flat,noun,from the plate,"core,food",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Ho preso il cibo dal piatto.,I took the food from the plate.,d60cd5c96ccd3c5aecdbe006ec6e2721825124875778a68dcb2d6e67b92809c7,1416.0,806e880911918e33550f20b6202d3e7cc9c4aec21382914725d952a188598093,1608.0,DAHL PYAHT-toh
dai piatti,False,piatto,plate/flat,noun,from the plates,"core,food",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Tolgo le briciole dai piatti.,I remove the crumbs from the plates.,00b144c5c2e166039cae992e934eaef2b939c43d190e962e728194366bbad5d9,1512.0,ebeba4db4e3119bc8ff1650ace0b3fb3a752309dd48240c66849cfcf4b8f412f,1608.0,DEYE PYAHT-tee
nel piatto,False,piatto,plate/flat,noun,in the plate,"core,food",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,C'è una macchia nel piatto.,There is a stain in the plate.,fd7dd1864c979832d501d70b00d96c872a0de0eeef076d87fd374d26e1033a2e,1344.0,2852369d4ad9f1f5099bcffbd96ac7789cc59cfa556c836d2230dd8cf778cb05,1632.0,NEHL PYAHT-toh
nei piatti,False,piatto,plate/flat,noun,in the plates,"core,food",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Ci sono dei resti nei piatti.,There are leftovers in the plates.,9126853ba7329391ff77a3cc8173e6faf8b57b759ce51ccab4bc7939c65ff5c8,1416.0,67d7c4a74f8ba29d3061af0aee480e1da07a71f2cde33bb17c8b744f093f2283,1608.0,NAY PYAHT-tee
sul piatto,False,piatto,plate/flat,noun,on the plate,"core,food",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,La forchetta è sul piatto.,The fork is on the plate.,772cc3153aed8df1d87fe5344d99bcd735c29819826fa7f7072e88beb237d074,1344.0,0d8d35bcc337f013bf1bb7a29f603d4f13fba4b1c9b53849662e9b3d2d4a159b,1680.0,SOOL PYAHT-toh
sui piatti,False,piatto,plate/flat,noun,on the plates,"core,food",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Metti i tovaglioli sui piatti.,Put the napkins on the plates.,dcf42c4120dde36b63ea728e8845d8f56f411d5bf3bd185ba1a987f685390d2b,1440.0,ca16981cff8d9eee36266f8dbc72dd8a6aa68a471204ab4926c1129f9d8edf7b,1728.0,SWEE PYAHT-tee
col piatto,False,piatto,plate/flat,noun,with the plate,"core,food",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Mangia col piatto in mano.,He eats with the plate in his hand.,2b95f6e01bb608d051bfc73c03fa2b08190dc533675cde37981c342f682223bb,1416.0,11619fe210c45507133da0a8512e5568bfc8b66beaeb9016695d676ac3d88871,1608.0,KOHL PYAHT-toh
coi piatti,False,piatto,plate/flat,noun,with the plates,"core,food",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavo i bicchieri coi piatti.,I wash the glasses with the plates.,776690a8d210a06a5626b8cb58212deb6f3094fe2b84c2df96c61754b403c1d7,1488.0,0650767700ef543a5631819fe1df41d1d06ac63e87dc975acd8ea2a756bd4bb4,1608.0,KOY PYAHT-tee
