term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
prendere,true,prendere,to take,"actions,possession",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio prendere quel treno.","I want to take that train."
prendendo,false,prendere,taking,"actions,possession",non-finite,gerund,n/a,n/a,n/a,false,,"Sto prendendo appunti.","I am taking notes."
preso,false,prendere,taken (masculine singular),"actions,possession",non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses,"Il libro è stato preso.","The book was taken."
presa,false,prendere,taken (feminine singular),"actions,possession",non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses,"La decisione è stata presa.","The decision was taken."
presi,false,prendere,taken (masculine plural),"actions,possession",non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses,"I documenti sono stati presi.","The documents were taken."
prese,false,prendere,taken (feminine plural),"actions,possession",non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses,"Le valigie sono state prese.","The suitcases were taken."
prendo,false,prendere,I take,"actions,possession",indicative,present,1s,n/a,singular,false,,"Io prendo il caffè ogni mattina.","I take coffee every morning."
prendi,false,prendere,you take,"actions,possession",indicative,present,2s,n/a,singular,false,,"Tu prendi l'autobus.","You take the bus."
prende,false,prendere,he/she/it takes,"actions,possession",indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui prende sempre appunti.","He always takes notes."
prendiamo,false,prendere,we take,"actions,possession",indicative,present,1p,n/a,plural,false,,"Noi prendiamo decisioni insieme.","We make decisions together."
prendete,false,prendere,you (plural) take,"actions,possession",indicative,present,2p,n/a,plural,false,,"Voi prendete il treno domani.","You (plural) take the train tomorrow."
prendono,false,prendere,they take,"actions,possession",indicative,present,3p,n/a,plural,false,,"Loro prendono le lezioni online.","They take the lessons online."
prendevo,false,prendere,I was taking,"actions,possession",indicative,imperfect,1s,n/a,singular,false,,"Io prendevo sempre il sentiero lungo.","I always used to take the long path."
prendevi,false,prendere,you were taking,"actions,possession",indicative,imperfect,2s,n/a,singular,false,,"Tu prendevi parte alla riunione.","You were taking part in the meeting."
prendeva,false,prendere,he/she/it was taking,"actions,possession",indicative,imperfect,3s,n/a,singular,false,also 'you (formal)',"Lei prendeva appunti lentamente.","She was taking notes slowly."
prendevamo,false,prendere,we were taking,"actions,possession",indicative,imperfect,1p,n/a,plural,false,,"Noi prendevamo il sole in spiaggia.","We were sunbathing on the beach."
prendevate,false,prendere,you (plural) were taking,"actions,possession",indicative,imperfect,2p,n/a,plural,false,,"Voi prendevate decisioni affrettate.","You (plural) were making hasty decisions."
prendevano,false,prendere,they were taking,"actions,possession",indicative,imperfect,3p,n/a,plural,false,,"Loro prendevano le provviste per il viaggio.","They were taking supplies for the trip."
ho preso,false,prendere,I have taken / I took,"actions,possession",indicative,passato_prossimo,1s,masculine,singular,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable,"Ho preso il tuo libro.","I have taken your book."
ho preso,false,prendere,I have taken / I took,"actions,possession",indicative,passato_prossimo,1s,feminine,singular,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable,"Ho preso la tua giacca.","I have taken your jacket."
hai preso,false,prendere,you have taken / you took,"actions,possession",indicative,passato_prossimo,2s,masculine,singular,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable,"Hai preso il biglietto?","Did you take the ticket?"
hai preso,false,prendere,you have taken / you took,"actions,possession",indicative,passato_prossimo,2s,feminine,singular,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable,"Hai preso la mia borsa?","Did you take my bag?"
ha preso,false,prendere,he/she/it has taken / he/she/it took,"actions,possession",indicative,passato_prossimo,3s,masculine,singular,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable; also 'you (formal)',"Ha preso il treno stamattina.","He took the train this morning."
ha preso,false,prendere,he/she/it has taken / he/she/it took,"actions,possession",indicative,passato_prossimo,3s,feminine,singular,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable; also 'you (formal)',"Ha preso la decisione giusta.","She made the right decision."
abbiamo preso,false,prendere,we have taken / we took,"actions,possession",indicative,passato_prossimo,1p,masculine,plural,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable,"Abbiamo preso due taxi.","We took two taxis."
abbiamo preso,false,prendere,we have taken / we took,"actions,possession",indicative,passato_prossimo,1p,feminine,plural,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable,"Abbiamo preso le chiavi.","We took the keys."
avete preso,false,prendere,you (plural) have taken / you (plural) took,"actions,possession",indicative,passato_prossimo,2p,masculine,plural,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable,"Avete preso le foto?","Did you (pl.) take the photos?"
avete preso,false,prendere,you (plural) have taken / you (plural) took,"actions,possession",indicative,passato_prossimo,2p,feminine,plural,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable,"Avete preso le borse al controllo?","Did you (pl.) take the bags at security?"
hanno preso,false,prendere,they have taken / they took,"actions,possession",indicative,passato_prossimo,3p,masculine,plural,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable,"Hanno preso i soldi.","They took the money."
hanno preso,false,prendere,they have taken / they took,"actions,possession",indicative,passato_prossimo,3p,feminine,plural,true,uses auxiliary 'avere' to form compound tenses; past participle normally invariable,"Hanno preso le misure.","They took the measurements."
