term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
sorella,True,sorella,sister,noun,sister,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,,,,,regular feminine noun; plural 'sorelle',Mia sorella vive qui.,My sister lives here.,9595bbe1c65c1abdf44c830df6e1f7c4f01d4fd064f8e27d3183def9177aa01a,1152.0,c2c22d6b37c58930ff5340e207375c3e4b976197f7d693aacf51d3f2125b79e8,1488.0,soh-REH-llah
una sorella,False,sorella,sister,noun,a sister,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,indefinite,una,una,,indefinite singular article,Ho una sorella maggiore.,I have an older sister.,67876170dd474317a89de3f859c660bccd69cbb3c3d04db10e4551efc67d0512,1272.0,b70fc39003543c5c7e6fe8739259ab3f46a6a5a770c481f6ea8ae4edc2c29611,1680.0,OO-nah soh-REH-llah
la sorella,False,sorella,sister,noun,the sister,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,definite,la,la,,definite singular article,La sorella è simpatica.,The sister is nice.,2f4d79e7b42d547232d4328a0587fa7784491ca3b242d4dd4cdd9f23e0ddd531,1296.0,e224e062d10087be212d44ec2a2c1f73a01aef35dc23df6636d9a95595899853,1608.0,LAH soh-REH-llah
sorelle,False,sorella,sister,noun,sisters,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,,,,,plural form,Sorelle spesso litigano e poi fanno pace.,Sisters often argue and then make up.,3a6b9b0ff7edb01d7c89fd6696beff7e283eca3eda900b3ec9b70fbea8d06a0e,1224.0,cab5d0601224e604024bc5578c11d48c79e3c5042e5e2720356f0ece54043a10,1488.0,soh-REH-lleh
le sorelle,False,sorella,sister,noun,the sisters,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,definite,le,le,,definite plural article,Le sorelle sono in cucina.,The sisters are in the kitchen.,87d0aeb349dd6621c2612184092fa003b70cd9f74f43d795f5f641df55e36d6e,1368.0,db368a0d58329073ae0f59b238b60b78d6305e4c1378535731dfdb6717f59253,1584.0,LEH soh-REH-lleh
delle sorelle,False,sorella,sister,noun,some sisters,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Conosco delle sorelle al corso.,I know some sisters in the class.,d29c736c02e59832c3337856ac7060112eab61f0111c760af5c3f507e04138a1,1536.0,cc788160363fa7c812ed1b48a9a9760d4c357e7c57bbc3cb0885404194ad00a5,1776.0,DEH-lleh soh-REH-lleh
della sorella,False,sorella,sister,noun,of the sister,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il libro è della sorella.,The book belongs to the sister.,2191af9d178154fc8910f68a3a7ed5bf98a94cdcc181e72e62b7620d071e0577,1416.0,cae7f1241afdd93c6fcb750b4911c1303f718a9fc50aa5908c8e3b90f59ce7c2,1776.0,DEH-llah soh-REH-llah
alla sorella,False,sorella,sister,noun,to the sister,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Ho dato il regalo alla sorella.,I gave the gift to the sister.,d373f82b42a218235490c7294da6a686314d7bb8ec864df6abe23088f990ff20,1416.0,2cf92582459cd9c41712ac29d7c2eb145ad921850e1269ddd94bae2850a079fc,1704.0,AH-llah soh-REH-llah
alle sorelle,False,sorella,sister,noun,to the sisters,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Ho parlato alle sorelle.,I spoke to the sisters.,adccd24b2c0d96b4d50e699cdecd6ad2a1dd6ca807483110fbb07fcc26bf487b,1488.0,e93e4c5c404b9a517b3b26110194efb0010d0026ec80b0b0ffe8d5fbe7164d84,1680.0,AH-lleh soh-REH-lleh
dalla sorella,False,sorella,sister,noun,from the sister,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Ho ricevuto una lettera dalla sorella.,I received a letter from the sister.,40491d990282859bb6a4c28f270b66eafa48fd4256f01eb9ff90ae6b365e4787,1488.0,66d84500fae584a18d1728c54c945f96e765164a273a11a7f4658dddd1436032,1776.0,DAH-llah soh-REH-llah
dalle sorelle,False,sorella,sister,noun,from the sisters,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Le notizie vengono dalle sorelle.,The news comes from the sisters.,e0c1e1391bbc79501175fe17ce117f492c80e28659005402fa9e5867ed4f24ec,1560.0,e372bd186aaf6380cdc3996315fc6e614698789ebb619eee383e8678fde22213,1776.0,DAH-lleh soh-REH-lleh
nella sorella,False,sorella,sister,noun,in the sister,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Trovo conforto nella sorella.,I find comfort in the sister.,442e48c64d7ea1fa5a9c99d97900b5efa5c6fbe11b8b52b17086c7efafd12d48,1416.0,83b0debdfcf053018cd87a921de400d19ea206a2183d3be99ca3b341c2da9b40,1776.0,NEH-llah soh-REH-llah
nelle sorelle,False,sorella,sister,noun,in the sisters,"Family & Relationships,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Ci sono differenze nelle sorelle.,There are differences among the sisters.,53fc9467917dec2a73b65b113c5098c7e43112e77669fa336b2cbf46a44d0a9b,1488.0,65000a5b3fe8013983b523621765cb7c7fbb0da03390f1d71dc02b223933bf0b,1800.0,NEH-lleh soh-REH-lleh
