text	pronunciation	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	italian_audio_hash	english_audio_hash	italian_audio_duration_ms	english_audio_duration_ms
minacciato	mee-nahc-CHAH-toh	minacciare	VERB	threatened (masculine)	22	2.1e-05	64	6.1e-05	minacciare	VERB	V	root	Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part	abdd2275-5c65-5533-aee8-29cfc1573eea	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	07ff7866cf1fc643b7a363646c56a9f8b4b185513f15058d49ddc4e6e447a924	79dda1deb4da9dd43af2c593a560c43b980618c56368eb0fd6df157bdec8eb0e		
minacciò	mee-nahc-CHOH	minacciare	VERB	he/she/it threatened	12	1.1e-05	64	6.1e-05	minacciare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin	44fd66a7-0e00-5981-8e0e-bf9e0c7eaa0c	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	fc0dc9a7946823eb5eff0d63581d3ea22f9b35ff6501d03209c445528bcac221	c0626a774c49779c96dc8106d9f22a58b8621aac539102c5da122ea292455fac		
minacciando	mee-nahc-CHAHN-doh	minacciare	VERB	threatening	12	1.1e-05	64	6.1e-05	minacciare	VERB	V	root	VerbForm=Ger	017b6426-4013-536e-8a48-577cb120bc9c	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	e5da8c88cb3bc92b611232449cacad81a061716768901a9cd432c1cd1c83a8f4	61de35a3809acd8aa037c3528ceff212bcb468bcf270262e65ed70578027fc29		
minacciata	mee-nahc-CHAH-tah	minacciare	VERB	threatened (feminine)	6	6e-06	64	6.1e-05	minacciare	VERB	V	xcomp	Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part	cf1022c4-37c8-5704-86aa-9bdc9ebb5c73	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	4bd049b32064df50071d700be90b60516ca68a79852c2d07f2f0c161a9642fc9	0474b819c0ca0d450a22632a947a5688e69b9903b4028e03033c3ea5dd78d06e		
minacciate	mee-nahc-CHAH-teh	minacciare	VERB	threatened (feminine) (plural)	3	3e-06	64	6.1e-05	minacciare	VERB	V	xcomp	Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part	a8d7ba60-82b1-5d92-96c7-c261fb5d9428	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	730b4dfb7655200f5fb02fa5f3577866abb89598722f752f1b597a8144ed7483	f1e14aaf91be804ddd37886a2813306f6956fcdc22113bddefda8dc9fe9c76da		
minacciati	mee-nahc-CHAH-tee	minacciare	VERB	threatened (masculine) (plural)	3	3e-06	64	6.1e-05	minacciare	VERB	V	xcomp	Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part	76059058-ffe9-5f13-a08f-987305cc82c2	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	7cf2071896aa8902c6322042d586af440e489ae6154f518655b703ceeb984842	72cebf4b42edde022406248a67f748ac9771fd684adef4c55d5d17abb5fac236		
minacciare	mee-nahc-CHAH-reh	minacciare	VERB	to threaten	2	2e-06	64	6.1e-05	minacciare	VERB	V	root	VerbForm=Inf	316b36eb-e0e0-5697-a2d4-8495ed3abd2a	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	245259ce9adc08fcf2b7742c15c7cdc83ea896256d0ce48c70ee34ce6b64fe12	80a95c50cbc275c2f1ab6ab8b591e21c21c1d4887dfc19ae0a88164c885d09f5		
minacciava	mee-nahc-CHAH-vah	minacciare	VERB	he/she/it was threatening	1	1e-06	64	6.1e-05	minacciare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin	7658ba02-d839-5ff7-9791-d819cf75a8cb	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	8ba53e76221e8c6005b97ed3c255a14749ccfae1ae0451426017e074a275b7c4	46726db18ef57005e28b59f0ab2803796c4b4ba04b20eda2a68b48d8fdc41829		
minacci	mee-NAH-chee	minacciare	VERB	(you) threaten (formal)	1	1e-06	64	6.1e-05	minacciare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	41c2875d-75d2-5fd9-8d4f-defa0be71a84	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	79f93791abf83fc765c89de1c004dad2d9cb31ed1e3a642948cd409cc6fee66f	6a9793bd22a15a4028f166dfaa62834906663998c23d081285aa11c11d6b80ed		
minacciatemi	mee-nahc-CHAH-teh-mee	minacciare	VERB	threaten me (plural)	1	1e-06	64	6.1e-05	minacciare+mi	VERB+PRON	V	root	Mood=Ind|Number=Plur|Person=2|Tense=Imp|Verbform=Fin|Clitic=Yes|Number=Sing|Person=1|PronType=Prs	13adf273-f380-5b59-beda-c26728168ef2	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	7b891b51c605d1b5d852683f0a1638a5c857da5b5df961acdf8df508e080c42c	81556e790df6b7b3d03632a06fddeaa9af6b59fd1320ff9556bf378f421459e3		
minacciarmi	mee-nahc-CHAH-ree-mee	minacciare	VERB	to threaten me	1	1e-06	64	6.1e-05	minacciare+mi	VERB+PRON	V	root	VerbForm=Inf|Clitic=Yes|Number=Sing|Person=1|PronType=Prs	0b86a541-1e77-5a0b-9454-f271c299cdd9	66634d3e-ee7b-5d8f-8f9e-11cfe546724b	f92eee13c01160b5df9c599667440040c024c6387240b75f2688eb59427df216	7db4e755e4b2ed796ff9c14f88aec5d2f2c71327b3c4f136e6245bde04b3836c		
