english,italian,english_base_word,is_base

### Nouns ###
table,tavolo,table,true
a table,un tavolo,table,false
the table,il tavolo,table,false
the tables,i tavoli,table,false

person,persona,person,true
a person,una persona,person,false
the person,la persona,person,false
persons,persone,person,false

coffee,caffè,coffee,true
a coffee,un caffè,coffee,false
the coffee,il caffè,coffee,false
the coffees,i caffè,coffee,false

window,finestra,window,true
a window,una finestra,window,false
the window,la finestra,window,false
the windows,le finestre,window,false

menu,menù,menu,true
a menu,un menù,menu,false
the menu,il menù,menu,false
the menus,i menù,menu,false

bill,conto,bill,true
a bill,un conto,bill,false
the bill,il conto,bill,false
the bills,i conti,bill,false

service,servizio,service,true
a service,un servizio,service,false
the service,il servizio,service,false
the services,i servizi,service,false

soup,minestra / zuppa,soup,true
a soup,una minestra / una zuppa,soup,false
the soup,la minestra / la zuppa,soup,false
the soups,le minestre / le zuppe,soup,false

salad,insalata,salad,true
a salad,un'insalata,salad,false
the salad,l'insalata,salad,false
the salads,le insalate,salad,false

appetizer,antipasto,appetizer,true
an appetizer,un antipasto,appetizer,false
the appetizer,l'antipasto,appetizer,false
the appetizers,gli antipasti,appetizer,false

dessert,dessert / dolce,dessert,true
a dessert,un dessert / un dolce,dessert,false
the dessert,il dessert / il dolce,dessert,false
the desserts,i dessert / i dolci,dessert,false

drink,bevanda,drink,true
a drink,una bevanda,drink,false
the drink,la bevanda,drink,false
the drinks,le bevande,drink,false

list,lista,list,true
a list,una lista,list,false
the list,la lista,list,false
the lists,le liste,list,false

wine list,lista dei vini,wine list,true
a wine list,una lista dei vini,wine list,false
the wine list,la lista dei vini,wine list,false
the wine lists,le liste dei vini,wine list,false

wine,vino,wine,true
a wine,un vino,wine,false
the wine,il vino,wine,false
the wines,i vini,wine,false

first course,primo piatto,first course,true
a first course,un primo piatto,first course,false
the first course,il primo piatto,the first course,false

second course,secondo piatto,second course,true
a second course,un secondo piatto,second course,false
the second course,il secondo piatto,the second course,false

side dish,contorno,side dish,true
a side dish,un contorno,side dish,false
the side dish,il contorno,side dish,false
the side dishes,i contorni,side dish,false

vegatable,verdura,vegetable,true
a vegetable,una verdura,vegetable,false
the vegetable,la verdura,vegetable,false
the vegetables,le verdure,vegetable,false

ice,ghiaccio,ice,true
the ice,il ghiaccio,ice,false

a tip,una mancia,tip,true
the tip,la mancia,tip,false

waiter,cameriere,waiter,true
a waiter,un cameriere,waiter,false
the waiter,il cameriere,waiter,false
the waiters,i camerieri,waiter,false

waitress,cameriera,waitress,true
a waitress,una cameriera,waitress,false
the waitress,la cameriera,waitress,false
the waitresses,le cameriere,waitress,false

### Adverbs ###
included,incluso,included,true

### Verbs ###
to pay,pagare,to pay,true
I pay,io pago,to pay,false
you pay (familiar),tu paghi,to pay,false
you pay (formal),Lei paga,to pay,false
we pay,noi paghiamo,to pay,false
you all pay,voi pagate,to pay,false
they pay,loro pagano,to pay,false
I paid,io ho pagato,to pay,false
you (familiar) paid,tu hai pagato,to pay,false
you (formal) paid,Lei ha pagato,to pay,false
we paid,noi abbiamo pagato,to pay,false
you all paid,voi avete pagato,to pay,false
they paid,loro hanno pagato,to pay,false

### Questions ###
how much,quanto,how much,true
how many,quante,how many,true
