term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
cominciare,True,cominciare,to start,verb,to start,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb,Voglio cominciare subito.,I want to start right away.,22c731ab025b897263b3c37bf316ca4304e7522c20bc121915842122156eac0a,51c4664e1c1bd69db63ade0b45dad1590a599463957fd3cee9860f9b77e06c68,1224.0,1584.0,koh-meen-CHYAH-reh
cominciando,False,cominciare,to start,verb,starting,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto cominciando ora.,I am starting now.,1223664c05f67c2178185f1d91c2482efaf4e4bbe32dad18c1f94dc02a95be72,c9f7197623ae4e40e3361cd3a83169421dbbdce9f95370a18d5af9b85e4758d5,1152.0,1728.0,koh-meen-CHYAHN-doh
cominciato,False,cominciare,to start,verb,started,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; agrees with essere,Ho cominciato il lavoro.,I started the job.,85c9f99f365205557b08de29ef3954c7c9c822f2f940a5935f9e0a74048186a4,b82ba1d0042d48d7daa1aa70e1a0f3268f54bd8d5c2b8b64aae06778a2901c84,1128.0,1656.0,koh-meen-CHYAH-toh
cominciata,False,cominciare,to start,verb,started,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; agrees with essere,La lezione è cominciata.,The lesson has begun.,26d7e135ca469de7c5f7cd863c08af8eb691f2457a8278b028b7db8d07cb078a,b82ba1d0042d48d7daa1aa70e1a0f3268f54bd8d5c2b8b64aae06778a2901c84,1128.0,1656.0,koh-meen-CHYAH-tah
cominciati,False,cominciare,to start,verb,started,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; agrees with essere,I giochi sono cominciati.,The games have begun.,4dea271ff77ad0b415c78d07a4c9ae4e633e9c1ead5b659ea7359f4650be6571,b82ba1d0042d48d7daa1aa70e1a0f3268f54bd8d5c2b8b64aae06778a2901c84,1128.0,1656.0,koh-meen-CHYAH-tee
cominciate,False,cominciare,to start,verb,started,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; agrees with essere,Le prove sono cominciate.,The rehearsals have begun.,cf1f193febf697a58ee75f367e8b005272cff1224667880e1185801046d17774,b82ba1d0042d48d7daa1aa70e1a0f3268f54bd8d5c2b8b64aae06778a2901c84,1128.0,1632.0,koh-meen-CHYAH-teh
comincio,False,cominciare,to start,verb,I start,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io comincio adesso.,I start now.,9370df10a06a9e59246f495b68f28e34577417a6db335c003bad29a4c65fe70e,4b57c2b973ec2a78e9bd4d7ba7f684664d66642a1b4730041873ec5fbbddc6e0,1224.0,1464.0,koh-MEEN-chyoh
cominci,False,cominciare,to start,verb,you start,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu cominci a capire.,You start to understand.,cb80984a0a04c37525dd90bf22afbac2849d81be829a4f3aaf1cee32aa456e0f,bd08a3071cf0bddb9498647751366bf8cae2f9cea0c987f44fc8c833ae1d1d21,1248.0,1440.0,koh-MEEN-chee
comincia,False,cominciare,to start,verb,he starts/she starts/you (formal) start,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui comincia a parlare.,He starts to speak.,cbabfc5769bdf0403fb928a060ec8e9fb835461d9b66626a6d29b4a6923f79c5,20701c227b2bd787f94680f3992cd05142b55e63acbbaa4d8d46181344e972e8,4752.0,1440.0,koh-MEEN-chyah
cominciamo,False,cominciare,to start,verb,we start,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi cominciamo domani.,We start tomorrow.,3f93bffafc12fe57b3d5ec2fa840cf0e2ff9770bb56232c8bcca2c435d66375b,8f99010ba94d865cc8bf8b6cabd47f9f9c3b227e840bb4ad7cae435bc9aa97df,1272.0,1632.0,koh-meen-CHYAH-moh
