term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
volere,True,volere,will,noun,will,"abstract,emotion",,,masculine,singular,,,False,False,False,,,,,formal/abstract noun; plural exists but is rare,Studio volere umano.,I study human will.
un volere,False,volere,will,noun,a will,"abstract,emotion",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ha un volere forte.,He has a strong will.
il volere,False,volere,will,noun,the will,"abstract,emotion",,,masculine,singular,,,False,False,False,definite,il,il,,,Il volere del popolo conta.,The will of the people counts.
voleri,False,volere,will,noun,wills,"abstract,emotion",,,masculine,plural,,,False,False,False,,,,,rare plural,Voleri diversi creano conflitti.,Different wills create conflicts.
i voleri,False,volere,will,noun,the wills,"abstract,emotion",,,masculine,plural,,,False,False,False,definite,i,i,,rare plural,I voleri dei clienti cambiano.,The wills of the clients change.
dei voleri,False,volere,will,noun,some wills,"abstract,emotion",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form; rare plural,Emergono dei voleri contrastanti.,Some conflicting wills emerge.
del volere,False,volere,will,noun,of the will,"abstract,emotion",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Parliamo del volere popolare.,We talk about the people's will.
al volere,False,volere,will,noun,to the will,"abstract,emotion",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Mi adeguo al volere della maggioranza.,I adapt to the will of the majority.
ai voleri,False,volere,will,noun,to the wills,"abstract,emotion",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i; rare plural,Ci adattiamo ai voleri dei clienti.,We adapt to the clients' wills.
dal volere,False,volere,will,noun,from the will,"abstract,emotion",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Questo nasce dal volere comune.,This stems from the common will.
dai voleri,False,volere,will,noun,from the wills,"abstract,emotion",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i; rare plural,Le norme derivano dai voleri locali.,The rules derive from local wills.
nel volere,False,volere,will,noun,in the will,"abstract,emotion",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Trova forza nel volere.,He finds strength in the will.
nei voleri,False,volere,will,noun,in the wills,"abstract,emotion",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i; rare plural,Si perdono nei voleri di troppi.,They get lost in the wills of too many.
sul volere,False,volere,will,noun,about the will,"abstract,emotion",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Sto scrivendo un saggio sul volere.,I am writing an essay about the will.
sui voleri,False,volere,will,noun,about the wills,"abstract,emotion",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i; rare plural,Discutiamo sui voleri del gruppo.,We discuss the group's wills.
col volere,False,volere,will,noun,with the will,"abstract,emotion",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Col volere di tutti riusciremo.,With everyone's will we will succeed.
coi voleri,False,volere,will,noun,with the wills,"abstract,emotion",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i; rare plural,Coi voleri opposti è difficile.,With opposing wills it is difficult.
