term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,pronunciation
volare,True,volare,to fly,verb,to fly,"motion,action",,,,,non-finite,infinitive,False,False,False,,,,,,Voglio volare domani.,I want to fly tomorrow.,voh-LAH-reh
volando,False,volare,to fly,verb,flying,"motion,action",,,,,gerund,,False,False,False,,,,,,Sto volando adesso.,I am flying now.,voh-LAHN-doh
volato,False,volare,to fly,verb,flown,"motion,action",,,masculine,singular,participle,past,False,False,False,,,,,,Sono volato ieri.,I flew yesterday.,voh-LAH-toh
volata,False,volare,to fly,verb,flown,"motion,action",,,feminine,singular,participle,past,False,False,False,,,,,,Sono volata ieri.,I flew yesterday.,voh-LAH-tah
volati,False,volare,to fly,verb,flown,"motion,action",,,masculine,plural,participle,past,False,False,False,,,,,,Siamo volati ieri.,We flew yesterday.,voh-LAH-tee
volate,False,volare,to fly,verb,flown,"motion,action",,,feminine,plural,participle,past,False,False,False,,,,,,Siamo volate ieri.,We flew yesterday.,voh-LAH-teh
volo,False,volare,to fly,verb,I fly/I take off,"motion,action",,1s,,singular,indicative,present,False,False,False,,,,,,Io volo spesso per lavoro.,I fly often for work.,VOH-loh
voli,False,volare,to fly,verb,you fly,"motion,action",,2s,,singular,indicative,present,False,False,False,,,,,,Tu voli troppo basso.,You fly too low.,VOH-lee
vola,False,volare,to fly,verb,he flies/she flies/you (formal) fly,"motion,action",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lei vola alto.,She flies high.,VOH-lah
voliamo,False,volare,to fly,verb,we fly,"motion,action",,1p,,plural,indicative,present,False,False,False,,,,,,Noi voliamo domani.,We fly tomorrow.,voh-LEEAH-moh
volate,False,volare,to fly,verb,you (plural) fly,"motion,action",,2p,,plural,indicative,present,False,False,False,,,,,,Voi volate spesso?,Do you fly often?,voh-LAH-teh
volano,False,volare,to fly,verb,they fly,"motion,action",,3p,,plural,indicative,present,False,False,False,,,,,,Loro volano ogni settimana.,They fly every week.,voh-LAH-noh
volavo,False,volare,to fly,verb,I was flying/I used to fly,"motion,action",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io volavo spesso da giovane.,I used to fly often when I was young.,voh-LAH-voh
volavi,False,volare,to fly,verb,you were flying,"motion,action",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu volavi più alto allora.,You used to fly higher then.,voh-LAH-vee
volava,False,volare,to fly,verb,he was flying/she was flying/you (formal) were flying,"motion,action",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei volava verso nord.,She was flying north.,voh-LAH-vah
volavamo,False,volare,to fly,verb,we were flying,"motion,action",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi volavamo insieme.,We were flying together.,voh-lah-VAH-moh
volavate,False,volare,to fly,verb,you (plural) were flying,"motion,action",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi volavate lentamente.,You were flying slowly.,voh-lah-VAH-teh
volavano,False,volare,to fly,verb,they were flying,"motion,action",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro volavano la notte.,They were flying at night.,voh-lah-VAH-noh
sono volato,False,volare,to fly,verb,I have flown,"motion,action",,1s,masculine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender/number,Sono volato ieri.,I flew yesterday.,SOH-noh voh-LAH-toh
sono volata,False,volare,to fly,verb,I have flown,"motion,action",,1s,feminine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender/number,Sono volata ieri.,I flew yesterday.,SOH-noh voh-LAH-tah
sei volato,False,volare,to fly,verb,you have flown,"motion,action",,2s,masculine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender/number,Sei volato troppo vicino.,You flew too close.,SEHEE voh-LAH-toh
sei volata,False,volare,to fly,verb,you have flown,"motion,action",,2s,feminine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender/number,Sei volata ieri mattina.,You flew yesterday morning.,SEHEE voh-LAH-tah
è volato,False,volare,to fly,verb,he has flown/she has flown/you (formal) have flown,"motion,action",,3s,masculine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; also used as formal 'Lei'; past participle agrees in gender/number,È volato ieri.,He flew yesterday.,EH voh-LAH-toh
è volata,False,volare,to fly,verb,he has flown/she has flown/you (formal) have flown,"motion,action",,3s,feminine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; also used as formal 'Lei'; past participle agrees in gender/number,È volata ieri.,She flew yesterday.,EH voh-LAH-tah
siamo volati,False,volare,to fly,verb,we have flown,"motion,action",,1p,masculine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender/number,Siamo volati la settimana scorsa.,We flew last week.,SEEAH-moh voh-LAH-tee
siamo volate,False,volare,to fly,verb,we have flown,"motion,action",,1p,feminine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender/number,Siamo volate la settimana scorsa.,We flew last week.,SEEAH-moh voh-LAH-teh
siete volati,False,volare,to fly,verb,you (plural) have flown,"motion,action",,2p,masculine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender/number,Siete volati ieri?,Did you fly yesterday?,SEEEH-teh voh-LAH-tee
siete volate,False,volare,to fly,verb,you (plural) have flown,"motion,action",,2p,feminine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender/number,Siete volate ieri?,Did you fly yesterday?,SEEEH-teh voh-LAH-teh
sono volati,False,volare,to fly,verb,they have flown,"motion,action",,3p,masculine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender/number,Sono volati questa mattina.,They flew this morning.,SOH-noh voh-LAH-tee
sono volate,False,volare,to fly,verb,they have flown,"motion,action",,3p,feminine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender/number,Sono volate questa mattina.,They flew this morning.,SOH-noh voh-LAH-teh
