term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
mezzanotte,True,mezzanotte,midnight,noun,midnight,"time,core",,,feminine,singular,,,False,False,False,,,,,common time noun; often used with preposition 'a',La festa inizia a mezzanotte.,The party starts at midnight.
una mezzanotte,False,mezzanotte,midnight,noun,a midnight,"time,core",indefinite,,feminine,singular,,,False,False,False,indefinite,una,una,,used occasionally as an indefinite count noun,Non ricordo una mezzanotte così calma.,I do not remember a midnight so calm.
la mezzanotte,False,mezzanotte,midnight,noun,the midnight,"time,core",definite,,feminine,singular,,,False,False,False,definite,la,la,,standard definite form,Senti l'orologio: è la mezzanotte.,Listen to the clock: it is midnight.
mezzanotti,False,mezzanotte,midnight,noun,midnights,"time,core",,,feminine,plural,,,False,False,False,,,,,plural form,Non dimenticherò quelle mezzanotti.,I will not forget those midnights.
le mezzanotti,False,mezzanotte,midnight,noun,the midnights,"time,core",definite,,feminine,plural,,,False,False,False,definite,le,le,,standard plural definite,Le mezzanotti erano misteriose.,The midnights were mysterious.
delle mezzanotti,False,mezzanotte,midnight,noun,some midnights,"time,core",indefinite,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ci sono state delle mezzanotti speciali.,There were some special midnights.
della mezzanotte,False,mezzanotte,midnight,noun,of the midnight,"time,core",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Della mezzanotte ricordo solo il silenzio.,I remember only the silence of midnight.
alla mezzanotte,False,mezzanotte,midnight,noun,at midnight,"time,core",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,La riunione finirà alla mezzanotte.,The meeting will end at midnight.
dalla mezzanotte,False,mezzanotte,midnight,noun,since midnight,"time,core",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Dalla mezzanotte non ho dormito.,Since midnight I have not slept.
nella mezzanotte,False,mezzanotte,midnight,noun,at midnight,"time,core",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Nella mezzanotte la città è silenziosa.,At midnight the city is quiet.
sulla mezzanotte,False,mezzanotte,midnight,noun,about midnight,"time,core",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Ho letto un racconto sulla mezzanotte.,I read a story about midnight.
con la mezzanotte,False,mezzanotte,midnight,noun,with midnight,"time,core",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction; use 'con la',Sono tornato con la mezzanotte vicina.,I returned with midnight approaching.
alle mezzanotti,False,mezzanotte,midnight,noun,to the midnights,"time,core",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Pensavo alle mezzanotti d'estate.,I thought about the midnights of summer.
dalle mezzanotti,False,mezzanotte,midnight,noun,from the midnights,"time,core",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Provengo dalle mezzanotti insonni.,I come from sleepless midnights.
nelle mezzanotti,False,mezzanotte,midnight,noun,in the midnights,"time,core",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Si incontravano nelle mezzanotti d'estate.,They met at summer midnights.
sulle mezzanotti,False,mezzanotte,midnight,noun,about the midnights,"time,core",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Ho scritto sulle mezzanotti passate.,I wrote about the past midnights.
con le mezzanotti,False,mezzanotte,midnight,noun,with the midnights,"time,core",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction; use 'con le',Abbiamo cantato con le mezzanotti in mente.,We sang with midnights in mind.
