term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
settimana,True,settimana,week,noun,week,"time,calendar",,,feminine,singular,,,False,False,False,,,,,countable time unit,Questa settimana è intensa.,This week is busy.,375453f332e028fb6c79ab8d1497bc790a460f9948026f6cbf2aadce1b920097,984.0,037eb3214cd2eb12c025bf396dcd27269b21efe91104b20aa213d416f1f605df,1680.0
una settimana,False,settimana,week,noun,a week,"time,calendar",indefinite,,feminine,singular,,,False,False,False,,una,una,,,Ho una settimana di ferie.,I have one week of vacation.,68baf73324079f8385fa1a611b148e654459239baa8a146a420b5d2f74bc08fc,1128.0,404941793de6ebbd3c171e8974cfa561fee855c070487c0c78753f8a0ee160c8,1824.0
la settimana,False,settimana,week,noun,the week,"time,calendar",definite,,feminine,singular,,,False,False,False,,la,la,,,La settimana scorsa è stata intensa.,Last week was intense.,e8b929b3fe8a8d9625b188630795ceff302ce11ded206d7d81ae53a2c2eff847,1128.0,9ebf3bf9e9d6181fdb6dd299cee011a692469df81145739031855e69d6e42491,1776.0
settimane,False,settimana,week,noun,weeks,"time,calendar",,,feminine,plural,,,False,False,False,,,,,plural form,Settimane intere ho lavorato.,I have worked whole weeks.,f2030ba85a996cf5dded8ce571cbf6ec4647fd6d5db40c1ab5648afc7aaf9d4c,1128.0,4fe3dd31ca70df411f44a7b795eafb2e80202bbf954b39bf208d6c6528799020,1656.0
le settimane,False,settimana,week,noun,the weeks,"time,calendar",definite,,feminine,plural,,,False,False,False,,le,le,,,Le settimane volano quando sei occupato.,The weeks fly by when you are busy.,2e622fb1dd10e459a578c56c4c10f0d630b359f529bf39be01575a19021ff368,1272.0,29bc514ad70997924b1fc344ddf77249646b79302c2efe54051df27abd5a0e92,1752.0
delle settimane,False,settimana,week,noun,some weeks,"time,calendar",indefinite,,feminine,plural,,,False,False,False,,le,delle,di,partitive plural form,Parliamo delle settimane estive.,We are talking about the summer weeks.,cf155b668dda1593e12d70d35b2a997e7067a2fb43c5aebafa13a568dca8b175,1344.0,cda77a54b360547df94a540d6da29a93520d4840b066b88ec6e58e393c78278a,1944.0
della settimana,False,settimana,week,noun,of the week,"time,calendar",articulated_preposition,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il tema della settimana è importante.,The week's topic is important.,6b4e2859990fe185545bd3dbaf453a3fab2af31205eef85784e95c842c5e6067,1248.0,7ecf0959968c628f873cef8e45a816a6f2ee5a83f61938c5d1d0243a41ffdd98,1944.0
alla settimana,False,settimana,week,noun,per week / to the week,"time,calendar",articulated_preposition,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Pago cento euro alla settimana.,I pay one hundred euros per week.,433950fa802731c830a9f8c386fbe7e9d034d84d12554295c8fc83b939f0c657,2448.0,b1b57e674fd4f6311af81132624d081bae232dcb51204f500242b2755c072505,1848.0
dalla settimana,False,settimana,week,noun,from the week,"time,calendar",articulated_preposition,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Dalla settimana prossima inizio la dieta.,From next week I start the diet.,9e6664072dd76b704db0103cce1778e22ca834b10c4ccd7a3580bec8ed6dba76,1320.0,464c0836456824535e9658d440b89e6e72e7da8f8c141cc879e779226a6554bf,1944.0
nella settimana,False,settimana,week,noun,in the week,"time,calendar",articulated_preposition,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Nella settimana ho molti appuntamenti.,In the week I have many appointments.,2db9bb32b3949f518f97a28890a18e9e683d5e9c791bdd75bf560f55504e5a33,1224.0,fbf0acee4017eefcd53b65a69a695654a4b277e3e28c4eb8fd101acfa567835a,1944.0
