term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
chiusa,True,chiusa,weir,noun,weir,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,,,,,also means canal lock,Cerco chiusa sul fiume.,I am looking for a weir on the river.,22a945e510179cc1e87a062012584cd0b1db18ac52fa0fc7e5eeff906a9aa7d6,1008.0,fed2a0f970a5d4a1cff35db6d395bdf2d1e5e943c8f766899306e529c24be342,1272.0,KYOO-sah
una chiusa,False,chiusa,weir,noun,a weir,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Vedo una chiusa antica.,I see an old weir.,4a91c11c2dd8b314e9d05388d00207cc11c6c411511ac75aaa50242fed4126dc,1152.0,41c636c134af3a43f1fa838fc96b1178b1c0f85670b4dcbb405a7f209cf69e47,1536.0,OO-nah KYOO-sah
la chiusa,False,chiusa,weir,noun,the weir,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,definite,la,la,,,La chiusa è aperta oggi.,The weir is open today.,7b746fe4216da90c3c777be3525d11b6e3f10653f85c711270874f063826e301,1176.0,e218c7ea3253ce243c77c917b503ca72183db72e54814ec7505965dc8d029544,1488.0,LAH KYOO-sah
chiuse,False,chiusa,weir,noun,weirs,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,,,,,plural form,Chiuse storiche proteggono la città.,Historic weirs protect the city.,7a4ebcff6b572347ecfc4165e67005b29e0e3a81724906a856bb2662570b601f,1152.0,addbca354ad32c29c2e51a2682d62b362e1bf57cb7836d4ac100e7b4cc76c29a,1248.0,KYOO-seh
le chiuse,False,chiusa,weir,noun,the weirs,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,definite,le,le,,,Le chiuse regolano il flusso.,The weirs regulate the flow.,c96af33a859e89bbe4540087fa262a9846ac4e3583350bf2e0317fae4e1faa11,1296.0,efd30c6fada5d3cefa89e157f183f5864268b8fbe006bca239417ce841ece4eb,1440.0,LEH KYOO-seh
delle chiuse,False,chiusa,weir,noun,some weirs,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Visitiamo delle chiuse del centro.,We visit some weirs in the center.,cfa33c59738af397772980d5868cc90ca0e07effde6dea4d29d09651cd245cf3,1416.0,c618b42d250c3aa22a90e01efcfa123cf46a196d259eb380d7f6ad913eea695b,1656.0,DEH-lleh KYOO-seh
della chiusa,False,chiusa,weir,noun,of the weir,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,La manutenzione della chiusa è urgente.,The maintenance of the weir is urgent.,026e52c4169d2ed27ad3b69c4315319f57a6fd034889f8e4fb95b5b9fd96eae9,1272.0,3769f2377753c05668a06c2e3df0fcfd6de68cf6ae819a9a65b8c3176d420175,1656.0,DEH-llah KYOO-sah
alla chiusa,False,chiusa,weir,noun,to the weir,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Andiamo alla chiusa al tramonto.,We are going to the weir at sunset.,3880c5e3e9fda83666611051a0ea9f691c898d14ccb99d7fb150a82b4fcbf2f8,1272.0,59388e44f03e394db81909a2a617c750c5e490548d1593bae793012b8f3f75c6,1584.0,AH-llah KYOO-sah
alle chiuse,False,chiusa,weir,noun,to the weirs,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Mi avvicino alle chiuse durante la passeggiata.,I approach the weirs during the walk.,5687d22b0bd59e0dfe89f431f379897c9b75528522cc2eef2e99808e8280676e,1392.0,09bee655aa253fa0de332a46b064a0b0da28b5b02250d3e51dc65bd57300dd05,1560.0,AH-lleh KYOO-seh
dalla chiusa,False,chiusa,weir,noun,from the weir,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,L'acqua esce dalla chiusa.,The water comes out from the weir.,517e1c28ed796dc3c39620f6daeb832e77d565874080e888864cb21f4b448869,1344.0,4bab427872745248e74200d81139eb6dffdebd057922a7c5799f7ca51dfa65f7,1680.0,DAH-llah KYOO-sah
dalle chiuse,False,chiusa,weir,noun,from the weirs,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Rumori forti vengono dalle chiuse.,Loud noises come from the weirs.,37e7eabf9d3b70449b38a59d787fcf15eeb38438b4357794a949d3813ef27388,1464.0,cd1957fac19b9b921413b31df41671af770101e19480912f98cd3cf6fd2d892d,1656.0,DAH-lleh KYOO-seh
nella chiusa,False,chiusa,weir,noun,in the weir,"Buildings & Facilities,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Un pesce è rimasto nella chiusa.,A fish got stuck in the weir.,9172fd83aed8390392e5e41a0f23fb2f1fc2822f2c9b54cf604f5e3588b097f8,1272.0,a1cade7e41235c5477f641f9c1620c66135711526f7d1ce612151ea07441350d,1656.0,NEH-llah KYOO-sah
