term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
biglietto,True,biglietto,ticket,noun,ticket,"Travel & Transportation,Objects & Things",,,masculine,singular,,,False,False,False,,,,,base lemma,Biglietto valido per due giorni.,Ticket valid for two days.,77d4213244ce5197ec12bc0f69087ae96ba8528e82e701a5569d19c448f2006f,b5018721536099e83deb748c6fb725d7a0142e1eefc2a63967a93dc381d6f40a,1032.0,1560.0,bee-LYEHT-toh
un biglietto,False,biglietto,ticket,noun,a ticket,"Travel & Transportation,Objects & Things",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Compro un biglietto online.,I am buying a ticket online.,8f333e05804b6a1316ab79fab5806f479260954064860ee3d4ee001f69f8513f,185b765f2934e69fde2f4391f46264e28fe4e9b8fd863268e413dcddd6034dec,1176.0,1680.0,OON bee-LYEHT-toh
il biglietto,False,biglietto,ticket,noun,the ticket,"Travel & Transportation,Objects & Things",,,masculine,singular,,,False,False,False,definite,il,il,,,Controllo il biglietto.,I check the ticket.,8301689da3011fb179d00dd697b3b897b279282d60d53350a0a935ce9f62627a,228a3a01f0ab46d7224ab330eecc2a1ebc7e42998dcfe5214bd1f188d52432cf,1200.0,1704.0,EEL bee-LYEHT-toh
biglietti,False,biglietto,ticket,noun,tickets,"Travel & Transportation,Objects & Things",,,masculine,plural,,,False,False,False,,,,,plural form,Biglietti disponibili qui.,Tickets available here.,13e3726ce1cfb283f9c0bcb0cd8bf6e854731d9586da59d73fde200a184117f9,584c612cf12e2ab477b7e65d3267a2c423d06295246539fbf3e4d0e209b62bad,1152.0,1560.0,bee-LYEHT-tee
i biglietti,False,biglietto,ticket,noun,the tickets,"Travel & Transportation,Objects & Things",,,masculine,plural,,,False,False,False,definite,i,i,,,I biglietti costano troppo.,The tickets cost too much.,3539451f344384903fd03ef70ad8e8073fa7f3a0e70df7aa71b0d95b54f92927,22365bc4cd1c4058e698fd8eafaa30b15257ee14eac04814fddb1e69e354723a,1344.0,1608.0,EE bee-LYEHT-tee
dei biglietti,False,biglietto,ticket,noun,some tickets,"Travel & Transportation,Objects & Things",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho comprato dei biglietti per domani.,I bought some tickets for tomorrow.,40a849456a74ce9f69abd8520e48eebcd1a538d1d3d313b58d0dc098f901162e,d8c49ba86a3ba1f6a65ec8842dc7f52d703cfd3799ac1856407bf1b58fc591b0,1440.0,1776.0,DAY bee-LYEHT-tee
del biglietto,False,biglietto,ticket,noun,of the ticket,"Travel & Transportation,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il prezzo del biglietto è aumentato.,The price of the ticket has gone up.,81741b92f8f21712fc516634644bdeff18f2178add4d9d2d0218d35e94e2cae4,adfd34d9f0326961a111c6766bc7066412cf2407a21690496df961dbcf33f51e,1320.0,1776.0,DEHL bee-LYEHT-toh
al biglietto,False,biglietto,ticket,noun,to the ticket,"Travel & Transportation,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Ho fatto una foto al biglietto.,I took a photo of the ticket.,9372406e6456fb70347dbdb70340e3bc666e4a58a97e5d9a29df74b729809308,07c0512de4db5832dc5182fdc19a9c2f74ff534fec60d48a06f7bb87ebdc6257,1320.0,1680.0,AHL bee-LYEHT-toh
ai biglietti,False,biglietto,ticket,noun,to the tickets,"Travel & Transportation,Objects & Things",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Do un'occhiata ai biglietti.,I take a look at the tickets.,0b67d684265fa6d246a53c81417e1493fb7fd37aed3ebb9611f9dcdfb6efde2a,3b909393d0712dc89cee0d867539921b9e25d501dcd910151d48eb60da55bac9,1440.0,1680.0,EYE bee-LYEHT-tee
dal biglietto,False,biglietto,ticket,noun,from the ticket,"Travel & Transportation,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Leggo le informazioni dal biglietto.,I read the information from the ticket.,a2e44bcb62d6887c3a2c09d3538c74eceda9ed90dd707bcc425994aa07c34097,1e921be5a7a0b90e03edf8d90f62de6274c4cc4ee709e18a092725cbc4ef189f,1392.0,1776.0,DAHL bee-LYEHT-toh
dai biglietti,False,biglietto,ticket,noun,from the tickets,"Travel & Transportation,Objects & Things",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Parto dai biglietti più economici.,I start with the cheapest tickets.,e668a54d4d2648a6110b3fbaae6f34b1cb44886a2ec736bed306888f81c548ec,381041d96880eb6e0a2fe61e9784ea0a1b569413985d8e991fb9d3132b65c3d7,1512.0,1776.0,DEYE bee-LYEHT-tee
nel biglietto,False,biglietto,ticket,noun,in the ticket,"Travel & Transportation,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,C'è un errore nel biglietto.,There is an error in the ticket.,9dd859c37d04c69b4cf517697398e9c86ff0123e4696e6ece7928e2b2237be12,efd8132267fbcae8be9ebc7002cabc77a57ab5ae7e2b68ea987f4e54097363b9,1320.0,1800.0,NEHL bee-LYEHT-toh
nei biglietti,False,biglietto,ticket,noun,in the tickets,"Travel & Transportation,Objects & Things",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Mancano i nomi nei biglietti.,The names are missing in the tickets.,b7aa1e611a878f0b9d63e797042e575d3ec229119cd8e8502cda6389fb7a5498,8f4f9f7e66eae3818a89eb7de9882f6841b1e357379bc8fa7c14bbd146569c43,1440.0,1752.0,NAY bee-LYEHT-tee
sul biglietto,False,biglietto,ticket,noun,on the ticket,"Travel & Transportation,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Scrivo il nome sul biglietto.,I write the name on the ticket.,d28058d6d765c38b611a1c57e3d2a8bbce39dfa084678eed2bf65c3aeb59d4af,ec7dd025fdfd5abca3d7187a59e375dce26a16089debd49d128df14b5478613f,1320.0,1848.0,SOOL bee-LYEHT-toh
sui biglietti,False,biglietto,ticket,noun,on the tickets,"Travel & Transportation,Objects & Things",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ci sono sconti sui biglietti.,There are discounts on the tickets.,0d51cead5000f1154704ccc0233e43372cc957790eebfe43ea4236a0e02fbb99,7f2d189c65c62cb22b1e6edf580041f158eca2ecb73a16ef06ecb7fa35b6054e,1464.0,1872.0,SWEE bee-LYEHT-tee
col biglietto,False,biglietto,ticket,noun,with the ticket,"Travel & Transportation,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Entro col biglietto digitale.,I enter with the digital ticket.,f0725531697f5bac94c41b93f7c706490a7492655d5bff9ccbdbead888092c73,3c91062908732c4d04cb66b54327b89962da675bc774243d5870350373c55f59,1368.0,1776.0,KOHL bee-LYEHT-toh
coi biglietti,False,biglietto,ticket,noun,with the tickets,"Travel & Transportation,Objects & Things",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Viaggio spesso coi biglietti scontati.,I often travel with discounted tickets.,f4ccb55f946c917f80c9b265c2b8fb1cfb6ad7697ab21b95ad81c823d9d4d10d,77310afa81397e04b5d3eaa90c92513de8e9e8cd1894027be1930a4bdba71b14,1488.0,1776.0,KOY bee-LYEHT-tee
