term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes
avere,true,avere,to have,non-finite,infinitive,n/a,n/a,n/a,false,base lemma
avendo,false,avere,having,non-finite,gerund,n/a,n/a,n/a,false,
avute,false,avere,having had (feminine plural),non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses
avuta,false,avere,having had (feminine singular),non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses
avuti,false,avere,having had (masculine plural),non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses
avuto,false,avere,having had (masculine singular),non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses
ho,false,avere,I have,indicative,present,1s,n/a,singular,false,
hai,false,avere,you have,indicative,present,2s,n/a,singular,false,
ha,false,avere,he/she/it has,indicative,present,3s,n/a,singular,false,also 'you have (formal)'
abbiamo,false,avere,we have,indicative,present,1p,n/a,plural,false,
avete,false,avere,you (plural) have,indicative,present,2p,n/a,plural,false,
hanno,false,avere,they have,indicative,present,3p,n/a,plural,false,
avevo,false,avere,I had,indicative,imperfect,1s,n/a,singular,false,
avevi,false,avere,you had,indicative,imperfect,2s,n/a,singular,false,
aveva,false,avere,he/she/it had,indicative,imperfect,3s,n/a,singular,false,also 'you had (formal)'
avevamo,false,avere,we had,indicative,imperfect,1p,n/a,plural,false,
avevate,false,avere,you (plural) had,indicative,imperfect,2p,n/a,plural,false,
avevano,false,avere,they had,indicative,imperfect,3p,n/a,plural,false,
ho avuta,false,avere,I have had,indicative,passato_prossimo,1s,feminine,singular,true,agreement by object gender/number
ho avuto,false,avere,I have had,indicative,passato_prossimo,1s,masculine,singular,true,agreement by object gender/number
hai avuta,false,avere,you have had,indicative,passato_prossimo,2s,feminine,singular,true,agreement by object gender/number
hai avuto,false,avere,you have had,indicative,passato_prossimo,2s,masculine,singular,true,agreement by object gender/number
ha avuta,false,avere,she has had,indicative,passato_prossimo,3s,feminine,singular,true,agreement by object gender/number; also 'you (formal)'
ha avuto,false,avere,he has had,indicative,passato_prossimo,3s,masculine,singular,true,agreement by object gender/number; also 'you (formal)'
abbiamo avute,false,avere,we have had,indicative,passato_prossimo,1p,feminine,plural,true,agreement by object gender/number
abbiamo avuti,false,avere,we have had,indicative,passato_prossimo,1p,masculine,plural,true,agreement by object gender/number
avete avute,false,avere,you (plural) have had,indicative,passato_prossimo,2p,feminine,plural,true,agreement by object gender/number
avete avuti,false,avere,you (plural) have had,indicative,passato_prossimo,2p,masculine,plural,true,agreement by object gender/number
hanno avute,false,avere,they have had,indicative,passato_prossimo,3p,feminine,plural,true,agreement by object gender/number
hanno avuti,false,avere,they have had,indicative,passato_prossimo,3p,masculine,plural,true,agreement by object gender/number
