term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
ritiro,True,ritiro,withdrawal,noun,withdrawal,"Money & Finance,Objects & Things",,,masculine,singular,,,False,False,False,,,,,"base lemma; can mean pickup, withdrawal, or retreat",Il ritiro è domani.,The pickup is tomorrow.,c2e06feab0fdc9062be680b87e7d806c998554196fd6c6cd1b8f945e270d3bd7,1296.0,1e8cb3752f3b0f57c5ce48f49f1c6349db3b3b4d621b0dffc6d45cef8ba94d78,1416.0,ree-TEE-roh
un ritiro,False,ritiro,withdrawal,noun,a pickup,"Money & Finance,Objects & Things",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho prenotato un ritiro per i mobili.,I booked a pickup for the furniture.,d5d5b6fc9bc2905345806a05fa025e6b6d50e431c3f39b87e3435b2fe9d9e8b9,1224.0,5ca9aa919b46206b36f2ec1bf360855e0d4eb77948ad5b8f1858343a16d4754f,1560.0,OON ree-TEE-roh
il ritiro,False,ritiro,withdrawal,noun,the pickup,"Money & Finance,Objects & Things",,,masculine,singular,,,False,False,False,definite,il,il,,,Il ritiro inizierà alle otto.,The pickup will start at eight.,2ca7a95aa4c7ba16dcad5e1dfb40e8e5350bbf433d1e05c7164df84afe22b619,1248.0,5b29c6df790199c5f96fee25ec2bde4b8d587431143f1b4acf018d45d626b2a3,1584.0,EEL ree-TEE-roh
ritiri,False,ritiro,withdrawal,noun,pickups,"Money & Finance,Objects & Things",,,masculine,plural,,,False,False,False,,,,,plural form,I ritiri sono settimanali.,Pickups are weekly.,d46f1bd7ddb6f33ece6a9a099e944eed5b621529f862640ff1e4f8818e600afc,1200.0,58a004ad4f4058f9867f02db9bb8b79099d71bfba1514f58a577426ffc82792c,1392.0,ree-TEE-ree
i ritiri,False,ritiro,withdrawal,noun,the pickups,"Money & Finance,Objects & Things",,,masculine,plural,,,False,False,False,definite,i,i,,,I ritiri locali sono affidabili.,The local pickups are reliable.,508c0f4275489e7dd09ccd83149347be80b414eceedbc560be2a6483639437e8,1344.0,17beb879468b0a622944e8ad1b9bb657c89d709e350981a3b08d597566006d8b,1488.0,EE ree-TEE-ree
dei ritiri,False,ritiro,withdrawal,noun,some pickups,"Money & Finance,Objects & Things",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Provo dei ritiri locali.,I try some local pickups.,149d3ccf90cf64b1932bfabf7f587f97cdfbecfb2c03ab9b5984a6340d357415,1488.0,4a5330a2a797068698afc7bf0fe679ba03a30fd8332d0ac5fc2425f268b87dc5,1608.0,DAY ree-TEE-ree
del ritiro,False,ritiro,withdrawal,noun,of the pickup,"Money & Finance,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'orario del ritiro è cambiato.,The pickup time has changed.,44b03342a9b0237af66359e7c6444c3a77747cb2533dde39288ff14792ded27d,1368.0,b24e432979feca535669349f13801cdc272757e7461bac8a47e9d67b7a1e9171,1656.0,DEHL ree-TEE-roh
al ritiro,False,ritiro,withdrawal,noun,to the pickup,"Money & Finance,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Andiamo al ritiro.,We are going to the pickup.,7c216e22027d7085bf78163901b9ae1b622ce90ee1c6824aaa90e031edcef905,1368.0,991a1b06cfc23489bc8927cd28bf940bf84ade4bc270cfe419b3a219499356d0,1560.0,AHL ree-TEE-roh
ai ritiri,False,ritiro,withdrawal,noun,to the pickups,"Money & Finance,Objects & Things",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Telefonerò ai ritiri programmati.,I will call the scheduled pickups.,8934564d01bd6bfc035d5ba1281a82a20bd1e38282fc6d84aaab45cf3838f6c3,1464.0,f98b8bb0c2ce16e1d0dfc23a633af6a373dacef3e54d85fffd772fb4ac434cfe,1560.0,EYE ree-TEE-ree
dal ritiro,False,ritiro,withdrawal,noun,from the pickup,"Money & Finance,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Vengo dal ritiro con i pacchi.,I am coming from the pickup with the packages.,f5264405642080ecd1c1a031fd81e0ee42bf6156cd876377ba6f529d2cdc0187,1440.0,b2f01a9a7935336eafd868e59f9297400a8f040b5a0f03e40f83425ab68cd119,1656.0,DAHL ree-TEE-roh
dai ritiri,False,ritiro,withdrawal,noun,from the pickups,"Money & Finance,Objects & Things",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Arrivo dai ritiri di oggi.,I come from today's pickups.,681abfc837b8395a47c6a7ec4924e19a8eadc7adda6760b93292236e365de71c,1536.0,a9087c9d2784478a6b7195e87727456b95b87d13c486217ead5926803ae761ac,1656.0,DEYE ree-TEE-ree
nel ritiro,False,ritiro,withdrawal,noun,in the pickup,"Money & Finance,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Ci sono molti pacchi nel ritiro.,There are many packages in the pickup.,faea8e7530e3fe11d31b08b942c1cba970af6d77f1760fbef3b72754f482426f,1368.0,c636e699bec45b6dfade5c63cebbb80c74a664c11149d46473449b58dbce9c06,1680.0,NEHL ree-TEE-roh
nei ritiri,False,ritiro,withdrawal,noun,in the pickups,"Money & Finance,Objects & Things",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Non si fuma nei ritiri.,You cannot smoke in pickups.,736d223f08f7fd4d0470d71f30906a18af8aca5757543540fbe4abca90513776,1464.0,0ceb662d54a190b9100ac3a4188c8284ebb21f393a8389e1534f0a1453c3b046,1656.0,NAY ree-TEE-ree
sul ritiro,False,ritiro,withdrawal,noun,about the pickup,"Money & Finance,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Ho letto una nota sul ritiro.,I read a note about the pickup.,3127d00acdd688160a20c687641c080a1bb0bb69dde127c263d3059d5c359151,1536.0,55a88ebd192a989029adfb587991203b7ec7e5d2cee6e6fe5b0c380518339e9e,1704.0,SOOL ree-TEE-roh
sui ritiri,False,ritiro,withdrawal,noun,about the pickups,"Money & Finance,Objects & Things",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho dati sui ritiri locali.,I have data about local pickups.,8f37041c99c0602a21eb6940b8ba3123d0a6039270ac8a5c0ce8d1e8a249d05a,1632.0,166164b824d0ac29c52174d84681da5401d07e8896f6bc2182c59f8699c4a406,1752.0,SWEE ree-TEE-ree
col ritiro,False,ritiro,withdrawal,noun,with the pickup,"Money & Finance,Objects & Things",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Collaboro col ritiro per la consegna.,I collaborate with the pickup for the delivery.,dfb57a65356ee2b37a7127490eb9ee36cae6522f614e52c84905a76387e10796,1416.0,9c959e0733563311ff60a87209bc5c0f5ecf317957798d1ff1306a28d30c543b,1632.0,KOHL ree-TEE-roh
coi ritiri,False,ritiro,withdrawal,noun,with the pickups,"Money & Finance,Objects & Things",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi ritiri del centro.,We work with the downtown pickups.,214f3dd7cc6c27fc2c5aca96a4097c12bc1b021c0e78a8fd5d6b9207d06855f6,1512.0,cf6d5a44bcb37ae59f619ee09458e860033653a6f7a68411695403e8ab467618,1632.0,KOY ree-TEE-ree
