english,italian,english_base_word,is_base

### Verbs ###

to be,essere,be,true
I am,io sono,be,false
you are (familiar),tu sei,be,false
you are (polite),Lei è,be,false
we are,noi siamo,be,false
you all are,voi siete,be,false
they are,loro sono,be,false
I was,io ero,be,false
you were (familiar),tu eri,be,false
you were (polite),Lei era,be,false
we were,noi eravamo,be,false
you all were,voi eravate,be,false
they were,loro erano,be,false

to want,voglere,want,true
I want,io voglio,want,false
you want (familiar),tu vuoi,want,false
you want (polite),Lei vuole,want,false
we want,noi vogliamo,want,false
you all want,voi volete,want,false
they want,loro vogliono,want,false
I wanted,io volevo,want,false
you wanted (familiar),tu volevi,want,false
you wanted (polite),Lei voleva,want,false
we wanted,noi volevamo,want,false
you all wanted,voi volevate,want,false
they wanted,loro volevano,want,false

to have,avere,have,true
I have,io ho,have,true
you have (familiar),tu hai,have,false
you have (polite),Lei ha,have,false
we have,noi abbiamo,have,false
you all have,voi avete,have,false
they have,loro hanno,have,false
I had,io avevo,have,false
you had (familiar),tu avevi,have,false
you had (polite),Lei aveva,have,false
we had,noi avevamo,have,false
you all had,voi avevate,have,false
they had,loro avevano,have,false

to understand,capire,understand,true
I understand,io capisco,understand,true
you understand (familiar),tu capisci,understand,false
you understand (polite),Lei capisce,understand,false
we understand,noi capiamo,understand,false
you all understand,voi capite,understand,false
they understand,loro capiscono,understand,false
I understood,io capivo,understand,false
you understood (familiar),tu capivi,understand,false
you understood (polite),Lei capiva,understand,false
we understood,noi capivamo,understand,false
you all understood,voi capivate,understand,false
they understood,loro capivano,understand,false

### Questions ###
where,dove,where,true
how much,quanto,how much,true

### Nouns ###
toilet,bagno,toilet,true
a toilet,un bagno,toilet,false
the toilet,il bagno,toilet,false
the toilets,i bagni,toilet,false

cost,costa,cost,true
a cost,un costo,cost,false
the cost,il costo,cost,false
the costs,i costi,cost,false

time / hour,ora,time / hour,true
a time / an hour,un'ora,time / hour,false
the time / the hour,l'ora,time / hour,false
the times / the hours,le ore,time / hour,false
