term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
metropolitana,True,metropolitana,metro,noun,metro,"Travel & Transportation,Objects & Things",,,feminine,singular,,,False,False,False,,,,,feminine noun; common meaning 'metro',Prendo la metropolitana ogni mattina.,I take the metro every morning.,7ce807aaa9bd89e472d4c7cdf26996c535624521dbe06926372a75f8e998fc04,1152.0,17c74fd3c01ad7b4199e0bb34aff1ea1195257970e064bf3624d16c7e177a528,1944.0,meh-troh-poh-lee-TAH-nah
una metropolitana,False,metropolitana,metro,noun,a metro,"Travel & Transportation,Objects & Things",indefinite,,feminine,singular,,,False,False,False,indefinite,una,una,,,Conosco una metropolitana vicina.,I know a nearby metro.,80ba6de6ee2cea03aa5d5f1ac62e2b2125ac67df197d2300e832eb2010f6eedb,1272.0,e7e7539876bb9770350466b88ebafe4db28debf0b0e75d3098578fbde3d49c11,2160.0,OO-nah meh-troh-poh-lee-TAH-nah
la metropolitana,False,metropolitana,metro,noun,the metro,"Travel & Transportation,Objects & Things",definite,,feminine,singular,,,False,False,False,definite,la,la,,,La metropolitana è affollata.,The metro is crowded.,c0e8e526bb0aa8a87c65d517e0b7c352d33e830c0a127fa3f7271d6fbbc58f0b,1272.0,36d57b1ece4ca677ebeab66cbe5e546a4b407c7cdbb086ef65e4f0c23455d9f7,2112.0,LAH meh-troh-poh-lee-TAH-nah
metropolitane,False,metropolitana,metro,noun,metros,"Travel & Transportation,Objects & Things",,,feminine,plural,,,False,False,False,,,,,plural form,Le metropolitane della città sono efficienti.,The city's metro lines are efficient.,28a5984e935bafb3751ec5a03ee2149878707bc4088c1890404ebf0cdde3b76f,1272.0,2ffda118698557e62e20467f9bcd42aa68e283ceaaa98d77af26cc8afea6f1c1,1944.0,meh-troh-poh-lee-TAH-neh
le metropolitane,False,metropolitana,metro,noun,the metros,"Travel & Transportation,Objects & Things",definite,,feminine,plural,,,False,False,False,definite,le,le,,,Le metropolitane chiudono a mezzanotte.,The metros close at midnight.,8858025fbfc31e5527cb37fab56c81bebbbac108700ec1458047e4174c9483bf,1392.0,8c3dedf6ed43bf25cf27ade19af09cdd1e25c0afd9df11729118ab27c39e1f32,2088.0,LEH meh-troh-poh-lee-TAH-neh
delle metropolitane,False,metropolitana,metro,noun,some metros,"Travel & Transportation,Objects & Things",partitive,,feminine,plural,,,False,False,False,partitive,le,delle,di,partitive plural (contraction of di + le),Provo delle metropolitane locali.,I try some local metro lines.,22d08412478a963ca1f3d42342c5f09c2ee03c646097ed765045512b43a5a9c4,1536.0,5a89a344fbc920ca8386c709a87373ae251ed0a87245984c57dcbfb2a9a60029,2280.0,DEH-lleh meh-troh-poh-lee-TAH-neh
della metropolitana,False,metropolitana,metro,noun,of the metro,"Travel & Transportation,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,L'orario della metropolitana è sul sito.,The metro's schedule is on the website.,6697f4b0bd9b14c8bd091ef2097b54f2e40a6a571c2ca45cf4579defb3a0092f,1392.0,6291b06491cc2f0699217c79cd5b2b678c34fba38df882e2a63acced3564c18a,2280.0,DEH-llah meh-troh-poh-lee-TAH-nah
alla metropolitana,False,metropolitana,metro,noun,to the metro,"Travel & Transportation,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Andiamo alla metropolitana.,We are going to the metro.,ee4617b7ff34d16b45e023ce839b8638070614afd2a625fc6af7cd6e9ff48368,1392.0,edd817e783fe98c977f582df03db2fe79c4f6bdeddb60aefd208936e46d31d9c,2208.0,AH-llah meh-troh-poh-lee-TAH-nah
alle metropolitane,False,metropolitana,metro,noun,to the metros,"Travel & Transportation,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Prenoto alle metropolitane del centro.,I book at the downtown metro lines.,3b3636616475d07f1591a433c250d0e356d63305a2cdf438a6fd83f1d177b42b,1512.0,f4e3199c941de5868260168f1c4992d8290070ddac64e949d357c1cdebe18ded,2184.0,AH-lleh meh-troh-poh-lee-TAH-neh
dalla metropolitana,False,metropolitana,metro,noun,from the metro,"Travel & Transportation,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Esco dalla metropolitana.,I exit from the metro.,1232d980877191eb6d44e53a66d77dcdc67e119179bdef5cecd9bd5f85301be4,1464.0,bb502eb5abff1cceea014aa6987b34d46377380b501827ab57794fc4d4384ee8,2280.0,DAH-llah meh-troh-poh-lee-TAH-nah
dalle metropolitane,False,metropolitana,metro,noun,from the metros,"Travel & Transportation,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Arrivo dalle metropolitane periferiche.,I arrive from the suburban metro lines.,912445020389de390722237397cec26896683fb30ef909bc5369a62076f4b605,1584.0,5d6996f35f1e4ddd1c503bf5c5ed8001b8199011914716c2de182e6b7e07f08a,2280.0,DAH-lleh meh-troh-poh-lee-TAH-neh
nella metropolitana,False,metropolitana,metro,noun,in the metro,"Travel & Transportation,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Lavoro nella metropolitana.,I work in the metro.,eb7c5467e1d0247d01dc396c9380a17fa39abb317f68b9e67fea061fb23ec9b3,1392.0,2923bfe629aeeddcdc0c7660a8cad8d1a1646d8b6fb8b9d1961e86bd74745aef,2280.0,NEH-llah meh-troh-poh-lee-TAH-nah
nelle metropolitane,False,metropolitana,metro,noun,in the metros,"Travel & Transportation,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Non si fuma nelle metropolitane.,You cannot smoke in the metros.,59ee087a39c32a5f7d6ed95cbe3b1904b655438831aa85c02badfa40c3599217,1512.0,4743fcda40f8fb13add6bad5b2cd2b279a653244b19ff41a2f2955159a635277,2280.0,NEH-lleh meh-troh-poh-lee-TAH-neh
sulla metropolitana,False,metropolitana,metro,noun,on the metro,"Travel & Transportation,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Leggo un libro sulla metropolitana.,I read a book on the metro.,99b1154d4c6777aca6b33ba9dd68a025058d6b2f1e3a6a48348d989c51e1dba2,1392.0,66978cbc04fa8caafbf2ae860329824e8f9c6d1accb2e1666fcca57a34a30ae2,2328.0,SOO-llah meh-troh-poh-lee-TAH-nah
sulle metropolitane,False,metropolitana,metro,noun,on the metros,"Travel & Transportation,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Ho informazioni sulle metropolitane europee.,I have information about European metro systems.,95d21344acc34886174ff0692682814be1023710fee688b9b9d1cd26b23f9a4e,1512.0,c8e479df707af3d1f65fc6369f0b3be9ec1ee6b6a37d387c6a6c1d1f1c84d5be,2304.0,SOO-lleh meh-troh-poh-lee-TAH-neh
con la metropolitana,False,metropolitana,metro,noun,with the metro,"Travel & Transportation,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,con + la (no contraction),Vengo con la metropolitana.,I come by metro.,7c942d021233fea7bb21d5a1fabc0acbe7831cefb615f17f968ea15ede69fd80,1464.0,9b4f729878e0caa1c56aabfa150340fc8736762b3f42bf59fee6be19c6036036,2280.0,KOHN LAH meh-troh-poh-lee-TAH-nah
con le metropolitane,False,metropolitana,metro,noun,with the metros,"Travel & Transportation,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,con + le (no contraction),Viaggiamo con le metropolitane locali.,We travel with the local metro lines.,97e3ab2de89848c58913c48857745e49a2611189b963a201a089bc8cf6866254,1560.0,894dd95d55452625ed93b9c47a7a9dd8fd54967cf3311014445f84aeb12f0f5e,2256.0,KOHN LEH meh-troh-poh-lee-TAH-neh
