term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
fare,True,fare,to do/make,verb,to do/make,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,highly irregular verb; auxiliary avere; past participle 'fatto',Voglio fare una pausa.,I want to take a break.,a082ac470cce6d3a5aa5e0c65d2ecfe42d18d2177a2a698017f8d083416a0776,0ddbe277f768e95b2848eebb8d96eb06bafe2145ed1f1ea443ca1b38bf3a767e,2016.0,1224.0
facendo,False,fare,to do/make,verb,doing/making,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto facendo i compiti.,I am doing my homework.,48d4bf2c37ab635bb077a4dae749a5f67249c86ca886e54a9f4c61af6701c39a,8aa07483accf0590075b917fd6dad126c26b0bde30e3747e2592296004c4dedf,2136.0,1536.0
fatto,False,fare,to do/make,verb,done/made,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; irregular root; masculine singular,L'ho fatto.,I did it.,345d12ad55b7447247c9fa99a4f6cab01e27d116fbae6500e60662b0874d56b2,378b86d74c5823a2433d3333de2134ff46291638f7ce1fe5adaa79df79232c4e,1920.0,1344.0
fatta,False,fare,to do/make,verb,done/made,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; irregular root; feminine singular,L'ho fatta.,I did it.,49494dd32ac10983ead777a2fde6dd02141868a52e2f66532dda9e4bfa59067c,378b86d74c5823a2433d3333de2134ff46291638f7ce1fe5adaa79df79232c4e,1920.0,1344.0
fatti,False,fare,to do/make,verb,done/made,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; irregular root; masculine plural,Li ho fatti.,I did them.,87aab51aca280a7cb3df98c2940ec465ef9e71a04f45f6574f1a90ce3e372dc7,378b86d74c5823a2433d3333de2134ff46291638f7ce1fe5adaa79df79232c4e,1920.0,1368.0
fatte,False,fare,to do/make,verb,done/made,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; irregular root; feminine plural,Le ho fatte.,I did them.,5e65cf18f43496abe0022d8fb5faf624536fd1fb0affb26000cd77d20aeeb075,378b86d74c5823a2433d3333de2134ff46291638f7ce1fe5adaa79df79232c4e,1920.0,1320.0
faccio,False,fare,to do/make,verb,I do/make,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,irregular present form,Io faccio colazione presto.,I have breakfast early.,18a697dd84d392503c7253c1fd9c9d47da095431c9bee750b4bb23b2e935cf8c,78c9af8299497a5aa4022f6e94878104464a4191ff69584ddd3ceb8ef50b635d,1968.0,1344.0
fai,False,fare,to do/make,verb,you do/make,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu fai domande interessanti.,You ask interesting questions.,91d046f3f11044c2a89581fa52b0a87ed39446a02b82ed51c1fe934eba92b28e,70be84a3da0e236700fe4e331f2694e50ec447b57d803fba7cbe27fa1fd0e9d0,2016.0,1128.0
fa,False,fare,to do/make,verb,he does/makes/she does/makes/you (formal) do/make,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui fa sport ogni giorno.,He exercises every day.,b28fac3a86dbe44dbd9f6b2abd70035b2dfa1599eb8a00cb87ccfdaa562a81b8,d650aa392eb4b180db6c5a9fdb99eff34837ac439c16185250489422bdf843a9,7248.0,1008.0
facciamo,False,fare,to do/make,verb,we do/make,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Facciamo una passeggiata?,Shall we take a walk?,a2e29e27e1d528883b6344c34dfaeed34642698c60adab1c64df25454a68c6e5,1500334fb4e095edc93bc5ebef4bb3fe340d583950f2e354e2ada5ec35c4f2da,2016.0,1536.0
