token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO071	0	>allora<	allora	linguistic	_	Begin=0.717	_	Fast=0-6	_	_
0-1	TO071	0	daniela	daniela	linguistic	_	_	_	_	_	_
0-2	TO071	0	grazie	grazie	linguistic	_	_	_	_	_	_
0-3	TO071	0	mille	mille	linguistic	_	_	_	_	_	_
0-4	TO071	0	per	per	linguistic	_	_	_	_	_	_
0-5	TO071	0	aver	aver	linguistic	_	_	_	_	_	_
0-6	TO071	0	partecipato	partecipato	linguistic	_	_	_	_	_	_
0-7	TO071	0	a	a	linguistic	_	_	_	_	_	_
0-8	TO071	0	questa	questa	linguistic	_	_	_	_	_	_
0-9	TO071	0	cosa,	cosa	linguistic	Intonation=weakly_rising	End=3.746	_	_	_	_
1-0	TO071	1	ehm	ehm	linguistic	_	Begin=4.003|End=4.483	_	_	_	_
2-0	TO071	2	quello	quello	linguistic	_	Begin=4.856	_	_	_	_
2-1	TO071	2	che	che	linguistic	_	_	_	_	_	_
2-2	TO071	2	ti	ti	linguistic	_	_	_	_	_	_
2-3	TO071	2	chiedo	chiedo	linguistic	_	_	_	_	_	_
2-4	TO071	2	io	io	linguistic	_	_	_	_	_	_
2-5	TO071	2	è	è	linguistic	_	_	_	_	_	_
2-6	TO071	2	di	di	linguistic	_	_	_	_	_	_
2-7	TO071	2	parlare	parlare	linguistic	_	_	_	_	_	_
2-8	TO071	2	del	del	linguistic	_	_	_	_	_	_
2-9	TO071	2	concetto	concetto	linguistic	_	_	_	_	_	_
2-10	TO071	2	di:	di	linguistic	_	_	1x1	_	_	_
2-11	TO071	2	casa.	casa	linguistic	Intonation=Falling	End=7.386	_	_	_	_
3-0	TO071	3	okay?	okay	linguistic	Intonation=Rising	Begin=7.89|End=8.212	_	_	_	_
4-0	TO080	4	okay,	okay	linguistic	Intonation=weakly_rising	Begin=8.212|End=8.604	_	_	_	_
5-0	TO071	5	parliamo	parliamo	linguistic	_	Begin=8.604	_	_	_	_
5-1	TO071	5	di	di	linguistic	_	_	_	_	_	_
5-2	TO071	5	case,	case	linguistic	Intonation=weakly_rising	_	_	_	_	_
5-3	TO071	5	e:hm	ehm	linguistic	_	_	0x1	_	_	_
5-4	TO071	5	per	per	linguistic	_	_	_	_	_	_
5-5	TO071	5	farlo:	farlo	linguistic	_	_	4x1	_	_	_
5-6	TO071	5	come	come	linguistic	_	_	_	_	_	_
5-7	TO071	5	dire	dire	linguistic	_	_	_	_	_	_
5-8	TO071	5	molto	molto	linguistic	_	_	_	_	_	_
5-9	TO071	5	semplicemente,	semplicemente	linguistic	Intonation=weakly_rising	End=13.733	_	_	_	_
6-0	TO071	6	ehm	ehm	linguistic	_	Begin=14.173|End=14.493	_	_	_	_
7-0	TO071	7	mi	mi	linguistic	_	Begin=14.844	_	_	_	_
7-1	TO071	7	puoi	puoi	linguistic	_	_	_	_	_	_
7-2	TO071	7	dire	dire	linguistic	_	_	_	_	_	_
7-3	TO071	7	dove	dove	linguistic	_	_	_	_	_	_
7-4	TO071	7	hai	hai	linguistic	_	_	_	_	_	_
7-5	TO071	7	vissuto	vissuto	linguistic	_	_	_	_	_	_
7-6	TO071	7	nel	nel	linguistic	_	_	_	_	_	_
7-7	TO071	7	duemila	duemila	linguistic	_	_	_	_	_	_
7-8	TO071	7	diciotto?	diciotto	linguistic	Intonation=Rising	End=17.376	_	_	_	_
8-0	TO071	8	ad	ad	linguistic	_	Begin=17.683	_	_	_	_
8-1	TO071	8	esemp[io	esempio	linguistic	_	_	_	_	_	5-7(0)
8-2	TO071	8	qual	qual	linguistic	_	_	_	_	_	0-4(0)
8-3	TO071	8	è	è	linguistic	_	_	_	_	_	0-1(0)
8-4	TO071	8	la	la	linguistic	_	_	_	_	_	0-2(0)
8-5	TO071	8	tua	tua	linguistic	_	_	_	_	_	0-3(0)
8-6	TO071	8	casa]	casa	linguistic	_	_	_	_	_	0-4(0)
8-7	TO071	8	non	non	linguistic	_	_	_	_	_	_
8-8	TO071	8	lo	lo	linguistic	_	_	_	_	_	_
8-9	TO071	8	so	so	linguistic	_	_	_	_	_	_
8-10	TO071	8	torinese	torinese	linguistic	_	_	_	_	_	_
8-11	TO071	8	o	o	linguistic	_	_	_	_	_	_
8-12	TO071	8	degli	degli	linguistic	_	_	_	_	_	_
8-13	TO071	8	altri	altri	linguistic	_	_	_	_	_	_
8-14	TO071	8	[xxx]	x	unknown	_	End=21.17	_	_	_	0-3(1)
9-0	TO080	9	[torinese	torinese	linguistic	_	Begin=18.13	_	_	_	0-8(0)
9-1	TO080	9	o	o	linguistic	_	_	_	_	_	0-1(0)
9-2	TO080	9	altre]?	altre	linguistic	Intonation=Rising	End=19.121	_	_	_	0-5(0)
10-0	TO080	10	[okay]	okay	linguistic	_	Begin=20.85|End=21.17	_	_	_	0-4(1)
11-0	TO080	11	>(quindi)<	quindi	linguistic	_	Begin=21.451	_	Fast=0-6	0-6(0)	_
11-1	TO080	11	sì	sì	linguistic	_	_	_	_	_	_
11-2	TO080	11	nel	nel	linguistic	_	_	_	_	_	_
11-3	TO080	11	duemila	duemila	linguistic	_	_	_	_	_	_
11-4	TO080	11	diciotto	diciotto	linguistic	_	_	_	_	_	_
11-5	TO080	11	ho	ho	linguistic	_	_	_	_	_	_
11-6	TO080	11	vissuto	vissuto	linguistic	_	_	_	_	_	_
11-7	TO080	11	qua	qua	linguistic	_	_	_	_	_	_
11-8	TO080	11	a	a	linguistic	_	_	_	_	_	_
11-9	TO080	11	torino,	torino	linguistic	Intonation=weakly_rising	End=24.12	_	_	_	_
12-0	TO071	12	mhmh	mhmh	linguistic	_	Begin=24.12|End=24.63	_	_	_	_
13-0	TO080	13	e:::	e	linguistic	_	Begin=24.954	0x3	_	_	_
13-1	TO080	13	niente	niente	linguistic	_	_	_	_	_	_
13-2	TO080	13	vivo	vivo	linguistic	_	_	_	_	_	_
13-3	TO080	13	in::	in	linguistic	_	_	1x2	_	_	_
13-4	TO080	13	in	in	linguistic	_	_	_	_	_	_
13-5	TO080	13	un	un	linguistic	_	_	_	_	_	_
13-6	TO080	13	bilocale,	bilocale	linguistic	Intonation=weakly_rising	End=29.13	_	_	_	_
14-0	TO071	14	mhmh	mhmh	linguistic	_	Begin=29.13|End=29.595	_	_	_	_
15-0	TO080	15	e::hm	ehm	linguistic	_	Begin=29.595	0x2	_	_	_
15-1	TO080	15	non	non	linguistic	_	_	_	_	_	_
15-2	TO080	15	lontano	lontano	linguistic	_	_	_	_	_	_
15-3	TO080	15	dall'	dall'	linguistic	SpaceAfter=No	_	_	_	_	_
15-4	TO080	15	università	università	linguistic	_	_	_	_	_	_
15-5	TO080	15	quindi	quindi	linguistic	_	_	_	_	_	_
15-6	TO080	15	in	in	linguistic	_	_	_	_	_	_
15-7	TO080	15	zona	zona	linguistic	_	_	_	_	_	_
15-8	TO080	15	centro,	centro	linguistic	Intonation=weakly_rising	End=32.867	_	_	_	_
16-0	TO080	16	e:::	e	linguistic	_	Begin=33.728|End=35.104	0x3	_	_	_
17-0	TO080	17	è	è	linguistic	_	Begin=35.999	_	_	_	_
17-1	TO080	17	piccol(o)	piccolo	linguistic	_	End=36.763	_	_	6-7(0)	_
18-0	TO071	18	okay,	okay	linguistic	Intonation=weakly_rising	Begin=36.731	_	_	_	_
18-1	TO071	18	è	è	linguistic	_	_	_	_	_	_
18-2	TO071	18	un	un	linguistic	_	_	_	_	_	_
18-3	TO071	18	bilo[cale,	bilocale	linguistic	Intonation=weakly_rising	_	_	_	_	4-8(2)
18-4	TO071	18	ma	ma	linguistic	_	_	_	_	_	0-2(2)
18-5	TO071	18	vivi	vivi	linguistic	_	_	_	_	_	0-4(2)
18-6	TO071	18	da	da	linguistic	_	_	_	_	_	0-2(2)
18-7	TO071	18	sola]	sola	linguistic	_	_	_	_	_	0-4(2)
18-8	TO071	18	o	o	linguistic	_	_	_	_	_	_
18-9	TO071	18	comunqnue	comunqnue	linguistic	_	_	_	_	_	_
18-10	TO071	18	con?	con	linguistic	Intonation=Rising	End=39.246	_	_	_	_
19-0	TO080	19	[sì	sì	linguistic	_	Begin=37.48	_	_	_	0-2(3)
19-1	TO080	19	è	è	linguistic	_	_	_	_	_	0-1(3)
19-2	TO080	19	un	un	linguistic	_	_	_	_	_	0-2(3)
19-3	TO080	19	bilocale]	bilocale	linguistic	_	End=38.676	_	_	_	0-8(3)
20-0	TO080	20	vivo	vivo	linguistic	_	Begin=39.251	_	_	_	_
20-1	TO080	20	da	da	linguistic	_	_	_	_	_	_
20-2	TO080	20	sola,	sola	linguistic	Intonation=weakly_rising	End=40.334	_	_	_	_
21-0	TO071	21	ah	ah	linguistic	_	Begin=40.334	_	_	_	_
21-1	TO071	21	okay	okay	linguistic	_	End=41.125	_	_	_	_
22-0	TO080	22	e::::	e	linguistic	_	Begin=41.846	0x4	_	_	_
22-1	TO080	22	niente	niente	linguistic	_	_	_	_	_	_
22-2	TO080	22	sono	sono	linguistic	_	_	_	_	_	_
22-3	TO080	22	in	in	linguistic	_	_	_	_	_	_
22-4	TO080	22	un	un	linguistic	_	_	_	_	_	_
22-5	TO080	22	ehm	ehm	linguistic	_	_	_	_	_	_
22-6	TO080	22	in	in	linguistic	_	_	_	_	_	_
22-7	TO080	22	uno	uno	linguistic	_	_	_	_	_	_
22-8	TO080	22	spazio	spazio	linguistic	_	_	_	_	_	_
22-9	TO080	22	che	che	linguistic	_	_	_	_	_	_
22-10	TO080	22	ho	ho	linguistic	_	_	_	_	_	_
22-11	TO080	22	trovato	trovato	linguistic	_	_	_	_	_	_
22-12	TO080	22	perché	perché	linguistic	_	_	_	_	_	_
22-13	TO080	22	avevo	avevo	linguistic	_	_	_	_	_	_
22-14	TO080	22	cercato	cercato	linguistic	_	_	_	_	_	_
22-15	TO080	22	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
22-16	TO080	22	ho	ho	linguistic	_	_	_	_	_	_
22-17	TO080	22	iniziato	iniziato	linguistic	_	_	_	_	_	_
22-18	TO080	22	a	a	linguistic	_	_	_	_	_	_
22-19	TO080	22	cercare	cercare	linguistic	_	_	_	_	_	_
