term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
arrestato,True,arrestato,arrested person,noun,arrested person,"law,people",,,masculine,singular,,,False,False,False,,,,,masculine noun; feminine arrestata,Cerco arrestato in aula.,I look for the arrested person in the courtroom.,0bc50a712f19783e82243afd73db62da91cfef0ea4108f86663f2612bdae2984,92c002c3643bee3e0b46ad4f002eb5e5f752841aaee9e8f71339a43c50f4b8cb,1656.0,1656.0,ah-rrehs-TAH-toh
un arrestato,False,arrestato,arrested person,noun,an arrested person,"law,people",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Conosco un arrestato.,I know an arrested person.,d689244d1be857dbc2f8a69fd45a20ed906b07ad72a814e430e1db482c018dda,d4ac716a6fccf99b09de56aba6e348b49ba2d9a5a7a621d9bd5632a08b1ee2e8,1752.0,1824.0,OON ah-rrehs-TAH-toh
l'arrestato,False,arrestato,arrested person,noun,the arrested person,"law,people",,,masculine,singular,,,False,False,False,definite,l',l',,before vowel uses l',L'arrestato è in custodia.,The arrested person is in custody.,1e6732552e6f6a0d5140b5fc79007d5b2d949910bcd0b074c73826f0fa767ed2,f4d0c505ee42a223e57316bb674f16d45fb4e469053de004f6d6fc3e42c35e54,1776.0,1728.0,lah-rrehs-TAH-toh
arrestati,False,arrestato,arrested person,noun,arrested people,"law,people",,,masculine,plural,,,False,False,False,,,,,plural form,Arrestati arrivano in tarda serata.,Arrested people arrive late in the evening.,38de02d8c8da0d01ddcbfc45d14f5b43ea8b0c9ea32527d04dbd4a00324a806e,f2c3980f1e3dc7025d25d7e22878c8148c6cf0f4d747138052f7701fe1930d05,1584.0,1632.0,ah-rrehs-TAH-tee
gli arrestati,False,arrestato,arrested person,noun,the arrested people,"law,people",,,masculine,plural,,,False,False,False,definite,gli,gli,,,Gli arrestati sono tranquilli.,The arrested people are calm.,6399406137f40a55217ad73f3f7efd15f00054fac247b3ab13a5b439bf33afb7,77b235092b6e0062fb1c11cfe65054e914374d0b9e67be557f8c50d8f7145afb,1728.0,1944.0,LY ah-rrehs-TAH-tee
degli arrestati,False,arrestato,arrested person,noun,some arrested people,"law,people",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Parlo con degli arrestati.,I speak with some arrested people.,aa87ef9eaff7594fc3ae6084aed64e1c621301f7a1cfe9f6ab7ad8c3d0c35857,0303ca67803f6b352cb8bb496d5e84e6f89640b242734d78f855784dfbdead85,1872.0,1968.0,DEH-ly ah-rrehs-TAH-tee
dell'arrestato,False,arrestato,arrested person,noun,of the arrested person,"law,people",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',I diritti dell'arrestato sono rispettati.,The rights of the arrested person are respected.,91fdf3c29ce9f02eaeb8082df9108cf5c610d6ddac682a7600ba212a02b2d2bb,f508db015d8af3f65a7ed4f38e206c65af317e19329695d55f3da9539521e97a,1896.0,1920.0,deh-llah-rrehs-TAH-toh
all'arrestato,False,arrestato,arrested person,noun,to the arrested person,"law,people",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Parlo all'arrestato.,I speak to the arrested person.,247c57a60e84a9783e95eaddd5cc6ca70cbbc4e9efdea6faeb1f86a1e8039ed1,b69577509d69be94924695962b6fd2885c49479cfed11211e070e5fdbbf6b987,1896.0,1848.0,ah-llah-rrehs-TAH-toh
dall'arrestato,False,arrestato,arrested person,noun,from the arrested person,"law,people",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Prendo la testimonianza dall'arrestato.,I take the testimony from the arrested person.,96036910701f7927f89fa92b5eb94e0b3cb7391ad94572ddb4b0106403089ba1,3f187d0ca3a0bd35553faccc0e31537e1510a53bb0a5df2404e314db6a824692,1992.0,1944.0,dah-llah-rrehs-TAH-toh
nell'arrestato,False,arrestato,arrested person,noun,in the arrested person,"law,people",,,masculine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',La fiducia nell'arrestato è scarsa.,Trust in the arrested person is low.,223d9e8c21b5c8f307d270615f927d82411a94ff613f38511fd93809e6446605,bf277d36459b594ec007f8df6b571fba39c4d29f13c27f17197583179cd22bf6,1920.0,1944.0,neh-llah-rrehs-TAH-toh
sull'arrestato,False,arrestato,arrested person,noun,about the arrested person,"law,people",,,masculine,singular,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',Leggo un rapporto sull'arrestato.,I read a report about the arrested person.,555b25226c9da11f305c0a9e1c2f031b76785f502fcff4692f5072f8d3e65727,61eb25b71ac0ccb5d6c47f1945562cb797a5e54d5fbb6ef8ce0c310c4fdeeb7e,2064.0,1992.0,soo-llah-rrehs-TAH-toh
con l'arrestato,False,arrestato,arrested person,noun,with the arrested person,"law,people",,,masculine,singular,,,False,False,False,articulated_preposition,l',con l',con,no contraction for con + l',Parlo con l'arrestato.,I speak with the arrested person.,39f9b484020f09cce56a0307d8b9292e2a3fb71199139f5d26e828f9297d4899,41d6ebe93657c66180ac516a61d19de12cc266db31107b79a571635aa1317fcb,1968.0,1920.0,KOHN lah-rrehs-TAH-toh
agli arrestati,False,arrestato,arrested person,noun,to the arrested people,"law,people",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Scrivo agli arrestati.,I write to the arrested people.,1dd91a295ad62f9f374520b465530dbdb778adb2b718c5f30b1107dc4763de95,bd3425188eee341d78d3b945cc414cae79b40eac5aee34566f299f270b6409f2,1848.0,1920.0,AH-ly ah-rrehs-TAH-tee
dagli arrestati,False,arrestato,arrested person,noun,from the arrested people,"law,people",,,masculine,plural,,,False,False,False,articulated_preposition,gli,dagli,da,contraction of da + gli,Imparo dagli arrestati.,I learn from the arrested people.,8182886b0974f54663a2ba81602220fe120937974b89c21ac624f9da4550a757,1b5e9d7ea589405e918b37c15285084487cc67b6f5db7c0ee4153ed05f010cf8,1920.0,2016.0,DAH-ly ah-rrehs-TAH-tee
negli arrestati,False,arrestato,arrested person,noun,in the arrested people,"law,people",,,masculine,plural,,,False,False,False,articulated_preposition,gli,negli,in,contraction of in + gli,L'interesse negli arrestati cresce.,Interest in the arrested people is growing.,0697f33b5ec55cfef4976b61b917b65664c1dcb310b0850e2548426cd47f99e8,d6190a1e10c0a344f0ee6175ca6c868b79f3cd890e98b64ca6dbabd161133a09,1848.0,1992.0,NEH-ly ah-rrehs-TAH-tee
sugli arrestati,False,arrestato,arrested person,noun,about the arrested people,"law,people",,,masculine,plural,,,False,False,False,articulated_preposition,gli,sugli,su,contraction of su + gli,Leggo dati sugli arrestati.,I read data about the arrested people.,93ad838268ddb8235cadcf5fa08565ff1b2dcac602b23fec4c93a85396ffad13,cf1e05faa66f6cdac84c912305f72e2306efa9812c600a5a977c29e428257929,1992.0,2088.0,SOO-ly ah-rrehs-TAH-tee
con gli arrestati,False,arrestato,arrested person,noun,with the arrested people,"law,people",,,masculine,plural,,,False,False,False,articulated_preposition,gli,con gli,con,no contraction,Parlo con gli arrestati.,I speak with the arrested people.,59257de4b11368e9747a964373b699b5b551497c0609b3295aaac232d68d4af5,34fb052a4c2134bb52554f9bc4044d456c0e3b10b07917bab02e6d3222aef817,1920.0,2016.0,KOHN LY ah-rrehs-TAH-tee
