term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
bancomat,True,bancomat,ATM/debit card,noun,ATM,"money,banking",,,masculine,singular,,,False,False,False,,,,,base lemma; invariable plural; also used for debit card,Cerco bancomat vicino.,I am looking for an ATM nearby.,e51434f5dbf3699338f95ebf51d288cd935669c196637ebe5a05d86a3ae644d8,1488.0,f09310cadc1b6aae29adcbc2ba311368b60c1d501ed975b1b70a4742037854e4,1584.0
un bancomat,False,bancomat,ATM/debit card,noun,an ATM,"money,banking",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Vedo un bancomat laggiù.,I see an ATM over there.,7d0acdfb2cb1e9fcef65f95b6e44e729f4a9a2fd45a0eaccf5fd424781eaaa3f,1584.0,a9c99aa96b751ceccc698df3b7073d64bdd1432f1849ccf1cebaf5aaa27c243e,1728.0
il bancomat,False,bancomat,ATM/debit card,noun,the ATM,"money,banking",,,masculine,singular,,,False,False,False,definite,il,il,,,Il bancomat non funziona.,The ATM is not working.,cad8420cf6d7fb154e3e173a2f76d6f4caceab8ddc178a9aa791babf1f3df0e9,1584.0,b559bb37524231d4b00318dd51cc350763abb961dce12ec3fd5d2fa6c1592c7c,1728.0
bancomat,False,bancomat,ATM/debit card,noun,ATMs,"money,banking",,,masculine,plural,,,False,False,False,,,,,invariable plural,In città ci sono molti bancomat.,There are many ATMs in the city.,a6dbbd0a31e64bbdfdee674e5d2d9780e938886515dd87f9cb6661fdb37700ca,1536.0,f09310cadc1b6aae29adcbc2ba311368b60c1d501ed975b1b70a4742037854e4,1584.0
i bancomat,False,bancomat,ATM/debit card,noun,the ATMs,"money,banking",,,masculine,plural,,,False,False,False,definite,i,i,,,I bancomat sono fuori servizio.,The ATMs are out of order.,84971d17e46d94cea133b5bb42ac3a84037f917c30f39f902e10785bb568ed2e,1656.0,5ee3876c3fac5c9bed9fae50cae8aa9f29678b19769600d10d10eb4a4b34a5ec,1632.0
dei bancomat,False,bancomat,ATM/debit card,noun,some ATMs,"money,banking",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho visto dei bancomat nuovi.,I saw some new ATMs.,8ad7cd195aca2c2666415b97fff5e7db62c7c8c0e4b80b50ae09386fcd621243,1728.0,8641490a4399e1aaaa765c6cb56657eb6e422f1dbff5fa6855353ec7c3a4c82f,1776.0
del bancomat,False,bancomat,ATM/debit card,noun,of the ATM,"money,banking",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,La tastiera del bancomat è rotta.,The keypad of the ATM is broken.,5fc301a7c7f24f1bc09fc96bdb67532070e860b9d9e537dae01cdcd8df35d23f,1656.0,24f86fabcaff87585d2cb94163f4c95fbd7ab1bad7c1d32b92651ca3b5128052,1800.0
al bancomat,False,bancomat,ATM/debit card,noun,to the ATM,"money,banking",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Prelevo al bancomat.,I withdraw at the ATM.,c2e09f29483a3ab18dd018ecac425fb638f6efa04aa555e29fcd2ac6a72ade74,1608.0,cd8293076a52f93d0a623065f0f0fe516187c81a1cde10b0092a01269bec7859,1704.0
ai bancomat,False,bancomat,ATM/debit card,noun,to the ATMs,"money,banking",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,C'è fila ai bancomat.,There is a line at the ATMs.,76b76556694155c8debfeee2d00590834572f8c3ad6070a66d17008916456192,1704.0,0bad155fd4fe9b204a8f2ef0794ca2941d7ccece4514f46418524875fa2c1ea2,1704.0
dal bancomat,False,bancomat,ATM/debit card,noun,from the ATM,"money,banking",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Sono appena tornato dal bancomat.,I just came back from the ATM.,291f72f7e7fd9469c32a5d0b6c9ee244e97a7a3e29ad177a88848ee17d288364,1704.0,49a0d869d661ef46b5d20b5f43a95d54336511abce97b88d1bf0501a8c95db10,1800.0
