token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR001	0	((ride))	((ride))	nonverbalbehavior	none	_	Begin=0.0|End=0.585	_	_	_	_
1-0	TOR002	1	ma	ma	linguistic	none	_	Begin=0.215	_	_	_	_
1-1	TOR002	1	guarda	guarda	linguistic	none	_	_	_	_	_	_
1-2	TOR002	1	qua	qua	linguistic	none	_	_	_	_	_	_
1-3	TOR002	1	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
1-4	TOR002	1	è	è	linguistic	none	_	_	_	_	_	_
1-5	TOR002	1	da	da	linguistic	none	_	_	_	_	_	_
1-6	TOR002	1	sparecchiare	sparecchiare	linguistic	none	_	End=2.198	_	_	_	_
2-0	TOI005	2	[dai	dai	linguistic	none	_	Begin=2.198	_	_	_	0-3(636)
2-1	TOI005	2	dagli	dagli	linguistic	none	_	_	_	_	_	0-5(636)
2-2	TOI005	2	una	una	linguistic	none	_	_	_	_	_	0-3(636)
2-3	TOI005	2	mano	mano	linguistic	none	_	_	_	_	_	0-4(636)
2-4	TOI005	2	al	al	linguistic	none	_	_	_	_	_	0-2(636)
2-5	TOI005	2	xx	x	unknown	none	_	_	_	_	_	0-2(636)
2-6	TOI005	2	dai	dai	linguistic	none	_	_	_	_	_	0-3(636)
2-7	TOI005	2	una	una	linguistic	none	_	_	_	_	_	0-3(636)
2-8	TOI005	2	mano	mano	linguistic	none	_	_	_	_	_	0-4(636)
2-9	TOI005	2	xx]	x	unknown	none	_	End=5.11	_	_	_	0-2(636)
3-0	???	3	[no:	no	linguistic	none	_	Begin=2.497	1x1	_	_	0-2(636)
3-1	???	3	sto	sto	linguistic	none	_	_	_	_	_	0-3(636)
3-2	???	3	qua	qua	linguistic	none	_	_	_	_	_	0-3(636)
3-3	???	3	seduta]	seduta	linguistic	none	_	End=4.0	_	_	_	0-6(636)
4-0	TOR001	4	[ma	ma	linguistic	none	_	Begin=3.895	_	_	_	0-2(636)
4-1	TOR001	4	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	0-3(636)
4-2	TOR001	4	ascolta]	ascolta	linguistic	none	_	End=5.602	_	_	_	0-7(636)
5-0	???	5	[mi	mi	linguistic	none	_	Begin=4.541	_	_	_	0-2(637)
5-1	???	5	siedo	siedo	linguistic	none	_	_	_	_	_	0-5(637)
5-2	???	5	sul	sul	linguistic	none	_	_	_	_	_	0-3(637)
5-3	???	5	divano]	divano	linguistic	none	_	_	_	_	_	0-6(637)
5-4	???	5	dai	dai	linguistic	none	_	_	_	_	_	_
5-5	???	5	[va	va	linguistic	none	_	_	_	_	_	0-2(638)
5-6	???	5	bene]	bene	linguistic	none	_	End=6.408	_	_	_	0-4(638)
6-0	TOR001	6	[ma	ma	linguistic	none	_	Begin=6.071	_	_	_	0-2(638)
6-1	TOR001	6	no	no	linguistic	none	_	_	_	_	_	0-2(638)
6-2	TOR001	6	ma]	ma	linguistic	none	_	_	_	_	_	0-2(638)
