term_italian,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
addolorato,addolorato,saddened,adj,saddened (masculine),"emotion,description",,,m,s,,,False,False,False,,,,,also used as past participle,È un padre addolorato.,He is a saddened father.,,
addolorata,addolorato,saddened,adj,saddened (feminine),"emotion,description",,,f,s,,,False,False,False,,,,,also used as past participle,È una madre addolorata.,She is a saddened mother.,,
addolorati,addolorato,saddened,adj,saddened (masculine plural),"emotion,description",,,m,p,,,False,False,False,,,,,also used as past participle,Siamo addolorati per la notizia.,We are saddened by the news.,,
addolorate,addolorato,saddened,adj,saddened (feminine plural),"emotion,description",,,f,p,,,False,False,False,,,,,also used as past participle,Sono addolorate per l'accaduto.,They are saddened by what happened.,,
adulto,adulto,adult,adj,adult (masculine),"people,age",,,m,s,,,False,False,False,,,,,variable adjective,Il pubblico adulto paga di più.,The adult audience pays more.,,
adulta,adulto,adult,adj,adult (feminine),"people,age",,,f,s,,,False,False,False,,,,,,Una donna adulta decide da sola.,An adult woman decides on her own.,,
adulti,adulto,adult,adj,adult (masculine plural),"people,age",,,m,p,,,False,False,False,,,,,,I figli adulti vivono da soli.,The adult children live on their own.,,
adulte,adulto,adult,adj,adult (feminine plural),"people,age",,,f,p,,,False,False,False,,,,,,Le studentesse adulte lavorano la sera.,The adult students work in the evening.,,
aggiunto,aggiunto,added,adj,added (masculine),"quality,modification",,,m,s,,,False,False,False,,,,,from verb aggiungere,È un valore aggiunto.,It is an added value.,,
aggiunta,aggiunto,added,adj,added (feminine),"quality,modification",,,f,s,,,False,False,False,,,,,from verb aggiungere,C'è una tassa aggiunta.,There is an added fee.,,
aggiunti,aggiunto,added,adj,added (masculine plural),"quality,modification",,,m,p,,,False,False,False,,,,,from verb aggiungere,I costi aggiunti sono inclusi.,The added costs are included.,,
aggiunte,aggiunto,added,adj,added (feminine plural),"quality,modification",,,f,p,,,False,False,False,,,,,from verb aggiungere,Le spese aggiunte sono minime.,The added expenses are minimal.,,
alto,alto,tall/high,adj,tall/high (masculine),"description,size",,,m,s,,,False,False,False,,,,,means 'tall' for people; 'high' for objects,Lui è alto.,He is tall.,,
alta,alto,tall/high,adj,tall/high (feminine),"description,size",,,f,s,,,False,False,False,,,,,means 'tall' for people; 'high' for objects,La montagna è alta.,The mountain is high.,,
alti,alto,tall/high,adj,tall/high (masculine plural),"description,size",,,m,p,,,False,False,False,,,,,means 'tall' for people; 'high' for objects,I palazzi sono alti.,The buildings are tall.,,
alte,alto,tall/high,adj,tall/high (feminine plural),"description,size",,,f,p,,,False,False,False,,,,,means 'tall' for people; 'high' for objects,Le ragazze sono alte.,The girls are tall.,,
altro,altro,other,adj,other (masculine),"core,quantity",,,m,s,,,False,False,False,,,,,,Prendo un altro caffè.,I am having another coffee.,,
altra,altro,other,adj,other (feminine),"core,quantity",,,f,s,,,False,False,False,,,,,,Porti altra acqua per favore.,Bring some more water please.,,
altri,altro,other,adj,other (masculine plural),"core,quantity",,,m,p,,,False,False,False,,,,,,Ci sono altri problemi.,There are other problems.,,
altre,altro,other,adj,other (feminine plural),"core,quantity",,,f,p,,,False,False,False,,,,,,Ho letto altre storie.,I have read other stories.,,
anziano,anziano,elderly,adj,elderly (masculine),"people,age",,,m,s,,,False,False,False,,,,,,Mio nonno è anziano.,My grandfather is elderly.,,
anziana,anziano,elderly,adj,elderly (feminine),"people,age",,,f,s,,,False,False,False,,,,,,La vicina è anziana.,The neighbor is elderly.,,
anziani,anziano,elderly,adj,elderly (masculine plural),"people,age",,,m,p,,,False,False,False,,,,,,I medici anziani lavorano ancora.,The elderly doctors still work.,,
anziane,anziano,elderly,adj,elderly (feminine plural),"people,age",,,f,p,,,False,False,False,,,,,,Le insegnanti anziane sono gentili.,The elderly female teachers are kind.,,
arrestato,arrestato,arrested,adj,arrested (masculine),"law,description",,,m,s,,,False,False,False,,,,,,Un uomo arrestato è stanco.,An arrested man is tired.,,
arrestata,arrestato,arrested,adj,arrested (feminine),"law,description",,,f,s,,,False,False,False,,,,,,Una donna arrestata piange.,An arrested woman is crying.,,
arrestati,arrestato,arrested,adj,arrested (masculine plural),"law,description",,,m,p,,,False,False,False,,,,,,I sospetti arrestati parlano.,The arrested suspects speak.,,
arrestate,arrestato,arrested,adj,arrested (feminine plural),"law,description",,,f,p,,,False,False,False,,,,,,Le persone arrestate attendono.,The arrested people wait.,,
atterrito,atterrito,terrified,adj,terrified (masculine),"emotion,quality",,,m,s,,,False,False,False,,,,,from verb atterrire,Sono atterrito.,I am terrified.,,
atterrita,atterrito,terrified,adj,terrified (feminine),"emotion,quality",,,f,s,,,False,False,False,,,,,from verb atterrire,Sono atterrita.,I am terrified.,,
atterriti,atterrito,terrified,adj,terrified (masculine plural),"emotion,quality",,,m,p,,,False,False,False,,,,,from verb atterrire,Siamo atterriti.,We are terrified.,,
atterrite,atterrito,terrified,adj,terrified (feminine plural),"emotion,quality",,,f,p,,,False,False,False,,,,,from verb atterrire,Le ragazze sono atterrite.,The girls are terrified.,,
basso,basso,low/short,adj,low/short (masculine),"quality,description",,,m,s,,,False,False,False,,,,,can describe height or level,Il tavolo è basso.,The table is low.,,
bassa,basso,low/short,adj,low/short (feminine),"quality,description",,,f,s,,,False,False,False,,,,,,La sedia è bassa.,The chair is low.,,
bassi,basso,low/short,adj,low/short (masculine plural),"quality,description",,,m,p,,,False,False,False,,,,,,I soffitti sono bassi.,The ceilings are low.,,
basse,basso,low/short,adj,low/short (feminine plural),"quality,description",,,f,p,,,False,False,False,,,,,,Le sedie sono basse.,The chairs are low.,,
bello,bello,beautiful/nice,adj,beautiful/nice (masculine),"quality,appearance",,,m,s,,,False,False,False,,,,,"also used attributively before s+consonant, z, gn, ps, x",Il quadro è bello.,The painting is beautiful.,,
bella,bello,beautiful/nice,adj,beautiful/nice (feminine),"quality,appearance",,,f,s,,,False,False,False,,,,,,La città è bella.,The city is beautiful.,,
belli,bello,beautiful/nice,adj,beautiful/nice (masculine plural),"quality,appearance",,,m,p,,,False,False,False,,,,,,I fiori sono belli.,The flowers are beautiful.,,
belle,bello,beautiful/nice,adj,beautiful/nice (feminine plural),"quality,appearance",,,f,p,,,False,False,False,,,,,,Le montagne sono belle.,The mountains are beautiful.,,
bel,bello,beautiful/nice,adj,beautiful/nice (masculine),"quality,appearance",,,m,s,,,False,False,False,,,,,used before most consonants (attributive),È un bel film.,It is a nice movie.,,
bell',bello,beautiful/nice,adj,beautiful/nice (masculine),"quality,appearance",,,m,s,,,False,False,False,,,,,elided form before a vowel (attributive),Che bell'uomo!,What a handsome man!,,
bell',bello,beautiful/nice,adj,beautiful/nice (feminine),"quality,appearance",,,f,s,,,False,False,False,,,,,elided form before a vowel (attributive),Che bell'amica!,What a beautiful friend!,,
bei,bello,beautiful/nice,adj,beautiful/nice (masculine plural),"quality,appearance",,,m,p,,,False,False,False,,,,,used before most consonants (attributive),Che bei posti!,What beautiful places!,,
