term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
mangiare,true,mangiare,to eat,"food,eating",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio mangiare adesso.","I want to eat now."
mangiando,false,mangiare,eating,"food,eating",non-finite,gerund,n/a,n/a,n/a,false,,"Sto mangiando.","I am eating."
mangiato,false,mangiare,eaten (masculine singular),"food,eating",non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses,"Il pane è mangiato.","The bread is eaten."
mangiata,false,mangiare,eaten (feminine singular),"food,eating",non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses,"La mela è mangiata.","The apple is eaten."
mangiati,false,mangiare,eaten (masculine plural),"food,eating",non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses,"I piatti sono mangiati.","The plates are eaten."
mangiate,false,mangiare,eaten (feminine plural),"food,eating",non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses,"Le mele sono mangiate.","The apples are eaten."
mangio,false,mangiare,I eat / I am eating,"food,eating",indicative,present,1s,n/a,singular,false,,"Io mangio la colazione.","I eat breakfast."
mangi,false,mangiare,you eat,"food,eating",indicative,present,2s,n/a,singular,false,,"Tu mangi un panino.","You eat a sandwich."
mangia,false,mangiare,he/she/it eats,"food,eating",indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui mangia lentamente.","He eats slowly."
mangiamo,false,mangiare,we eat,"food,eating",indicative,present,1p,n/a,plural,false,,"Noi mangiamo insieme.","We eat together."
mangiate,false,mangiare,you (plural) eat,"food,eating",indicative,present,2p,n/a,plural,false,,"Voi mangiate troppo tardi.","You (plural) eat too late."
mangiano,false,mangiare,they eat,"food,eating",indicative,present,3p,n/a,plural,false,,"Loro mangiano spesso fuori.","They eat out often."
mangiavo,false,mangiare,I was eating / I used to eat,"food,eating",indicative,imperfect,1s,n/a,singular,false,,"Io mangiavo alle otto.","I used to eat at eight."
mangiavi,false,mangiare,you were eating / you used to eat,"food,eating",indicative,imperfect,2s,n/a,singular,false,,"Tu mangiavi lentamente.","You were eating slowly."
mangiava,false,mangiare,he/she/it was eating / used to eat,"food,eating",indicative,imperfect,3s,n/a,singular,false,also 'you (formal)',"Lei mangiava da sola.","She was eating alone."
mangiavamo,false,mangiare,we were eating / we used to eat,"food,eating",indicative,imperfect,1p,n/a,plural,false,,"Noi mangiavamo spesso lì.","We used to eat there often."
mangiavate,false,mangiare,you (plural) were eating / used to eat,"food,eating",indicative,imperfect,2p,n/a,plural,false,,"Voi mangiavate troppo in fretta.","You (plural) used to eat too fast."
mangiavano,false,mangiare,they were eating / they used to eat,"food,eating",indicative,imperfect,3p,n/a,plural,false,,"Loro mangiavano insieme ogni domenica.","They used to eat together every Sunday."
ho mangiato,false,mangiare,I have eaten / I ate,"food,eating",indicative,passato_prossimo,1s,masculine,singular,true,used with auxiliary 'avere' to form compound tenses,"Ho mangiato la mela.","I have eaten the apple."
ho mangiato,false,mangiare,I have eaten / I ate,"food,eating",indicative,passato_prossimo,1s,feminine,singular,true,used with auxiliary 'avere' to form compound tenses,"Ho mangiato la mela.","I have eaten the apple."
hai mangiato,false,mangiare,you have eaten / you ate,"food,eating",indicative,passato_prossimo,2s,masculine,singular,true,used with auxiliary 'avere' to form compound tenses,"Hai mangiato la pizza.","You have eaten the pizza."
hai mangiato,false,mangiare,you have eaten / you ate,"food,eating",indicative,passato_prossimo,2s,feminine,singular,true,used with auxiliary 'avere' to form compound tenses,"Hai mangiato la pizza.","You have eaten the pizza."
ha mangiato,false,mangiare,he/she/it has eaten / he/she/it ate,"food,eating",indicative,passato_prossimo,3s,masculine,singular,true,used with auxiliary 'avere' to form compound tenses; also 'you (formal)',"Ha mangiato il pranzo.","He has eaten lunch."
ha mangiato,false,mangiare,he/she/it has eaten / he/she/it ate,"food,eating",indicative,passato_prossimo,3s,feminine,singular,true,used with auxiliary 'avere' to form compound tenses; also 'you (formal)',"Ha mangiato il pranzo.","She has eaten lunch."
abbiamo mangiato,false,mangiare,we have eaten / we ate,"food,eating",indicative,passato_prossimo,1p,masculine,plural,true,used with auxiliary 'avere' to form compound tenses,"Abbiamo mangiato insieme.","We have eaten together."
abbiamo mangiato,false,mangiare,we have eaten / we ate,"food,eating",indicative,passato_prossimo,1p,feminine,plural,true,used with auxiliary 'avere' to form compound tenses,"Abbiamo mangiato insieme.","We have eaten together."
avete mangiato,false,mangiare,you (plural) have eaten / you (plural) ate,"food,eating",indicative,passato_prossimo,2p,masculine,plural,true,used with auxiliary 'avere' to form compound tenses,"Avete mangiato tutto.","You (plural) have eaten everything."
avete mangiato,false,mangiare,you (plural) have eaten / you (plural) ate,"food,eating",indicative,passato_prossimo,2p,feminine,plural,true,used with auxiliary 'avere' to form compound tenses,"Avete mangiato tutto.","You (plural) have eaten everything."
hanno mangiato,false,mangiare,they have eaten / they ate,"food,eating",indicative,passato_prossimo,3p,masculine,plural,true,used with auxiliary 'avere' to form compound tenses,"Hanno mangiato le lasagne.","They have eaten the lasagna."
hanno mangiato,false,mangiare,they have eaten / they ate,"food,eating",indicative,passato_prossimo,3p,feminine,plural,true,used with auxiliary 'avere' to form compound tenses,"Hanno mangiato le lasagne.","They have eaten the lasagna."
