term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
hangletoniano,True,hangletoniano,Hangletonian,noun,Hangletonian (masculine),"people,places",,,masculine,singular,,,False,False,False,,,,,demonym noun; from Hangleton UK; initial h is silent,Cerco hangletoniano per l'intervista.,I am looking for a Hangletonian for the interview.
un hangletoniano,False,hangletoniano,Hangletonian,noun,a Hangletonian (masculine),"people,places",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho incontrato un hangletoniano al bar.,I met a Hangletonian at the bar.
l'hangletoniano,False,hangletoniano,Hangletonian,noun,the Hangletonian (masculine),"people,places",,,masculine,singular,,,False,False,False,definite,l',l',,before vowel; initial h is silent,L'hangletoniano parla bene italiano.,The Hangletonian speaks Italian well.
hangletoniani,False,hangletoniano,Hangletonian,noun,Hangletonians (masculine),"people,places",,,masculine,plural,,,False,False,False,,,,,plural form,Hangletoniani lavorano qui.,Hangletonians work here.
gli hangletoniani,False,hangletoniano,Hangletonian,noun,the Hangletonians (masculine),"people,places",,,masculine,plural,,,False,False,False,definite,gli,gli,,,Gli hangletoniani sono cordiali.,The Hangletonians are friendly.
degli hangletoniani,False,hangletoniano,Hangletonian,noun,some Hangletonians (masculine),"people,places",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Ho conosciuto degli hangletoniani ieri.,I met some Hangletonians yesterday.
dell'hangletoniano,False,hangletoniano,Hangletonian,noun,of the Hangletonian (masculine),"people,places",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',La casa dell'hangletoniano è lontana.,The Hangletonian's house is far.
all'hangletoniano,False,hangletoniano,Hangletonian,noun,to the Hangletonian (masculine),"people,places",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Parlo all'hangletoniano.,I speak to the Hangletonian.
agli hangletoniani,False,hangletoniano,Hangletonian,noun,to the Hangletonians (masculine),"people,places",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Scrivo agli hangletoniani.,I write to the Hangletonians.
dall'hangletoniano,False,hangletoniano,Hangletonian,noun,from the Hangletonian (masculine),"people,places",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Ho ricevuto una mail dall'hangletoniano.,I received an email from the Hangletonian.
dagli hangletoniani,False,hangletoniano,Hangletonian,noun,from the Hangletonians (masculine),"people,places",,,masculine,plural,,,False,False,False,articulated_preposition,gli,dagli,da,contraction of da + gli,Ricevo notizie dagli hangletoniani.,I get news from the Hangletonians.
nell'hangletoniano,False,hangletoniano,Hangletonian,noun,in the Hangletonian (masculine),"people,places",,,masculine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',Ho fiducia nell'hangletoniano.,I have faith in the Hangletonian.
negli hangletoniani,False,hangletoniano,Hangletonian,noun,in the Hangletonians (masculine),"people,places",,,masculine,plural,,,False,False,False,articulated_preposition,gli,negli,in,contraction of in + gli,Credo negli hangletoniani.,I believe in the Hangletonians.
sull'hangletoniano,False,hangletoniano,Hangletonian,noun,about the Hangletonian (masculine),"people,places",,,masculine,singular,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',Leggo un articolo sull'hangletoniano.,I am reading an article about the Hangletonian.
sugli hangletoniani,False,hangletoniano,Hangletonian,noun,about the Hangletonians (masculine),"people,places",,,masculine,plural,,,False,False,False,articulated_preposition,gli,sugli,su,contraction of su + gli,Leggo notizie sugli hangletoniani.,I read news about the Hangletonians.
con l'hangletoniano,False,hangletoniano,Hangletonian,noun,with the Hangletonian (masculine),"people,places",,,masculine,singular,,,False,False,False,articulated_preposition,l',con l',con,preposition + article; no contraction,Parlo con l'hangletoniano.,I speak with the Hangletonian.
con gli hangletoniani,False,hangletoniano,Hangletonian,noun,with the Hangletonians (masculine),"people,places",,,masculine,plural,,,False,False,False,articulated_preposition,gli,con gli,con,preposition + article; no contraction,Lavoro con gli hangletoniani.,I work with the Hangletonians.
hangletoniana,False,hangletoniano,Hangletonian,noun,Hangletonian (feminine),"people,places",,,feminine,singular,,,False,False,False,,,,,demonym noun; from Hangleton UK; initial h is silent,Cerco hangletoniana per il progetto.,I am looking for a Hangletonian for the project.
un'hangletoniana,False,hangletoniano,Hangletonian,noun,a Hangletonian (feminine),"people,places",,,feminine,singular,,,False,False,False,indefinite,una,un',,before vowel; initial h is silent,Ho incontrato un'hangletoniana in stazione.,I met a Hangletonian at the station.
l'hangletoniana,False,hangletoniano,Hangletonian,noun,the Hangletonian (feminine),"people,places",,,feminine,singular,,,False,False,False,definite,l',l',,before vowel; initial h is silent,L'hangletoniana sorride.,The Hangletonian smiles.
hangletoniane,False,hangletoniano,Hangletonian,noun,Hangletonians (feminine),"people,places",,,feminine,plural,,,False,False,False,,,,,plural form,Hangletoniane arrivano oggi.,Hangletonian women arrive today.
le hangletoniane,False,hangletoniano,Hangletonian,noun,the Hangletonians (feminine),"people,places",,,feminine,plural,,,False,False,False,definite,le,le,,,Le hangletoniane partecipano alla gara.,The Hangletonian women are taking part in the race.
delle hangletoniane,False,hangletoniano,Hangletonian,noun,some Hangletonians (feminine),"people,places",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho invitato delle hangletoniane.,I invited some Hangletonian women.
dell'hangletoniana,False,hangletoniano,Hangletonian,noun,of the Hangletonian (feminine),"people,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',La casa dell'hangletoniana è grande.,The Hangletonian woman's house is big.
all'hangletoniana,False,hangletoniano,Hangletonian,noun,to the Hangletonian (feminine),"people,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Telefono all'hangletoniana.,I call the Hangletonian woman.
alle hangletoniane,False,hangletoniano,Hangletonian,noun,to the Hangletonians (feminine),"people,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Scrivo alle hangletoniane.,I write to the Hangletonian women.
dall'hangletoniana,False,hangletoniano,Hangletonian,noun,from the Hangletonian (feminine),"people,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Torno dall'hangletoniana.,I am coming back from the Hangletonian woman.
dalle hangletoniane,False,hangletoniano,Hangletonian,noun,from the Hangletonians (feminine),"people,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Ricevo aiuto dalle hangletoniane.,I receive help from the Hangletonian women.
nell'hangletoniana,False,hangletoniano,Hangletonian,noun,in the Hangletonian (feminine),"people,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',Confido nell'hangletoniana.,I trust in the Hangletonian woman.
nelle hangletoniane,False,hangletoniano,Hangletonian,noun,in the Hangletonians (feminine),"people,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Credo nelle hangletoniane.,I believe in the Hangletonian women.
sull'hangletoniana,False,hangletoniano,Hangletonian,noun,about the Hangletonian (feminine),"people,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',Leggo un articolo sull'hangletoniana.,I am reading an article about the Hangletonian woman.
sulle hangletoniane,False,hangletoniano,Hangletonian,noun,about the Hangletonians (feminine),"people,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Leggo notizie sulle hangletoniane.,I read news about the Hangletonian women.
con l'hangletoniana,False,hangletoniano,Hangletonian,noun,with the Hangletonian (feminine),"people,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',con l',con,preposition + article; no contraction,Parlo con l'hangletoniana.,I speak with the Hangletonian woman.
con le hangletoniane,False,hangletoniano,Hangletonian,noun,with the Hangletonians (feminine),"people,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,preposition + article; no contraction,Lavoro con le hangletoniane.,I work with the Hangletonian women.
