text	pronunciation	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	italian_audio_hash	english_audio_hash	italian_audio_duration_ms	english_audio_duration_ms
prego	PREH-goh	pregare	VERB	I pray; I beg	45	4.3e-05	114	0.000109	pregare	VERB	V	root	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	412bb6ca-609f-5e5d-8b5a-090900563fca	84cf052a-df3f-597e-a5cf-35a2793b0b66	e6f325c2252598ffd64a2c51d0716ecdb7facbcac8741385e3e6367d797388b1	951bd89cfc3b4e8f616831724a96a3e18826946af0ea2d3cd5b4e5626805c91d	1248.0	
pregare	preh-GAH-reh	pregare	VERB	to pray; to beg	14	1.3e-05	114	0.000109	pregare	VERB	V	xcomp	VerbForm=Inf	887d7166-fb98-5b64-b88f-db419ab1a911	84cf052a-df3f-597e-a5cf-35a2793b0b66	70e261f45660888d4cef4bc12f023c9d804fd0d1bdb7196b264e95f0b00485c3	521ae633a73d6cc9c111668cde7158be58b64b15903bc3cc2c051b4a10476c02	1392.0	
prega	PREH-gah	pregare	VERB	he/she/it prays; he/she/it begs	12	1.1e-05	114	0.000109	pregare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	b60c512f-ab6e-548b-9217-25f0907da71b	84cf052a-df3f-597e-a5cf-35a2793b0b66	da589b87132163b62c1c3997dc3d359018e477d48cffed542918d72457be42b0	e34738ceb2132f9af05547b9fcd4fad881bf2c1f903da7201dec6f71e81917a5	1248.0	
pregando	preh-GAHN-doh	pregare	VERB	praying; beging	9	9e-06	114	0.000109	pregare	VERB	V	root	VerbForm=Ger	8177787b-4bdd-56d9-a86a-41d0f5fa1d12	84cf052a-df3f-597e-a5cf-35a2793b0b66	1d871fba43dc4ceb677f9826944ac86088cbd57fd1f72ddf750cb6c57f0740fc	b852afbf4d5424925b2c9aaff615b80ad72a51aa42dc027a5b810ab8cfa61f7c	1512.0	
pregato	preh-GAH-toh	pregare	VERB	prayed; beged	6	6e-06	114	0.000109	pregare	VERB	V	root	Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part	b8fcb4a1-4e42-59e3-b2d7-ee81c63c24d7	84cf052a-df3f-597e-a5cf-35a2793b0b66	617595c6ac6acabb2969037c3a1f861aced73ee144574e6652313823d57812d4	b66d63d1e3db6df59365f9421ce6918413c374d99bdeb9160b5c85d7d555f23f	1464.0	
pregheremo	preh-geh-REH-moh	pregare	VERB	we pray; we beg (plural)	6	6e-06	114	0.000109	pregare	VERB	V	root	Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin	2320eb64-ea7b-59b3-ab2e-6801eb2380c5	84cf052a-df3f-597e-a5cf-35a2793b0b66	437501e57d1481341bcf62596d8e32f316bd0c3eb2fb0267ac3e42057ff1037c	4ffb17e95049f26e6b117edf4b02ea509655cd8cf0d3b66dea4b8ee732119978		
pregò	preh-GOH	pregare	VERB	he/she/it prayed; he/she/it beged	5	5e-06	114	0.000109	pregare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin	a137c850-1bb0-5603-9d5c-e6facccdfd32	84cf052a-df3f-597e-a5cf-35a2793b0b66	8d12d26446ac503ef631c9b4c10c74d752bd7bda581e13e8a25919b5938d6def	66eb02517dbf3dec9de2205d82a5820e9a95339620f19feb4e5d0bc3d37587fe		
pregavo	preh-GAH-voh	pregare	VERB	I prayed; I beged	4	4e-06	114	0.000109	pregare	VERB	V	root	Mood=Ind|Number=Sing|Person=1|Tense=Imp|VerbForm=Fin	f7fedb4d-d4bf-5930-874a-e40f09b86140	84cf052a-df3f-597e-a5cf-35a2793b0b66	64960da6c905e2ea25cf0f868b4df6b7e4393f8437578699128865b84e8463f5	60eb6ff86581b3d0c8883c77a1426a56716edb6c9dedb1644d7dd937290c6e58		
pregati	preh-GAH-tee	pregare	VERB	prayed; beged (plural)	3	3e-06	114	0.000109	pregare	VERB	V	root	Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part	a2078884-7a9b-575a-ad09-f720dd5052bb	84cf052a-df3f-597e-a5cf-35a2793b0b66	7afbad8e036834bccb1c3fbded6746c6425a2bc0d68f8bc70a3228b1ed522dc2	58ca77c686653bc4c379bb4b2f39b7673fef5e303d073864a77a3da9fd650606	1440.0	
pregai	PREH-geye	pregare	VERB	I prayed; I beged	2	2e-06	114	0.000109	pregare	VERB	V	conj	Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin	d4a6e15d-1533-5b44-b075-f77cf8fb92fc	84cf052a-df3f-597e-a5cf-35a2793b0b66	3ede7dd9b5f76e3a1aaaeb66085d7be8ec14b24f2cadf90f0e277c7e9af9c2f5	60eb6ff86581b3d0c8883c77a1426a56716edb6c9dedb1644d7dd937290c6e58		
