text	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	xpos	deprel	feats	token_hash	group_hash	group	sentence_1_it	sentence_1_en	sentence_2_it	sentence_2_en	sentence_3_it	sentence_3_en
sta	stare	AUX	he/she/it be; he/she/it stay	8414	0.00263	16279	0.005089	VA	aux	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	42aeca36-dfa1-58a0-afe2-dd652f5d8015	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	Sta piovendo.	It is raining.	Un certo signor Jones la sta aspettando fuori.	A Mr Jones is waiting for you outside.	Ziri sta cercando nuove rotte commerciali.	Ziri is seeking new trade routes.
stava	stare	AUX	he/she/it was; he/she/it was staying	2176	0.00068	16279	0.005089	VA	aux	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin	b2de74c9-33f3-5012-a6f1-72e7e5fad2f3	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	Tom stava indossando una maschera per nascondere la sua identità.	Tom was wearing a mask to conceal his identity.	Lo sapevi che Tom stava assumendo della cocaina?	Did you know that Tom was using cocaine?	Che stava facendo Tom quaggiù?	What was Tom doing down here?
stanno	stare	AUX	they be; they stay	1738	0.000543	16279	0.005089	VA	aux	Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin	94b937cd-286b-5680-ba5b-cbc53cce309d	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	I treni stanno andando in orario.	Trains are running on schedule.	Stanno tutti parlando di lui.	Everyone is talking about him.	Loro cosa stanno facendo per festeggiare il suo compleanno?	What are they doing to celebrate her birthday?
stai	stare	AUX	you be; you stay	1607	0.000502	16279	0.005089	VA	aux	Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin	ac01316b-f10c-5174-b841-cfa2d5dc9f72	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	Sam, cosa stai facendo?	Sam, what are you doing?	Mi stai facendo del male, Jamal.	You're hurting me, Jamal.	Mi stai annoiando!	You are boring me!
stiamo	stare	AUX	we be; we stay	1073	0.000335	16279	0.005089	VA	aux	Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin	a9d1225b-a05a-5f3c-a461-0a7e5e14877a	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	Stiamo suonando con il computer.	We're playing with the computer.	Perché stiamo ancora parlando di questo?	Why are we still talking about this?	Tu sai dove stiamo andando?	Do you know where we're going?
stavano	stare	AUX	they was; they was staying	419	0.000131	16279	0.005089	VA	aux	Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin	81879692-2c79-5f5a-a3a0-5e0c7ef1b08a	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	I soldati stavano sparando contro la gente.	The soldiers were shooting at the people.	Stavano litigando.	They were arguing.	Ti stavano guardando tutti.	Everyone was looking at you.
stavamo	stare	AUX	we was; we was staying	215	6.7e-05	16279	0.005089	VA	aux	Mood=Ind|Number=Plur|Person=1|Tense=Imp|VerbForm=Fin	3f10e47c-dd42-5d29-91f7-943e07955e40	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	Ci stavamo aspettando molta neve.	We were expecting a lot of snow.	Questo è il libro di cui stavamo parlando io e Tom.	This is the book Tom and I were talking about.	Stavamo cercando di proteggerla.	We were trying to protect her.
stavi	stare	AUX	you was; you was staying	175	5.5e-05	16279	0.005089	VA	aux	Mood=Ind|Number=Sing|Person=2|Tense=Imp|VerbForm=Fin	074f6824-5d6a-5ad9-8404-6c2699186e05	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	Cosa stavi cercando?	What were you looking for?	Stavi guidando?	Were you driving?	Stavi zoppicando.	You were limping.
stavate	stare	AUX	you (plural) be; you (plural) stay	165	5.2e-05	16279	0.005089	VA	aux	Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin	d783beeb-2eb9-504e-9bf2-02a567e5ad8a	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	Questi sono i bicchieri che stavate cercando?	Are these the glasses you were looking for?	Cosa stavate dicendo?	What were you saying?	Stavate insegnando il berbero.	You were teaching Berber.
stesse	stare	AUX	he/she/it was; he/she/it was staying	161	5e-05	16279	0.005089	VA	aux	Mood=Sub|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin	976acc3f-a443-54c9-a347-85531be04519	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	Ma, a causa dei suoi vestiti turchi, gli astronomi non credevano che stesse dicendo la verità.	But, because he was dressed in the Turkish way, the astronomers did not believe he was telling the truth.	Tom pensava che Mary stesse dormendo.	Tom thought Mary was asleep.	Pensavo che Tom stesse scherzando.	I thought Tom was joking.
stiano	stare	AUX	they be; they stay	62	1.9e-05	16279	0.005089	VA	aux	Mood=Sub|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin	fde6ea1e-acc8-5a3d-8a2b-1d129c680414	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	Mi chiedo se Tom e Mary stiano dormendo.	I wonder if Tom and Mary are asleep.	Pensa che Tom e Mary stiano mangiando ora?	Do you think Tom and Mary are eating now?	Pensate che Tom e Mary stiano mentendo?	Do you think Tom and Mary are lying?
stare	stare	AUX	be; stay	52	1.6e-05	16279	0.005089	VA	aux	VerbForm=Inf	a65e15e5-038d-5203-9043-611c0232ef0d	e467eced-3037-5cbb-bc7d-26495c4bad0b	lemma=stare, pos=AUX	Io sono abituato a stare seduto fino a tarda notte.	I am used to sitting up late at night.	Tom è abituato a stare alzato per tutta la notte.	Tom is used to staying up all night.	Tom è abituato a stare alzato fino a tardi.	Tom is used to staying up late.
