term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
adulto,True,adulto,adult,noun,adult,"people,age",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco adulto responsabile.,I am looking for a responsible adult.,a3696111c8d49e389a2920e0f8ce9626d518e705aa3fdd506de156cbb095ca61,e54ca4d68f6c616c12895bb59539a4acef1708aaee08576d86a9527f70f1af82,1104.0,1416.0,ah-DOOL-toh
un adulto,False,adulto,adult,noun,a n adult,"people,age",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Vedo un adulto alla porta.,I see an adult at the door.,f5a904885af0841ac2ae29d83674cc6725d80122ca00790f248f62c3474e322e,09d4e9f8c563d58d086c118c73f28351cd5e295b07df44227c3bf8a4f7aad040,1584.0,1584.0,OON ah-DOOL-toh
l'adulto,False,adulto,adult,noun,the adult,"people,age",,,masculine,singular,,,False,False,False,definite,l',l',,before vowels,L'adulto paga il biglietto intero.,The adult pays the full ticket.,03f9e438d72a5e60cfa892c071cab0223b1e5cd57b6823cb5e98febdd8f0ab94,5c1899dbaa01150443876fd064674a11755c51070875bf822ff47f295ac9bd07,1272.0,1488.0,lah-DOOL-toh
adulti,False,adulto,adult,noun,adults,"people,age",,,masculine,plural,,,False,False,False,,,,,plural form,Adulti e bambini entrano gratis lunedì.,Adults and children enter for free on Monday.,96d419478cbf0f97e33d0176475773e0ec09a3f7bed48cc6013a99894800acc7,10170682d43d9fdd9d81693113a6763d040a9cc3812a193124bea08604447f1f,1200.0,1392.0,ah-DOOL-tee
gli adulti,False,adulto,adult,noun,the adults,"people,age",,,masculine,plural,,,False,False,False,definite,gli,gli,,before vowels,Gli adulti parlano tra loro.,Adults talk among themselves.,3ae1a50b97a04cffeb68bd4ba2d9251294f22f7230624520fdf9e0e724a907ab,6db1b8d14ee8f12f5308db1b07d4fc78f969cdbdafc7cb594785079ad9eb7c8c,1368.0,1704.0,LY ah-DOOL-tee
degli adulti,False,adulto,adult,noun,some adults,"people,age",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form; before vowels,Cerchiamo degli adulti volontari.,We are looking for some adult volunteers.,1c6092ac130ff27d85f7ae7a62c2dc0088939c90fcc981d8b91a12dfc686034b,c8a852589e820acdb1330e56f887f5d04ee834557d931c6b65b4ee270c996ef2,1488.0,1728.0,DEH-ly ah-DOOL-tee
dell'adulto,False,adulto,adult,noun,of the adult,"people,age",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',Il parere dell'adulto conta.,The adult's opinion counts.,3774b17d81e5ac3df62067820f09f3dee74367cdc1e04b1e692da6853529fdee,00d3c413eba98f31477baceb5e301a7a8c76f33b3f90ef121239fa726622e30b,1392.0,1680.0,deh-llah-DOOL-toh
all'adulto,False,adulto,adult,noun,to the adult,"people,age",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Parlo all'adulto responsabile.,I speak to the responsible adult.,a4241d7ab192c98b38563deacb323941cbc990615858f98e43649c25d5a9f34a,1b3c07db4c807359e3788da1b8d6c1ed56815402a0e7d6870511f6dff9d3ab6d,1368.0,1608.0,ah-llah-DOOL-toh
dall'adulto,False,adulto,adult,noun,from the adult,"people,age",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Il bambino impara dall'adulto.,The child learns from the adult.,0bcfa4c1fa7b23a5124451690510004dbbcaf416c48f06b7338d240c0a098410,bb0d3438eb127a97e804319e2965c95105e53d07b9435e51cbb401e36db44143,1464.0,1704.0,dah-llah-DOOL-toh
nell'adulto,False,adulto,adult,noun,in the adult,"people,age",,,masculine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',La malattia è rara nell'adulto.,The disease is rare in the adult.,f4a700ef0d3caf2b262d8e50d3b84b673634ab32f5b13088028d0d000eebe8ab,52d1b8bd9e11fc1c08ede6c2c228fa9e843e2fd888c8ad461046cb156708b686,1368.0,1704.0,neh-llah-DOOL-toh
sull'adulto,False,adulto,adult,noun,on the adult,"people,age",,,masculine,singular,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',Metto la benda sull'adulto ferito.,I put the bandage on the injured adult.,1de91bc951e8b21790d775a72e4a44d3afb81337055ccd892267cf271f162733,743211f73585bcfad3657ac94296307bb4bd2d4f8ce575872a9cfb83926dfffd,1368.0,1752.0,soo-llah-DOOL-toh
con l'adulto,False,adulto,adult,noun,with the adult,"people,age",,,masculine,singular,,,False,False,False,articulated_preposition,l',con l',con,preposition + l',Parlo con l'adulto.,I speak with the adult.,ad10c93e3dccbb9d56766c8713ef272da32152c898b14c4640f69762e8014549,a7b8ca2323211286d46e7a4cefe544f5cc5f18780309d004aec36c68338cc004,1440.0,1680.0,KOHN lah-DOOL-toh
agli adulti,False,adulto,adult,noun,to the adults,"people,age",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Spiego le regole agli adulti.,I explain the rules to the adults.,da5a4b9db2d1fd30396e3bfd9d73bbdd9b6ad7c34b82981c2dc271bff2c8f2f3,bd9a1adbc28b10e9645dae0983f4902a604befe18bd5281956bff2e058bb3d52,1464.0,1680.0,AH-ly ah-DOOL-tee
dagli adulti,False,adulto,adult,noun,from the adults,"people,age",,,masculine,plural,,,False,False,False,articulated_preposition,gli,dagli,da,contraction of da + gli,I ragazzi sono aiutati dagli adulti.,The kids are helped by the adults.,06121faf422b6abf8c981fed62dbd278cf997f8e0902e0ca7384ff223777012e,efbd9166234d86b1227b8f11741627c2a818540098ec320b1968cd95957e6c37,1560.0,1776.0,DAH-ly ah-DOOL-tee
negli adulti,False,adulto,adult,noun,in the adults,"people,age",,,masculine,plural,,,False,False,False,articulated_preposition,gli,negli,in,contraction of in + gli,Il farmaco funziona meglio negli adulti.,The drug works better in adults.,8e22e14e1c3e40a36ab60c8a9e41ac62a1712515c0391cd4b26540d576a64d2a,2ce89052559ed33bcb4e05d313279d3f91d4cc7b4a2efb0936384caf45312f02,1488.0,1752.0,NEH-ly ah-DOOL-tee
sugli adulti,False,adulto,adult,noun,on the adults,"people,age",,,masculine,plural,,,False,False,False,articulated_preposition,gli,sugli,su,contraction of su + gli,Lo studio si concentra sugli adulti.,The study focuses on adults.,58ef571cf220c0400b9e379ab063cf144672402a382cd932df4c6990c78eb3dc,abe18aaa4fa6d441ee4b05985fbce12a7b74a425277cfe4af74c27a4dee3fc18,1488.0,1848.0,SOO-ly ah-DOOL-tee
con gli adulti,False,adulto,adult,noun,with the adults,"people,age",,,masculine,plural,,,False,False,False,articulated_preposition,gli,con gli,con,preposition + article,Lavoro con gli adulti ogni giorno.,I work with adults every day.,667d03f612605d46bf9e860499eab5c8e2144e410a7da8ad379af7a72c4a0e45,eb7314ab30874811e6bf9da370232961980b29f5903323c3e9c87f81fa1ddf01,1536.0,1776.0,KOHN LY ah-DOOL-tee
