term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
uscita,True,uscita,exit,noun,exit,"travel,places",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco uscita vicina.,I am looking for a nearby exit.
un'uscita,False,uscita,exit,noun,an exit,"travel,places",,,feminine,singular,,,False,False,False,indefinite,un',un',,feminine singular before vowel,C'è un'uscita a destra.,There is an exit on the right.
l'uscita,False,uscita,exit,noun,the exit,"travel,places",,,feminine,singular,,,False,False,False,definite,l',l',,definite article before vowel,L'uscita è chiusa.,The exit is closed.
uscite,False,uscita,exit,noun,exits,"travel,places",,,feminine,plural,,,False,False,False,,,,,plural form,Uscite di sicurezza sono segnalate.,Emergency exits are marked.
le uscite,False,uscita,exit,noun,the exits,"travel,places",,,feminine,plural,,,False,False,False,definite,le,le,,,Le uscite sono dietro.,The exits are behind.
delle uscite,False,uscita,exit,noun,some exits,"travel,places",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho visto delle uscite laterali.,I saw some side exits.
dell'uscita,False,uscita,exit,noun,of the exit,"travel,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',La mappa dell'uscita è chiara.,The map of the exit is clear.
all'uscita,False,uscita,exit,noun,to the exit,"travel,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Ci vediamo all'uscita.,We will meet at the exit.
alle uscite,False,uscita,exit,noun,to the exits,"travel,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Aggiungono luci alle uscite.,They add lights to the exits.
dall'uscita,False,uscita,exit,noun,from the exit,"travel,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Esco dall'uscita principale.,I exit from the main exit.
dalle uscite,False,uscita,exit,noun,from the exits,"travel,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,La gente defluisce dalle uscite.,People stream out of the exits.
nell'uscita,False,uscita,exit,noun,in the exit,"travel,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',C'è una luce nell'uscita.,There is a light in the exit.
nelle uscite,False,uscita,exit,noun,in the exits,"travel,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Ci sono code nelle uscite.,There are lines in the exits.
sull'uscita,False,uscita,exit,noun,about the exit,"travel,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',C'è un cartello sull'uscita.,There is a sign about the exit.
sulle uscite,False,uscita,exit,noun,about the exits,"travel,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Le informazioni sono sulle uscite.,The information is about the exits.
con l'uscita,False,uscita,exit,noun,with the exit,"travel,places",,,feminine,singular,,,False,False,False,articulated_preposition,l',con l',con,preposition + elided article,Abbiamo problemi con l'uscita.,We have problems with the exit.
con le uscite,False,uscita,exit,noun,with the exits,"travel,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,preposition + article,Lavoriamo con le uscite di sicurezza.,We work with the emergency exits.
