term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
notte,True,notte,night,noun,night,"time,calendar",,,feminine,singular,,,False,False,False,,,,,base lemma; feminine noun,Notte lunga per tutti.,Long night for everyone.
una notte,False,notte,night,noun,a night,"time,calendar",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Ho dormito una notte lì.,I slept one night there.
la notte,False,notte,night,noun,the night,"time,calendar",,,feminine,singular,,,False,False,False,definite,la,la,,,La notte è silenziosa.,The night is quiet.
notti,False,notte,night,noun,nights,"time,calendar",,,feminine,plural,,,False,False,False,,,,,plural form,Notti tranquille passano in fretta.,Calm nights pass quickly.
le notti,False,notte,night,noun,the nights,"time,calendar",,,feminine,plural,,,False,False,False,definite,le,le,,,Le notti sono lunghe.,The nights are long.
delle notti,False,notte,night,noun,some nights,"time,calendar",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ricordo delle notti felici.,I remember some happy nights.
della notte,False,notte,night,noun,of the night,"time,calendar",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il silenzio della notte mi calma.,The silence of the night calms me.
alla notte,False,notte,night,noun,to the night,"time,calendar",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Brindiamo alla notte.,We toast to the night.
alle notti,False,notte,night,noun,to the nights,"time,calendar",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Brindo alle notti d'estate.,I toast to summer nights.
dalla notte,False,notte,night,noun,from the night,"time,calendar",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Esco dalla notte e vedo l'alba.,I come out from the night and see the dawn.
dalle notti,False,notte,night,noun,from the nights,"time,calendar",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Imparo dalle notti passate.,I learn from past nights.
nella notte,False,notte,night,noun,in the night,"time,calendar",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Cammino nella notte.,I walk in the night.
nelle notti,False,notte,night,noun,in the nights,"time,calendar",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Studio nelle notti tranquille.,I study in the quiet nights.
sulla notte,False,notte,night,noun,on the night,"time,calendar",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Cala il silenzio sulla notte.,Silence falls on the night.
sulle notti,False,notte,night,noun,on the nights,"time,calendar",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Scrivo poesie sulle notti.,I write poems on the nights.
con la notte,False,notte,night,noun,with the night,"time,calendar",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction with con + la,Con la notte arriva il freddo.,With the night the cold arrives.
con le notti,False,notte,night,noun,with the nights,"time,calendar",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction with con + le,Con le notti lunghe leggiamo di più.,With the long nights we read more.
