token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO100	0	buonasera	buonasera	linguistic	_	Begin=0.296	_	_	_	_
0-1	BO100	0	a	a	linguistic	_	_	_	_	_	_
0-2	BO100	0	tutti,	tutti	linguistic	Intonation=weakly_rising	End=1.73	_	_	_	_
1-0	BO100	1	<cominciamo	cominciamo	linguistic	_	Begin=1.991	_	Slow=0-10	_	_
1-1	BO100	1	con	con	linguistic	_	_	_	Slow=0-3	_	_
1-2	BO100	1	la	la	linguistic	_	_	_	Slow=0-2	_	_
1-3	BO100	1	nostra>,	nostra	linguistic	Intonation=weakly_rising	_	_	Slow=0-6	_	_
1-4	BO100	1	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
1-5	BO100	1	settima	settima	linguistic	_	_	_	_	_	_
1-6	BO100	1	lezione,	lezione	linguistic	Intonation=weakly_rising	_	_	_	_	_
1-7	BO100	1	del	del	linguistic	_	_	_	_	_	_
1-8	BO100	1	corso	corso	linguistic	_	_	_	_	_	_
1-9	BO100	1	di	di	linguistic	_	_	_	_	_	_
1-10	BO100	1	teoria	teoria	linguistic	_	_	_	_	_	_
1-11	BO100	1	e	e	linguistic	_	_	_	_	_	_
1-12	BO100	1	tecnica	tecnica	linguistic	_	_	_	_	_	_
1-13	BO100	1	dei	dei	linguistic	_	_	_	_	_	_
1-14	BO100	1	nuovi	nuovi	linguistic	_	_	_	_	_	_
1-15	BO100	1	media,	media	linguistic	Intonation=weakly_rising	End=8.596	_	_	_	_
2-0	BO100	2	sempre	sempre	linguistic	_	Begin=11.118	_	_	_	_
2-1	BO100	2	tutti	tutti	linguistic	_	_	_	_	_	_
2-2	BO100	2	molto	molto	linguistic	_	_	_	_	_	_
2-3	BO100	2	numerosi,	numerosi	linguistic	Intonation=weakly_rising	_	_	_	_	_
2-4	BO100	2	comincio	comincio	linguistic	_	_	_	_	_	_
2-5	BO100	2	come::	come	linguistic	_	_	3x2	_	_	_
2-6	BO100	2	come	come	linguistic	_	_	_	_	_	_
2-7	BO100	2	di	di	linguistic	_	_	_	_	_	_
2-8	BO100	2	consueto,	consueto	linguistic	Intonation=weakly_rising	_	_	_	_	_
2-9	BO100	2	mi	mi	linguistic	_	_	_	_	_	_
2-10	BO100	2	s:entite?	sentite	linguistic	Intonation=Rising	End=17.076	0x1	_	_	_
3-0	BO100	3	comincio	comincio	linguistic	_	Begin=20.666	_	_	_	_
3-1	BO100	3	come	come	linguistic	_	_	_	_	_	_
3-2	BO100	3	di	di	linguistic	_	_	_	_	_	_
3-3	BO100	3	consueto,	consueto	linguistic	Intonation=weakly_rising	_	_	_	_	_
3-4	BO100	3	con:	con	linguistic	_	_	2x1	_	_	_
3-5	BO100	3	alcune:	alcune	linguistic	_	_	5x1	_	_	_
3-6	BO100	3	indicazioni	indicazioni	linguistic	_	_	_	_	_	_
3-7	BO100	3	logistiche,	logistiche	linguistic	Intonation=weakly_rising	_	_	_	_	_
3-8	BO100	3	dovreste	dovreste	linguistic	_	_	_	_	_	_
3-9	BO100	3	aver	aver	linguistic	_	_	_	_	_	_
3-10	BO100	3	ricevuto	ricevuto	linguistic	_	_	_	_	_	_
3-11	BO100	3	tutti	tutti	linguistic	_	_	_	_	_	_
3-12	BO100	3	una	una	linguistic	_	_	_	_	_	_
3-13	BO100	3	mail	mail	linguistic	_	_	_	_	_	_
3-14	BO100	3	ma:	ma	linguistic	_	_	1x1	_	_	_
3-15	BO100	3	repetita	repetita	linguistic	_	_	_	_	_	_
3-16	BO100	3	iuvant,	iuvant	linguistic	Intonation=weakly_rising	End=29.483	_	_	_	_
4-0	BO100	4	e	e	linguistic	_	Begin=29.595	_	_	_	_
4-1	BO100	4	quindi	quindi	linguistic	_	_	_	_	_	_
4-2	BO100	4	ci	ci	linguistic	_	_	_	_	_	_
4-3	BO100	4	torno	torno	linguistic	_	_	_	_	_	_
4-4	BO100	4	su,	su	linguistic	Intonation=weakly_rising	_	_	_	_	_
4-5	BO100	4	domani	domani	linguistic	_	_	_	_	_	_
4-6	BO100	4	e	e	linguistic	_	_	_	_	_	_
4-7	BO100	4	dopodomani	dopodomani	linguistic	_	_	_	_	_	_
4-8	BO100	4	non	non	linguistic	_	_	_	_	_	_
4-9	BO100	4	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
4-10	BO100	4	ci	ci	linguistic	_	_	_	_	_	_
4-11	BO100	4	sarà	sarà	linguistic	_	_	_	_	_	_
4-12	BO100	4	la	la	linguistic	_	_	_	_	_	_
4-13	BO100	4	lezione,	lezione	linguistic	Intonation=weakly_rising	_	_	_	_	_
4-14	BO100	4	sarò	sarò	linguistic	_	_	_	_	_	_
4-15	BO100	4	impegnato	impegnato	linguistic	_	_	_	_	_	_
4-16	BO100	4	in	in	linguistic	_	_	_	_	_	_
4-17	BO100	4	un	un	linguistic	_	_	_	_	_	_
4-18	BO100	4	convegno,	convegno	linguistic	Intonation=weakly_rising	_	_	_	_	_
4-19	BO100	4	fuori	fuori	linguistic	_	_	_	_	_	_
4-20	BO100	4	bologna,	bologna	linguistic	Intonation=weakly_rising	End=37.36	_	_	_	_
5-0	BO100	5	queste	queste	linguistic	_	Begin=37.745	_	_	_	_
5-1	BO100	5	due	due	linguistic	_	_	_	_	_	_
5-2	BO100	5	lezioni	lezioni	linguistic	_	_	_	_	_	_
5-3	BO100	5	saranno	saranno	linguistic	_	_	_	_	_	_
5-4	BO100	5	recuperate	recuperate	linguistic	_	_	_	_	_	_
5-5	BO100	5	in	in	linguistic	_	_	_	_	_	_
5-6	BO100	5	coda	coda	linguistic	_	_	_	_	_	_
5-7	BO100	5	al	al	linguistic	_	_	_	_	_	_
5-8	BO100	5	corso,	corso	linguistic	Intonation=weakly_rising	_	_	_	_	_
5-9	BO100	5	nell'	nell'	linguistic	SpaceAfter=No	_	_	_	_	_
5-10	BO100	5	ultima	ultima	linguistic	_	_	_	_	_	_
5-11	BO100	5	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
5-12	BO100	5	settimana	settimana	linguistic	_	_	_	_	_	_
5-13	BO100	5	di	di	linguistic	_	_	_	_	_	_
5-14	BO100	5	dicembre	dicembre	linguistic	_	_	_	_	_	_
5-15	BO100	5	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
5-16	BO100	5	prima	prima	linguistic	_	_	_	_	_	_
5-17	BO100	5	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
5-18	BO100	5	della	della	linguistic	_	_	_	_	_	_
5-19	BO100	5	pausa	pausa	linguistic	_	_	_	_	_	_
5-20	BO100	5	natalizia.	natalizia	linguistic	Intonation=Falling	End=45.201	_	_	_	_
6-0	BO100	6	altro	altro	linguistic	_	Begin=45.928	_	_	_	_
6-1	BO100	6	avviso	avviso	linguistic	_	_	_	_	_	_
6-2	BO100	6	che	che	linguistic	_	_	_	_	_	_
6-3	BO100	6	vi	vi	linguistic	_	_	_	_	_	_
6-4	BO100	6	ho	ho	linguistic	_	_	_	_	_	_
6-5	BO100	6	già	già	linguistic	_	_	_	_	_	_
6-6	BO100	6	comunicato,	comunicato	linguistic	Intonation=weakly_rising	_	_	_	_	_
6-7	BO100	6	è	è	linguistic	_	_	_	_	_	_
6-8	BO100	6	la	la	linguistic	_	_	_	_	_	_
6-9	BO100	6	presenza	presenza	linguistic	_	_	_	_	_	_
6-10	BO100	6	invece,	invece	linguistic	Intonation=weakly_rising	_	_	_	_	_
6-11	BO100	6	nella	nella	linguistic	_	_	_	_	_	_
6-12	BO100	6	lezione	lezione	linguistic	_	_	_	_	_	_
6-13	BO100	6	di	di	linguistic	_	_	_	_	_	_
6-14	BO100	6	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
6-15	BO100	6	mercoledi	mercoledi	linguistic	_	_	_	_	_	_
6-16	BO100	6	prossimo,	prossimo	linguistic	Intonation=weakly_rising	_	_	_	_	_
6-17	BO100	6	di	di	linguistic	_	_	_	_	_	_
6-18	BO100	6	mario	mario	linguistic	_	_	_	_	_	_
6-19	BO100	6	rossi.	rossi	linguistic	Intonation=Falling	End=53.72	_	_	_	_
7-0	BO100	7	un	un	linguistic	_	Begin=54.006	_	_	_	_
7-1	BO100	7	professionista	professionista	linguistic	_	_	_	_	_	_
7-2	BO100	7	che	che	linguistic	_	_	_	_	_	_
7-3	BO100	7	ci	ci	linguistic	_	_	_	_	_	_
7-4	BO100	7	racconterá::	racconterá	linguistic	_	_	9x2	_	_	_
7-5	BO100	7	una	una	linguistic	_	_	_	_	_	_
7-6	BO100	7	serie	serie	linguistic	_	_	_	_	_	_
7-7	BO100	7	di:	di	linguistic	_	_	1x1	_	_	_
7-8	BO100	7	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
7-9	BO100	7	e:	e	linguistic	_	_	0x1	_	_	_
7-10	BO100	7	questioni::	questioni	linguistic	_	_	8x2	_	_	_
7-11	BO100	7	molto	molto	linguistic	_	_	_	_	_	_
7-12	BO100	7	concrete	concrete	linguistic	_	_	_	_	_	_
7-13	BO100	7	e	e	linguistic	_	_	_	_	_	_
7-14	BO100	7	operative,	operative	linguistic	Intonation=weakly_rising	_	_	_	_	_
7-15	BO100	7	ma	ma	linguistic	ProsodicLink=Yes	_	_	_	_	_
7-16	BO100	7	anche	anche	linguistic	_	_	_	_	_	_
7-17	BO100	7	per	per	linguistic	_	_	_	_	_	_
7-18	BO100	7	certi	certi	linguistic	_	_	_	_	_	_
7-19	BO100	7	versi	versi	linguistic	_	_	_	_	_	_
7-20	BO100	7	utili	utili	linguistic	_	_	_	_	_	_
7-21	BO100	7	da	da	linguistic	_	_	_	_	_	_
7-22	BO100	7	un	un	linguistic	_	_	_	_	_	_
7-23	BO100	7	punto	punto	linguistic	_	_	_	_	_	_
7-24	BO100	7	di	di	linguistic	_	_	_	_	_	_
7-25	BO100	7	vista	vista	linguistic	_	_	_	_	_	_
7-26	BO100	7	più	più	linguistic	_	_	_	_	_	_
7-27	BO100	7	teorico	teorico	linguistic	_	_	_	_	_	_
7-28	BO100	7	e	e	linguistic	_	_	_	_	_	_
7-29	BO100	7	concettuale,	concettuale	linguistic	Intonation=weakly_rising	End=65.876	_	_	_	_
8-0	BO100	8	legate	legate	linguistic	_	Begin=66.153	_	_	_	_
8-1	BO100	8	al	al	linguistic	_	_	_	_	_	_
8-2	BO100	8	marketing	marketing	linguistic	_	_	_	_	_	_
8-3	BO100	8	digitale.	digitale	linguistic	Intonation=Falling	End=68.2	_	_	_	_
9-0	BO100	9	a:l	al	linguistic	_	Begin=68.3	0x1	_	_	_
9-1	BO100	9	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
9-2	BO100	9	a	a	linguistic	_	_	_	_	_	_
9-3	BO100	9	qualche	qualche	linguistic	_	_	_	_	_	_
9-4	BO100	9	anno	anno	linguistic	_	_	_	_	_	_
9-5	BO100	9	fa	fa	linguistic	_	_	_	_	_	_
9-6	BO100	9	si	si	linguistic	_	_	_	_	_	_
9-7	BO100	9	chiamava	chiamava	linguistic	_	_	_	_	_	_
9-8	BO100	9	web	web	linguistic	_	_	_	_	_	_
9-9	BO100	9	marketing,	marketing	linguistic	Intonation=weakly_rising	_	_	_	_	_
9-10	BO100	9	ma	ma	linguistic	_	_	_	_	_	_
9-11	BO100	9	che	che	linguistic	_	_	_	_	_	_
9-12	BO100	9	adesso	adesso	linguistic	_	_	_	_	_	_
9-13	BO100	9	non	non	linguistic	_	_	_	_	_	_
9-14	BO100	9	passa	passa	linguistic	_	_	_	_	_	_
9-15	BO100	9	più	più	linguistic	_	_	_	_	_	_
9-16	BO100	9	soltanto	soltanto	linguistic	_	_	_	_	_	_
9-17	BO100	9	dal	dal	linguistic	_	_	_	_	_	_
9-18	BO100	9	web.	web	linguistic	Intonation=Falling	End=74.27	_	_	_	_
10-0	BO100	10	ma	ma	linguistic	_	Begin=74.343	_	_	_	_
10-1	BO100	10	più	più	linguistic	_	_	_	_	_	_
10-2	BO100	10	in	in	linguistic	_	_	_	_	_	_
10-3	BO100	10	generale	generale	linguistic	_	_	_	_	_	_
10-4	BO100	10	da	da	linguistic	_	_	_	_	_	_
10-5	BO100	10	tutti	tutti	linguistic	_	_	_	_	_	_
10-6	BO100	10	quelli	quelli	linguistic	_	_	_	_	_	_
10-7	BO100	10	spazi	spazi	linguistic	_	_	_	_	_	_
10-8	BO100	10	digitali	digitali	linguistic	_	_	_	_	_	_
10-9	BO100	10	che	che	linguistic	_	_	_	_	_	_
10-10	BO100	10	stiamo	stiamo	linguistic	_	_	_	_	_	_
10-11	BO100	10	affrontando	affrontando	linguistic	_	_	_	_	_	_
10-12	BO100	10	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
10-13	BO100	10	in	in	linguistic	_	_	_	_	_	_
10-14	BO100	10	queste::	queste	linguistic	_	_	5x2	_	_	_
10-15	BO100	10	in	in	linguistic	_	_	_	_	_	_
10-16	BO100	10	queste	queste	linguistic	_	_	_	_	_	_
10-17	BO100	10	lezioni	lezioni	linguistic	_	_	_	_	_	_
10-18	BO100	10	che::	che	linguistic	_	_	2x2	_	_	_
10-19	BO100	10	che	che	linguistic	_	_	_	_	_	_
10-20	BO100	10	passiamo	passiamo	linguistic	_	_	_	_	_	_
10-21	BO100	10	assieme.	assieme	linguistic	Intonation=Falling	End=83.09	_	_	_	_
11-0	BO100	11	quindi	quindi	linguistic	_	Begin=83.145	_	_	_	_
11-1	BO100	11	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
11-2	BO100	11	domani	domani	linguistic	_	_	_	_	_	_
11-3	BO100	11	e	e	linguistic	_	_	_	_	_	_
11-4	BO100	11	dopodomani	dopodomani	linguistic	_	_	_	_	_	_
11-5	BO100	11	niente	niente	linguistic	_	_	_	_	_	_
11-6	BO100	11	lezioni,	lezioni	linguistic	Intonation=weakly_rising	_	_	_	_	_
11-7	BO100	11	riprendiamo	riprendiamo	linguistic	_	_	_	_	_	_
11-8	BO100	11	il	il	linguistic	_	_	_	_	_	_
11-9	BO100	11	nostro	nostro	linguistic	_	_	_	_	_	_
11-10	BO100	11	percorso	percorso	linguistic	_	_	_	_	_	_
11-11	BO100	11	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
11-12	BO100	11	martedì	martedì	linguistic	_	_	_	_	_	_
11-13	BO100	11	prossimo.	prossimo	linguistic	Intonation=Falling	_	_	_	_	_
11-14	BO100	11	con	con	linguistic	_	_	_	_	_	_
11-15	BO100	11	una	una	linguistic	_	_	_	_	_	_
11-16	BO100	11	noiosa	noiosa	linguistic	_	_	_	_	_	_
11-17	BO100	11	lezione	lezione	linguistic	_	_	_	_	_	_
11-18	BO100	11	tenuta	tenuta	linguistic	_	_	_	_	_	_
11-19	BO100	11	dal	dal	linguistic	_	_	_	_	_	_
11-20	BO100	11	sottoscritto,	sottoscritto	linguistic	Intonation=weakly_rising	End=91.541	_	_	_	_
12-0	BO100	12	mercoledì	mercoledì	linguistic	_	Begin=92.24	_	_	_	_
12-1	BO100	12	prossimo	prossimo	linguistic	_	_	_	_	_	_
12-2	BO100	12	abbiamo	abbiamo	linguistic	_	_	_	_	_	_
12-3	BO100	12	un	un	linguistic	_	_	_	_	_	_
12-4	BO100	12	ospite,	ospite	linguistic	Intonation=weakly_rising	_	_	_	_	_
12-5	BO100	12	e	e	linguistic	_	_	_	_	_	_
12-6	BO100	12	poi	poi	linguistic	_	_	_	_	_	_
12-7	BO100	12	giovedì	giovedì	linguistic	_	_	_	_	_	_
12-8	BO100	12	continuiamo,	continuiamo	linguistic	Intonation=weakly_rising	_	_	_	_	_
12-9	BO100	12	con	con	linguistic	_	_	_	_	_	_
12-10	BO100	12	e::	e	linguistic	_	_	0x2	_	_	_
12-11	BO100	12	con	con	linguistic	_	_	_	_	_	_
12-12	BO100	12	le	le	linguistic	_	_	_	_	_	_
12-13	BO100	12	nostre	nostre	linguistic	_	_	_	_	_	_
12-14	BO100	12	lezioni.	lezioni	linguistic	Intonation=Falling	End=97.39	_	_	_	_
13-0	BO100	13	tra	tra	linguistic	_	Begin=97.44	_	_	_	_
13-1	BO100	13	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
13-2	BO100	13	altro,	altro	linguistic	Intonation=weakly_rising	_	_	_	_	_
13-3	BO100	13	se	se	linguistic	_	_	_	_	_	_
13-4	BO100	13	tutto	tutto	linguistic	_	_	_	_	_	_
13-5	BO100	13	va	va	linguistic	_	_	_	_	_	_
13-6	BO100	13	bene,	bene	linguistic	Intonation=weakly_rising	_	_	_	_	_
13-7	BO100	13	tra	tra	linguistic	_	_	_	_	_	_
13-8	BO100	13	e::	e	linguistic	_	End=100.615	0x2	_	_	_
14-0	BO100	14	con	con	linguistic	_	Begin=101.275	_	_	_	_
14-1	BO100	14	la	la	linguistic	_	_	_	_	_	_
