term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
racconto,True,racconto,story,noun,story,"media,reading",,,masculine,singular,,,False,False,False,,,,,base lemma,Questo racconto è breve.,This story is short.
un racconto,False,racconto,story,noun,a story,"media,reading",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Leggo un racconto.,I read a story.
il racconto,False,racconto,story,noun,the story,"media,reading",,,masculine,singular,,,False,False,False,definite,il,il,,,Il racconto è lungo.,The story is long.
racconti,False,racconto,story,noun,stories,"media,reading",,,masculine,plural,,,False,False,False,,,,,plural form,Racconti nuovi escono spesso.,New stories come out often.
i racconti,False,racconto,story,noun,the stories,"media,reading",,,masculine,plural,,,False,False,False,definite,i,i,,,I racconti sono interessanti.,The stories are interesting.
dei racconti,False,racconto,story,noun,some stories,"media,reading",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Leggo dei racconti brevi.,I read some short stories.
del racconto,False,racconto,story,noun,of the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,La fine del racconto sorprende.,The end of the story is surprising.
al racconto,False,racconto,story,noun,to the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Piango al racconto.,I cry at the story.
ai racconti,False,racconto,story,noun,to the stories,"media,reading",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Mi riferisco ai racconti.,I refer to the stories.
dal racconto,False,racconto,story,noun,from the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Capisco dal racconto.,I understand from the story.
dai racconti,False,racconto,story,noun,from the stories,"media,reading",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Imparo dai racconti degli anziani.,I learn from the stories of the elders.
nel racconto,False,racconto,story,noun,in the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Mi perdo nel racconto.,I get lost in the story.
nei racconti,False,racconto,story,noun,in the stories,"media,reading",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Le stesse immagini tornano nei racconti.,The same images return in the stories.
sul racconto,False,racconto,story,noun,about the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo una recensione sul racconto.,I read a review about the story.
sui racconti,False,racconto,story,noun,about the stories,"media,reading",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Parliamo sui racconti.,We talk about the stories.
col racconto,False,racconto,story,noun,with the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Inizio col racconto.,I start with the story.
coi racconti,False,racconto,story,noun,with the stories,"media,reading",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi racconti degli studenti.,We work with student stories.
