english,italian
the time,il tempo / l'ora
how long / how much time,quanto tempo
what time is it,che ore e
the morning,la mattina
noon,mezzogiorno
the afternoon,il pomeriggio
the evening,la sera
the night,la notte
midnight,mezzanotte
a second,un secondo
a minute,un minuto
an hour,un'ora
eight o'clock,le otto
it's eight o'clock,sono le otto
it's one o'clock,è l'una
a quarter past eight,le otto e un quarto
eight fifteen,le otto e quindici
half past eight,le otto e mezzo
a quarter to nine,un quarto alle nove
eight fifty,le otto e cinquanta
ten minutes to nine,le nove meno dieci
eight o'clock in the morning,le otto dela mattino
four o'clock in the afternoon,le quattro del pomeriggio
eight o'clock at night,le otto di sera
sixteen twenty,le sedici e venti
