token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOI041	0	sì	sì	linguistic	none	_	Begin=0.15|End=0.47	_	_	_	_
1-0	TOI041	1	poi	poi	linguistic	none	_	Begin=1.08	_	_	_	_
1-1	TOI041	1	firmo	firmo	linguistic	none	_	_	_	_	_	_
1-2	TOI041	1	dopo.	dopo	linguistic	none	Intonation=Falling	End=1.95	_	_	_	_
2-0	TOR001	2	okay,	okay	linguistic	none	Intonation=WeaklyRising	Begin=2.11	_	_	_	_
2-1	TOR001	2	perfetto	perfetto	linguistic	none	_	End=3.008	_	_	_	_
3-0	TOR001	3	quindi	quindi	linguistic	none	_	Begin=5.943	_	_	_	_
3-1	TOR001	3	è	è	linguistic	none	_	_	_	_	_	_
3-2	TOR001	3	da	da	linguistic	none	_	_	_	_	_	_
3-3	TOR001	3	firmare?	firmare	linguistic	none	Intonation=Rising	_	_	_	_	_
3-4	TOR001	3	te	te	linguistic	none	_	_	_	_	_	_
3-5	TOR001	3	lo	lo	linguistic	none	_	_	_	_	_	_
3-6	TOR001	3	lascio	lascio	linguistic	none	_	_	_	_	_	_
3-7	TOR001	3	in	in	linguistic	none	_	_	_	_	_	_
3-8	TOR001	3	giro?	giro	linguistic	none	Intonation=Rising	End=7.425	_	_	_	_
4-0	TOI041	4	[sì	sì	linguistic	none	_	Begin=7.669	_	_	_	0-2(0)
4-1	TOI041	4	devo	devo	linguistic	none	_	_	_	_	_	0-4(0)
4-2	TOI041	4	firmare	firmare	linguistic	none	_	_	_	_	_	0-7(0)
4-3	TOI041	4	le::,	le	linguistic	none	Intonation=WeaklyRising	_	1x2	_	_	0-2(0)
4-4	TOI041	4	sì	sì	linguistic	none	_	_	_	_	_	0-2(0)
4-5	TOI041	4	sì]	sì	linguistic	none	_	End=9.33	_	_	_	0-2(0)
5-0	TOR001	5	[allora	allora	linguistic	none	_	Begin=7.699	_	_	_	0-6(0)
5-1	TOR001	5	non	non	linguistic	none	_	_	_	_	_	0-3(0)
5-2	TOR001	5	metto	metto	linguistic	none	_	_	_	_	_	0-5(0)
5-3	TOR001	5	via,	via	linguistic	none	Intonation=WeaklyRising	_	_	_	_	0-3(0)
5-4	TOR001	5	okay	okay	linguistic	none	_	_	_	_	_	0-4(0)
5-5	TOR001	5	okay]	okay	linguistic	none	_	End=9.32	_	_	_	0-4(0)
6-0	TOR001	6	solo	solo	linguistic	none	_	Begin=9.401	_	_	_	_
6-1	TOR001	6	per	per	linguistic	none	_	_	_	_	_	_
6-2	TOR001	6	evitare	evitare	linguistic	none	_	_	_	_	_	_
6-3	TOR001	6	che	che	linguistic	none	_	_	_	_	_	_
6-4	TOR001	6	poi	poi	linguistic	none	_	_	_	_	_	_
6-5	TOR001	6	lo	lo	linguistic	none	_	_	_	_	_	_
6-6	TOR001	6	infogno,	infogno	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
6-7	TOR001	6	e	e	linguistic	none	_	_	_	_	_	_
6-8	TOR001	6	non	non	linguistic	none	_	_	_	_	_	_
6-9	TOR001	6	lo	lo	linguistic	none	_	_	_	_	_	_
6-10	TOR001	6	trovo	trovo	linguistic	none	_	_	_	_	_	_
6-11	TOR001	6	più,	più	linguistic	none	Intonation=WeaklyRising	End=12.149	_	_	_	_
7-0	TOI041	7	((ride))	((ride))	nonverbalbehavior	none	_	Begin=12.18|End=12.915	_	_	_	_
8-0	TOR001	8	lasciamolo	lasciamolo	linguistic	none	_	Begin=12.342	_	_	_	_
8-1	TOR001	8	qui,	qui	linguistic	none	Intonation=WeaklyRising	End=12.998	_	_	_	_
9-0	TOR001	9	okay,	okay	linguistic	none	Intonation=WeaklyRising	Begin=13.415|End=14.054	_	_	_	_
10-0	TOR001	10	va	va	linguistic	none	_	Begin=15.525	_	_	_	_
