term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
basso,True,basso,bass,noun,bass,"music,instruments",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco basso usato.,I am looking for a used bass.,c5efbe6f21324109d84548049f46b64dd61b73b2dcccf65359e5e0a1b81166a0,6262d79c17844e9041e692f219eb719be7f2a661100ef1370885d242d2350261,1104.0,1344.0
un basso,False,basso,bass,noun,a bass,"music,instruments",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Compro un basso.,I am buying a bass.,ed1a8b02ba0d5f8bb3c6d957fb8028d84a42c5f7807be5cf5ae8c23c31262876,74b90a2011137fc99d32643dc50a8549184e6fc62d3992de34c6e57bb0e0f453,1224.0,1488.0
il basso,False,basso,bass,noun,the bass,"music,instruments",,,masculine,singular,,,False,False,False,definite,il,il,,,Il basso suona forte.,The bass sounds loud.,647edcec04cb572a65b391fe66d3cd34f4f2e830c656ca3f04c99438e023d9db,84f59b657de6673d89b9eb8b6d5ee8968b1a13c1077d14648632ec66728ba15f,1248.0,1488.0
bassi,False,basso,bass,noun,basses,"music,instruments",,,masculine,plural,,,False,False,False,,,,,plural form,Bassi potenti si sentono ovunque.,Powerful basses are heard everywhere.,78f44d579aa5675347cc7a9ba6579db21e5c43fb2cd798b2b046faa5010c5b09,62a9cee97e850b4512f4d30b265ed5d3ab357f21edfea76940a3ed7f41683d78,1200.0,1344.0
i bassi,False,basso,bass,noun,the basses,"music,instruments",,,masculine,plural,,,False,False,False,definite,i,i,,,I bassi dominano il mix.,The basses dominate the mix.,9bc2b0f83920f17e54cb7e3e675fbc05d5f05a1773543a5463f7e4b7ab9c9dbc,c43bd8ee84131a941fa1e3ac2aced5b9000677131884f2ba0c31ef4f0f5c2688,1344.0,1416.0
dei bassi,False,basso,bass,noun,some basses,"music,instruments",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Aggiungo dei bassi alla traccia.,I add some basses to the track.,0c907fcdc8e1e3178f9cff9d68c16a3e59ecd36bda360ff2d2a4239e0b9431a0,639427caabb9a70052705d724f13d58268de59bfa1a2a407a6b13fa63761fb34,1488.0,1560.0
del basso,False,basso,bass,noun,of the bass,"music,instruments",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il suono del basso è caldo.,The sound of the bass is warm.,bbbcb6594bb1631d399bb0e5b02d9b7a918496abc64cb22b58afa72c6a91b3de,5a84c92c060efeac445aabff0e648c78719c9deebf3928fd7cc8dbd2bbf98ea6,1344.0,1560.0
al basso,False,basso,bass,noun,to the bass,"music,instruments",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Do il microfono al basso.,I give the microphone to the bass player.,8b9cbaa5bb1e02a3feba137f77383d5d482b905476910b6573acee8e46965833,02d78af159297f9cbcfdfaf39cd17074914fbfc777076c661479742103e84a16,1344.0,1488.0
ai bassi,False,basso,bass,noun,to the basses,"music,instruments",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Presto attenzione ai bassi.,I pay attention to the basses.,68180ea9bbe63e5fec1c989a9b1930ff2cd36ea94833e2fc20b929c1a0710f8c,f873a256c77e71a363910bf5b5be901cc9ad18bfcc43c218d315c2c46dcbbcdb,1464.0,1488.0
dal basso,False,basso,bass,noun,from the bass,"music,instruments",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,La melodia parte dal basso.,The melody starts from the bass.,b0c52f71aa9c69fe3d450518687f63d8b35a330f2086809da0a580611ce5a3d7,40f926f7e9609421569e2c72de1957ebe8da2ec5bafc20105830da5b3a8d4bd5,1416.0,1584.0
