token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO092	0	(noi	noi	linguistic	_	Begin=0.0	_	_	0-3(0)	_
0-1	BO092	0	andiamo	andiamo	linguistic	_	_	_	_	0-7(0)	_
0-2	BO092	0	a)	a	linguistic	_	_	_	_	0-1(0)	_
0-3	BO092	0	fare	fare	linguistic	_	_	_	_	_	_
0-4	BO092	0	una	una	linguistic	_	_	_	_	_	_
0-5	BO092	0	rappresentazione	rappresentazione	linguistic	_	_	_	_	_	_
0-6	BO092	0	della	della	linguistic	_	_	_	_	_	_
0-7	BO092	0	realtà	realtà	linguistic	_	End=2.009	_	_	_	_
1-0	BO092	1	e::h	eh	linguistic	_	Begin=2.49	0x2	_	_	_
1-1	BO092	1	che	che	linguistic	_	_	_	_	_	_
1-2	BO092	1	poi	poi	linguistic	_	_	_	_	_	_
1-3	BO092	1	vien	vien	linguistic	_	_	_	_	_	_
1-4	BO092	1	confrontata	confrontata	linguistic	_	_	_	_	_	_
1-5	BO092	1	con	con	linguistic	_	_	_	_	_	_
1-6	BO092	1	la	la	linguistic	_	_	_	_	_	_
1-7	BO092	1	realtà	realtà	linguistic	_	_	_	_	_	_
1-8	BO092	1	stessa.	stessa	linguistic	Intonation=Falling	End=5.0	_	_	_	_
2-0	BO092	2	che	che	linguistic	_	Begin=6.1	_	_	_	_
2-1	BO092	2	significa	significa	linguistic	_	_	_	_	_	_
2-2	BO092	2	questo,	questo	linguistic	Intonation=weakly_rising	_	_	_	_	_
2-3	BO092	2	significa	significa	linguistic	_	_	_	_	_	_
2-4	BO092	2	per	per	linguistic	_	_	_	_	_	_
2-5	BO092	2	esempio	esempio	linguistic	_	_	_	_	_	_
2-6	BO092	2	tutti	tutti	linguistic	_	_	_	_	_	_
2-7	BO092	2	avete	avete	linguistic	_	_	_	_	_	_
2-8	BO092	2	sentito	sentito	linguistic	_	_	_	_	_	_
2-9	BO092	2	xx	x	unknown	_	_	_	_	_	_
2-10	BO092	2	il	il	linguistic	_	_	_	_	_	_
2-11	BO092	2	risca~	risca~	linguistic	Interrupted=Yes	_	_	_	_	_
2-12	BO092	2	scaldamento	scaldamento	linguistic	_	_	_	_	_	_
2-13	BO092	2	globale	globale	linguistic	_	_	_	_	_	_
2-14	BO092	2	giusto?	giusto	linguistic	Intonation=Rising	End=11.211	_	_	_	_
3-0	BO092	3	c'	c'	linguistic	SpaceAfter=No	Begin=12.077	_	_	_	_
3-1	BO092	3	è	è	linguistic	_	_	_	_	_	_
3-2	BO092	3	il	il	linguistic	_	_	_	_	_	_
3-3	BO092	3	riscaldamento	riscaldamento	linguistic	_	_	_	_	_	_
3-4	BO092	3	globale?	globale	linguistic	Intonation=Rising	_	_	_	_	_
3-5	BO092	3	di	di	linguistic	_	_	_	_	_	_
3-6	BO092	3	quanto	quanto	linguistic	_	_	_	_	_	_
3-7	BO092	3	aumenta	aumenta	linguistic	_	_	_	_	_	_
3-8	BO092	3	la	la	linguistic	_	_	_	_	_	_
3-9	BO092	3	temperatura	temperatura	linguistic	_	_	_	_	_	_
3-10	BO092	3	nei	nei	linguistic	_	_	_	_	_	_
3-11	BO092	3	prossimi	prossimi	linguistic	_	_	_	_	_	_
3-12	BO092	3	cinquant'	cinquant'	linguistic	SpaceAfter=No	_	_	_	_	_
3-13	BO092	3	anni,	anni	linguistic	Intonation=weakly_rising	_	_	_	_	_
3-14	BO092	3	cento	cento	linguistic	_	_	_	_	_	_
3-15	BO092	3	anni:	anni	linguistic	_	End=17.2	3x1	_	_	_
4-0	BO092	4	duecento	duecento	linguistic	_	Begin=17.7	_	_	_	_
4-1	BO092	4	anni?	anni	linguistic	Intonation=Rising	End=18.811	_	_	_	_
5-0	BO092	5	non	non	linguistic	_	Begin=20.12	_	_	_	_
5-1	BO092	5	lo	lo	linguistic	_	_	_	_	_	_
5-2	BO092	5	sa	sa	linguistic	_	_	_	_	_	_
