term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
settecento,True,settecento,seven hundred/eighteenth century,noun,eighteenth century,"numbers,history",,,masculine,singular,,,False,False,False,,,,,period name often capitalized; used for the 1700s; invariable form,il settecento è stato un periodo importante.,The eighteenth century was an important period.
un settecento,False,settecento,seven hundred/eighteenth century,noun,an eighteenth-century piece,"numbers,history",,,masculine,singular,,,False,False,False,indefinite,un,un,,rare usage,È un settecento autentico.,It is an authentic eighteenth-century piece.
il settecento,False,settecento,seven hundred/eighteenth century,noun,the eighteenth century,"numbers,history",,,masculine,singular,,,False,False,False,definite,il,il,,period name,Il settecento ha cambiato l'arte.,The eighteenth century changed art.
settecento,False,settecento,seven hundred/eighteenth century,noun,1700s,"numbers,history",,,masculine,plural,,,False,False,False,,,,,invariable plural form,Nei libri settecento indica il secolo.,In books settecento denotes the century.
i settecento,False,settecento,seven hundred/eighteenth century,noun,the 1700s,"numbers,history",,,masculine,plural,,,False,False,False,definite,i,i,,used to refer to the period collectively,I settecento videro grandi cambiamenti.,The 1700s saw big changes.
dei settecento,False,settecento,seven hundred/eighteenth century,noun,some 1700s,"numbers,history",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural; rare usage,Ho trovato riferimenti a dei settecento nei documenti.,I found references to some 1700s in the documents.
del settecento,False,settecento,seven hundred/eighteenth century,noun,of the eighteenth century,"numbers,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'architettura del settecento è elegante.,The architecture of the eighteenth century is elegant.
al settecento,False,settecento,seven hundred/eighteenth century,noun,to the eighteenth century,"numbers,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Al settecento si attribuiscono molte opere.,Many works are attributed to the eighteenth century.
ai settecento,False,settecento,seven hundred/eighteenth century,noun,to the 1700s,"numbers,history",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Ai settecento si dedicano molti studi.,Many studies are devoted to the 1700s.
dal settecento,False,settecento,seven hundred/eighteenth century,noun,from the eighteenth century,"numbers,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Le idee dal settecento influenzano ancora oggi.,Ideas from the eighteenth century still influence today.
dai settecento,False,settecento,seven hundred/eighteenth century,noun,from the 1700s,"numbers,history",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,I documenti dai settecento sono rari.,Documents from the 1700s are rare.
nel settecento,False,settecento,seven hundred/eighteenth century,noun,in the eighteenth century,"numbers,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Nel settecento si sono sviluppate nuove scienze.,In the eighteenth century new sciences developed.
nei settecento,False,settecento,seven hundred/eighteenth century,noun,in the 1700s,"numbers,history",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Nei settecento la musica cambiò molto.,In the 1700s music changed a lot.
sul settecento,False,settecento,seven hundred/eighteenth century,noun,about the eighteenth century,"numbers,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Ho letto un saggio sul settecento.,I read an essay about the eighteenth century.
sui settecento,False,settecento,seven hundred/eighteenth century,noun,about the 1700s,"numbers,history",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ci sono molti libri sui settecento.,There are many books about the 1700s.
col settecento,False,settecento,seven hundred/eighteenth century,noun,with the eighteenth century,"numbers,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Col settecento arrivarono nuove idee.,With the eighteenth century new ideas arrived.
coi settecento,False,settecento,seven hundred/eighteenth century,noun,with the 1700s,"numbers,history",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Coi settecento cambiarono gli stili.,With the 1700s styles changed.
