text	pronunciation	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	italian_audio_hash	english_audio_hash	italian_audio_duration_ms	english_audio_duration_ms
pranzato	prahn-TSAH-toh	pranzare	VERB	had lunch	69	6.6e-05	194	0.000186	pranzare	VERB	V	root	Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part	88b06bd1-cbf2-5c1e-9ec4-a1754e24668b	63b80baf-72c1-5a86-88a8-3368afe4427f	1d7a9f84a4b3bb3d914a3c2877dfe9bb8c78527619eb32a78fe8f33b0ef47c6b	1496234c61752fdb0a17c6226ee98fc909ba2df7808c5af682a808a3d0ef4120		
pranzare	prahn-TSAH-reh	pranzare	VERB	to have lunch	59	5.6e-05	194	0.000186	pranzare	VERB	V	acl	VerbForm=Inf	a0c61a9d-1ea1-56c3-a6a1-191ee24e685a	63b80baf-72c1-5a86-88a8-3368afe4427f	31a715faed4e5c5320107b57b625fc75dcaca7536bfd2eb3c543d65d2e1bfff5	a6a160b770eaadddf168f9e9bb85e9a02ee3ee643f76d92af52fea0aaeb3c8eb		
pranzando	prahn-TSAHN-doh	pranzare	VERB	having lunch	19	1.8e-05	194	0.000186	pranzare	VERB	V	root	VerbForm=Ger	996fa379-f313-5535-9f1b-a210aa951228	63b80baf-72c1-5a86-88a8-3368afe4427f	9753052808ebb3b32fda7b84c892d56661a0dcb73184c311e03ee51f7776e52f	e57e07a23e480fe84c20edb012d4197da516a4120e291236c99a7cfa6e7a85a1		
pranza	PRAHN-tsah	pranzare	VERB	he/she/it has lunch	12	1.1e-05	194	0.000186	pranzare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	30cf9f43-dbe4-564f-8995-e84f5ef7b9dd	63b80baf-72c1-5a86-88a8-3368afe4427f	df4748437527b87ff271f6f81066ab4435196b3be32faa4831398d515d61edb1	b4ac60356e88c4fc3e2e6b5a2fed0e374888f0d053a417c4095dcd1bb7269b5e		
pranziamo	prahn-TSYAH-moh	pranzare	VERB	we have lunch (plural)	9	9e-06	194	0.000186	pranzare	VERB	V	root	Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin	afaba919-87ee-5cd1-8083-27916685ce34	63b80baf-72c1-5a86-88a8-3368afe4427f	4289648d36d9fe146413a570010aec574d9110089b94bbe14e4dd7c52eb80172	3ee739e3d6680d8f6294a230ea60cc6ecf0fc64bbea1a6a4f2b9c63381879dc1		
pranzai	PRAHN-tseye	pranzare	VERB	he/she/it has lunch	6	6e-06	194	0.000186	pranzare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	0ffbc74a-b62c-548a-912d-170977ef9a2b	63b80baf-72c1-5a86-88a8-3368afe4427f	18171242714d97663a6a70b1ff8602b91b12364223d9bbb70f4b896f9126b529	b4ac60356e88c4fc3e2e6b5a2fed0e374888f0d053a417c4095dcd1bb7269b5e		
pranzò	prahn-TSOH	pranzare	VERB	he/she/it has lunch	6	6e-06	194	0.000186	pranzare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	da818078-82af-5d0f-b3c8-ebecfe55f863	63b80baf-72c1-5a86-88a8-3368afe4427f	b898a667ddc80167cd621ed81a8689a8cbc5c40109c12047b1fe7b3a00656f43	b4ac60356e88c4fc3e2e6b5a2fed0e374888f0d053a417c4095dcd1bb7269b5e		
pranzammo	prahn-TSAHM-moh	pranzare	VERB	we have lunch (plural)	4	4e-06	194	0.000186	pranzare	VERB	V	conj	Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin	b1b7b14a-c920-506a-8e5f-7533197554d6	63b80baf-72c1-5a86-88a8-3368afe4427f	4630d051aa5fe85a874998e45cbd1589e0b30e66d83f3743e7e4a6d784aa5415	3ee739e3d6680d8f6294a230ea60cc6ecf0fc64bbea1a6a4f2b9c63381879dc1		
pranzerà	prahn-tseh-RAH	pranzare	VERB	he/she/it will have lunch	3	3e-06	194	0.000186	pranzare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin	8c6e8516-017e-5e1e-ad02-7b01d90ba260	63b80baf-72c1-5a86-88a8-3368afe4427f	d9c632c80216b457fd9d1eb41c05067f935146907867cc607fa6603472e35f2e	2f15f78be65169b2f8e57e804ec88d3d3366a37a3ec55ca86d3c668913b01b00		
pranzarono	prahn-tsah-ROH-noh	pranzare	VERB	they have lunch (plural)	3	3e-06	194	0.000186	pranzare	VERB	V	root	Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin	224bb744-567a-5cb3-b8dc-5b79b73ea207	63b80baf-72c1-5a86-88a8-3368afe4427f	46c19497af1be301a7e936b3490b9f9b732c0f999714d449d50ed722dd822494	cb48eb8bf9a299b323bfc02ca73ad3bf39a81c8406b4ccfdae72489b6f60c875		
pranzi	PRAHN-tsee	pranzare	VERB	I have lunch	2	2e-06	194	0.000186	pranzare	VERB	V	root	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	e644f286-cc95-5203-aeb9-6e9e6bf85323	63b80baf-72c1-5a86-88a8-3368afe4427f	746913958b3a1be0e3cad0c538082069209a223f886dffe1430bc0991c710b18	a308624abcd9598e262bc020a84c2f704e31c13e6a52776496a7bb2a4ff209ac		
pranzate	prahn-TSAH-teh	pranzare	VERB	you (plural) have lunch (plural)	2	2e-06	194	0.000186	pranzare	VERB	V	root	Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin	dc83f2bb-731d-54fb-96b5-2427d202efde	63b80baf-72c1-5a86-88a8-3368afe4427f	9a741adc50d72e36b98b79544fd2f549b79fe371b909de064a6b51f76eebabca	eaa94fcf2db4415117a7ae564421c391afc330c7d20c6bc8df47cb758da2b870		
