gram2_key	count	substr	term_1	term_2	lemma_1	lemma_2	pos_1	pos_2	translation_en
('di_di_ADP', 'dirlo_dire_VERB')	5	di dirlo	di	dirlo	di	dire	ADP	VERB	
('se_se_SCONJ', 'avessi_avere_VERB')	5	se avessi	se	avessi	se	avere	SCONJ	VERB	
('manca_mancare_VERB', 'di_di_ADP')	5	manca di	manca	di	mancare	di	VERB	ADP	
('appena_appena_ADV', 'tornato_tornare_VERB')	5	appena tornato	appena	tornato	appena	tornare	ADV	VERB	
('o_o_CCONJ', 'quello_quello_PRON')	5	o o quello	o	quello	o	quello	CCONJ	PRON	
('cena_cena_NOUN', 'è_essere_AUX')	5	cena è	cena	è	cena	essere	NOUN	AUX	
('lei_lei_PRON', 'domani_domani_ADV')	5	lei domani	lei	domani	lei	domani	PRON	ADV	
('il_il_DET', 'corso_corso_NOUN')	5	il corso	il	corso	il	corso	DET	NOUN	
('avevano_avere_VERB', 'dei_di_ADP')	5	avevano dei	avevano	dei	avere	di	VERB	ADP	
('lei_lei_PRON', 'stia_essere_AUX')	5	lei stia	lei	stia	lei	essere	PRON	AUX	
('tazze_tazza_NOUN', 'da_da_ADP')	5	tazze da	tazze	da	tazza	da	NOUN	ADP	
('leggere_leggere_VERB', 'questo_questo_PRON')	5	leggere questo	leggere	questo	leggere	questo	VERB	PRON	
('cosa_cosa_NOUN', 'da_da_ADP')	5	cosa da	cosa	da	cosa	da	NOUN	ADP	
('mi_mi_PRON', 'prenderò_prendere_VERB')	5	mi prenderò	mi	prenderò	mi	prendere	PRON	VERB	
('possiamo_potere_AUX', 'più_più_ADV')	5	possiamo più	possiamo	più	potere	più	AUX	ADV	
('era_essere_AUX', 'soltanto_soltanto_ADV')	5	era soltanto	era	soltanto	essere	soltanto	AUX	ADV	
('sono_essere_AUX', 'entrambe_entrambi_PRON')	5	sono entrambe	sono	entrambe	essere	entrambi	AUX	PRON	
('preoccupo_preoccupare_VERB', 'per_per_ADP')	5	preoccupo per	preoccupo	per	preoccupare	per	VERB	ADP	
('ha_avere_AUX', 'licenziato_licenziare_VERB')	5	ha licenziato	ha	licenziato	avere	licenziare	AUX	VERB	
('tempo_tempo_NOUN', 'ha_avere_AUX')	5	tempo ha	tempo	ha	tempo	avere	NOUN	AUX	
('persona_persona_NOUN', 'di_di_ADP')	5	persona di	persona	di	persona	di	NOUN	ADP	
('vuoi_volere_AUX', 'ancora_ancora_ADV')	5	vuoi ancora	vuoi	ancora	volere	ancora	AUX	ADV	
('suo_suo_DET', 'talento_talento_NOUN')	5	suo talento	suo	talento	suo	talento	DET	NOUN	
('sangue_sangue_NOUN', 'dappertutto_dappertutto_ADV')	5	sangue dappertutto	sangue	dappertutto	sangue	dappertutto	NOUN	ADV	
('spieghi_spiegare_VERB', 'a_a_ADP')	5		spieghi	a	spiegare	a	VERB	ADP	
('capelli_capello_NOUN', 'sono_essere_AUX')	5	capelli sono	capelli	sono	capello	essere	NOUN	AUX	
('non_non_ADV', 'potevamo_potere_AUX')	5	non potevamo	non	potevamo	non	potere	ADV	AUX	
('non_non_ADV', 'fuma_fumare_VERB')	5	non fuma	non	fuma	non	fumare	ADV	VERB	
('sono_essere_AUX', 'suo_suo_DET')	5	sono suo	sono	suo	essere	suo	AUX	DET	
('telefono_telefono_NOUN', 'cellulare_cellulare_ADJ')	5	telefono cellulare	telefono	cellulare	telefono	cellulare	NOUN	ADJ	
('davvero_davvero_ADV', 'orgoglioso_orgoglioso_ADJ')	5	davvero orgoglioso	davvero	orgoglioso	davvero	orgoglioso	ADV	ADJ	
('un_uno_DET', 'enorme_enorme_ADJ')	5	un enorme	un	enorme	uno	enorme	DET	ADJ	
"('solo_solo_ADV', ""un'_uno_DET"")"	5	solo un'	solo	un'	solo	uno	ADV	DET	
('hanno_avere_AUX', 'portato_portare_VERB')	5	hanno portato	hanno	portato	avere	portare	AUX	VERB	
('trasferito_trasferire_VERB', 'in_in_ADP')	5	trasferito in	trasferito	in	trasferire	in	VERB	ADP	
('parcheggiare_parcheggiare_VERB', 'la_il_DET')	5	parcheggiare la	parcheggiare	la	parcheggiare	il	VERB	DET	
('mie_mio_DET', 'frasi_frase_NOUN')	5	mie frasi	mie	frasi	mio	frase	DET	NOUN	
('di_di_ADP', 'domenica_domenica_NOUN')	5	di domenica	di	domenica	di	domenica	ADP	NOUN	
('è_essere_VERB', 'molta_molto_DET')	5	è molta	è	molta	essere	molto	VERB	DET	
('domande_domanda_NOUN', 'stupide_stupido_ADJ')	5	domande stupide	domande	stupide	domanda	stupido	NOUN	ADJ	
('comprare_comprare_VERB', 'delle_di_ADP')	5	comprare delle	comprare	delle	comprare	di	VERB	ADP	
('un_uno_DET', 'pranzo_pranzo_NOUN')	5	un pranzo	un	pranzo	uno	pranzo	DET	NOUN	
('questo_questo_DET', 'articolo_articolo_NOUN')	5	questo articolo	questo	articolo	questo	articolo	DET	NOUN	
('buon_buono_ADJ', 'consiglio_consiglio_NOUN')	5	buon consiglio	buon	consiglio	buono	consiglio	ADJ	NOUN	
"('sono_essere_AUX', ""nell'_in_ADP"")"	5	sono nell'	sono	nell'	essere	in	AUX	ADP	
('più_più_ADV', 'le_il_DET')	5	più le	più	le	più	il	ADV	DET	
('a_a_ADP', 'sparare_sparare_VERB')	5	ami continuò a sparare	a	sparare	a	sparare	ADP	VERB	
('negozio_negozio_NOUN', 'è_essere_AUX')	5	negozio è	negozio	è	negozio	essere	NOUN	AUX	
