term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
versione,True,versione,version,noun,version,"media,language",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco versione aggiornata.,I am looking for an updated version.
una versione,False,versione,version,noun,a version,"media,language",,,feminine,singular,,,False,False,False,indefinite,una,una,,indefinite singular,Ho una versione diversa.,I have a different version.
la versione,False,versione,version,noun,the version,"media,language",,,feminine,singular,,,False,False,False,definite,la,la,,definite singular,La versione è corretta.,The version is correct.
versioni,False,versione,version,noun,versions,"media,language",,,feminine,plural,,,False,False,False,,,,,plural form,Versioni nuove escono spesso.,New versions come out often.
le versioni,False,versione,version,noun,the versions,"media,language",,,feminine,plural,,,False,False,False,definite,le,le,,definite plural,Le versioni sono pronte.,The versions are ready.
delle versioni,False,versione,version,noun,some versions,"media,language",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Pubblico delle versioni beta.,I publish some beta versions.
della versione,False,versione,version,noun,of the version,"media,language",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il titolo della versione è cambiato.,The title of the version has changed.
alla versione,False,versione,version,noun,to the version,"media,language",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Accedo alla versione online.,I access the online version.
dalla versione,False,versione,version,noun,from the version,"media,language",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Parto dalla versione base.,I start from the basic version.
nella versione,False,versione,version,noun,in the version,"media,language",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Errore nella versione attuale.,Error in the current version.
sulla versione,False,versione,version,noun,about the version,"media,language",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Trovi note sulla versione.,You find notes about the version.
con la versione,False,versione,version,noun,with the version,"media,language",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction with feminine,Lavoro con la versione 2.0.,I work with version 2.0.
alle versioni,False,versione,version,noun,to the versions,"media,language",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Accedo alle versioni precedenti.,I access the previous versions.
dalle versioni,False,versione,version,noun,from the versions,"media,language",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Imparo dalle versioni passate.,I learn from the past versions.
nelle versioni,False,versione,version,noun,in the versions,"media,language",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Ci sono errori nelle versioni vecchie.,There are errors in the old versions.
sulle versioni,False,versione,version,noun,about the versions,"media,language",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Lavoriamo sulle versioni future.,We are working on the future versions.
con le versioni,False,versione,version,noun,with the versions,"media,language",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction with feminine plural,Con le versioni nuove va meglio.,With the new versions it goes better.
