token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO026	0	lei	lei	linguistic	_	Begin=1.73	_	_	_	_
0-1	BO026	0	è	è	linguistic	_	_	_	_	_	_
0-2	BO026	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-3	BO026	0	la	la	linguistic	_	_	_	_	_	_
0-4	BO026	0	sara?	sara	linguistic	Intonation=Rising	End=3.12	_	_	_	_
1-0	BO043	1	sì.	sì	linguistic	Intonation=Falling	Begin=3.12|End=3.488	_	_	_	_
2-0	BO026	2	allora	allora	linguistic	_	Begin=4.1	_	_	_	_
2-1	BO026	2	ho	ho	linguistic	_	_	_	_	_	_
2-2	BO026	2	iniziato	iniziato	linguistic	_	_	_	_	_	_
2-3	BO026	2	a	a	linguistic	_	_	_	_	_	_
2-4	BO026	2	leggere	leggere	linguistic	ProsodicLink=Yes	_	_	_	_	_
2-5	BO026	2	mh	mh	linguistic	_	_	_	_	_	_
2-6	BO026	2	il	il	linguistic	_	_	_	_	_	_
2-7	BO026	2	capitolo,	capitolo	linguistic	Intonation=weakly_rising	End=7.336	_	_	_	_
3-0	BO026	3	mi	mi	linguistic	_	Begin=7.46	_	_	_	_
3-1	BO026	3	sembra	sembra	linguistic	_	_	_	_	_	_
3-2	BO026	3	molto	molto	linguistic	_	_	_	_	_	_
3-3	BO026	3	ben	ben	linguistic	_	_	_	_	_	_
3-4	BO026	3	scritto.	scritto	linguistic	Intonation=Falling	End=9.398	_	_	_	_
4-0	BO026	4	proporrò	proporrò	linguistic	_	Begin=9.788	_	_	_	_
4-1	BO026	4	proprio	proprio	linguistic	_	_	_	_	_	_
4-2	BO026	4	delle	delle	linguistic	_	_	_	_	_	_
4-3	BO026	4	variazioni	variazioni	linguistic	_	_	_	_	_	_
4-4	BO026	4	minime.	minime	linguistic	Intonation=Falling	End=12.12	_	_	_	_
5-0	BO026	5	quello	quello	linguistic	_	Begin=12.173	_	_	_	_
5-1	BO026	5	che	che	linguistic	_	_	_	_	_	_
5-2	BO026	5	non	non	linguistic	_	_	_	_	_	_
5-3	BO026	5	eh	eh	linguistic	_	_	_	_	_	_
5-4	BO026	5	mi	mi	linguistic	_	_	_	_	_	_
5-5	BO026	5	sembrava,	sembrava	linguistic	Intonation=weakly_rising	End=14.22	_	_	_	_
6-0	BO026	6	che	che	linguistic	_	Begin=14.57	_	_	_	_
6-1	BO026	6	fosse:	fosse	linguistic	_	_	4x1	_	_	_
6-2	BO026	6	dov'	dov'	linguistic	SpaceAfter=No	_	_	_	_	_
6-3	BO026	6	è?	è	linguistic	Intonation=Rising	End=15.91	_	_	_	_
7-0	BO026	7	aspetti	aspetti	linguistic	_	Begin=16.783	_	_	_	_
7-1	BO026	7	eh,	eh	linguistic	Intonation=weakly_rising	End=17.71	_	_	_	_
8-0	BO026	8	a:h	ah	linguistic	ProsodicLink=Yes	Begin=19.616	0x1	_	_	_
8-1	BO026	8	m:h	mh	linguistic	_	_	0x1	_	_	_
8-2	BO026	8	ma	ma	linguistic	_	_	_	_	_	_
8-3	BO026	8	è	è	linguistic	_	_	_	_	_	_
8-4	BO026	8	andata	andata	linguistic	_	_	_	_	_	_
8-5	BO026	8	avanti	avanti	linguistic	_	_	_	_	_	_
8-6	BO026	8	o:ltre	oltre	linguistic	_	_	0x1	_	_	_
8-7	BO026	8	quello	quello	linguistic	_	_	_	_	_	_
8-8	BO026	8	che	che	linguistic	_	_	_	_	_	_
8-9	BO026	8	mi	mi	linguistic	_	_	_	_	_	_
8-10	BO026	8	ha	ha	linguistic	_	_	_	_	_	_
8-11	BO026	8	inviato	inviato	linguistic	_	_	_	_	_	_
8-12	BO026	8	eh	eh	linguistic	_	_	_	_	_	_
8-13	BO026	8	mh	mh	linguistic	_	_	_	_	_	_
8-14	BO026	8	il~	il~	linguistic	Interrupted=Yes	_	_	_	_	_
8-15	BO026	8	[non	non	linguistic	_	_	_	_	_	0-3(0)
8-16	BO026	8	ho	ho	linguistic	_	_	_	_	_	0-2(0)
8-17	BO026	8	non	non	linguistic	_	_	_	_	_	0-3(0)
8-18	BO026	8	ho:]	ho	linguistic	_	_	1x1	_	_	0-2(0)
8-19	BO026	8	con	con	linguistic	_	_	_	_	_	_
8-20	BO026	8	me	me	linguistic	_	_	_	_	_	_
8-21	BO026	8	il	il	linguistic	_	_	_	_	_	_
8-22	BO026	8	cartaceo	cartaceo	linguistic	_	_	_	_	_	_
8-23	BO026	8	(che	che	linguistic	_	_	_	_	0-3(0)	_
8-24	BO026	8	mi	mi	linguistic	_	_	_	_	0-2(0)	_
8-25	BO026	8	ha	ha	linguistic	_	_	_	_	0-2(0)	_
8-26	BO026	8	dato	dato	linguistic	_	_	_	_	0-4(0)	_
8-27	BO026	8	l'	l'	linguistic	SpaceAfter=No	_	_	_	0-2(0)	_
8-28	BO026	8	altra	altra	linguistic	_	_	_	_	0-5(0)	_
8-29	BO026	8	volta)	volta	linguistic	_	_	_	_	0-5(0)	_
8-30	BO026	8	(me	me	linguistic	_	_	_	_	0-2(1)	_
8-31	BO026	8	lo	lo	linguistic	_	_	_	_	0-2(1)	_
8-32	BO026	8	dia)	dia	linguistic	_	_	_	_	0-3(1)	_
8-33	BO026	8	per[ché	perché	linguistic	_	_	_	_	_	3-6(1)
8-34	BO026	8	(riguardare,)]	riguardare	linguistic	Intonation=weakly_rising	End=29.701	_	_	0-10(2)	0-10(1)
9-0	BO043	9	[e:h	eh	linguistic	_	Begin=24.378	0x1	_	_	0-2(0)
9-1	BO043	9	qualcosa],	qualcosa	linguistic	Intonation=weakly_rising	End=25.413	_	_	_	0-8(0)
10-0	BO043	10	[ah	ah	linguistic	_	Begin=28.416	_	_	_	0-2(1)
