term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
avere,True,avere,assets/possessions,noun,assets/possessions,"finance,ownership",,,masculine,singular,,,False,False,False,,,,,masculine noun; plural 'averi',In contabilità avere indica il credito.,In accounting avere means the credit side.,0c9270c1504b995d2ed3223bf8041318ffca4a318d7659343a37fe1a6e913812,edf4663d717bef3bff6e65188a24de7062ecdb80165bb0c064419bda57692b00,2544.0,1248.0
un avere,False,avere,assets/possessions,noun,an asset,"finance,ownership",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ha un avere considerevole.,He has a considerable estate.,7e0e562f84fdcedacce9df0af4a8664d0e724e9f2f29b85a18ad53857449a740,6bde1cefb7ded4e5250ec86a566eb8048470127bae8b6f27083d1811474d9005,1224.0,1392.0
l'avere,False,avere,assets/possessions,noun,the assets,"finance,ownership",,,masculine,singular,,,False,False,False,definite,l',l',,before vowel,L'avere è aumentato.,The assets have increased.,ba7c663ba989ee95e0b82d2b86dc91c761b5e93f1c9d26a24fc28498d6f6c30d,bad38921c37b7958b29481d6705072dd4bba533a05cb1eea361f934fbde6e001,1416.0,1320.0
averi,False,avere,assets/possessions,noun,assets,"finance,ownership",,,masculine,plural,,,False,False,False,,,,,plural form,Averi ingenti non garantiscono felicità.,Large assets do not guarantee happiness.,d39b4e4a822f50b01daf40ee3bbb803184eb3b29f1f12252fd2c1a7c25ed0344,90a6066557fcbb57836e616ac92323a678b73c5cc626cac5f2de365f7d692406,1248.0,1248.0
gli averi,False,avere,assets/possessions,noun,the belongings,"finance,ownership",,,masculine,plural,,,False,False,False,definite,gli,gli,,,Gli averi sono assicurati.,The belongings are insured.,ea349d031f07309e19f173142310bdef8a5a94d051f18d52a26e6febe75dba25,f3a8f6e7dcd4afa5718ce3d0ef7f29c6b59dbd8ed7d4296e94de9486352ede7a,1464.0,1536.0
degli averi,False,avere,assets/possessions,noun,some belongings,"finance,ownership",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Ha perso degli averi.,He lost some belongings.,e1b8e5c52f7ca94d8793be36110ad7d396a4c5a2f9c4ac630e2943ea9990ecc2,1b20451f28a45afaeaa51f4bbae4b23e43d95ffb1215e70db16659c78d455390,1608.0,1584.0
dell'avere,False,avere,assets/possessions,noun,of the assets,"finance,ownership",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',L'importo dell'avere è indicato.,The amount of the assets is shown.,c7a1002c993b68202065f3d8ffa767bbef8afc7e0148abb8eba5f7b8dce4940c,c8846e15bac089a9147679390d860e1c9942b93753a7b6fc42481d58e9beb3ce,1536.0,1488.0
all'avere,False,avere,assets/possessions,noun,to the assets,"finance,ownership",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',La somma va all'avere.,The sum goes to the assets.,235268deb7f151af32bd8ecbde241ff694fadb5a6c182c42b5dfb885cf220824,df3a75cd8ce6b9351ef461bc13d2c95199e717249f24b412755275b3928545df,1536.0,1416.0
agli averi,False,avere,assets/possessions,noun,to the belongings,"finance,ownership",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Abbiamo accesso agli averi.,We have access to the belongings.,744c1b30018d566945c43b0e96db5add5b6b2cb5f95e9ad8f2faf2ae8220e342,389f0cc10f58ec4eb74ece83598eb190b563917350088682e40fe0cc2a40a2ec,1584.0,1536.0
dall'avere,False,avere,assets/possessions,noun,from the assets,"finance,ownership",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Si passa dall'avere al dare.,One moves from the assets to the debit.,450edfb9da7fd5c1109f2a6f0a4dcb50d5a2100cf599cb8129f066a20df3e3ae,630680cddb2dda5ee620a621abf065c9a361acfb1146ba3ad6dfb28499c7b846,1608.0,1512.0
