term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
subire,True,subire,to undergo,verb,to undergo,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -ire (-isc-) verb; takes auxiliary avere,Devo subire un'operazione.,I have to undergo an operation.
subendo,False,subire,to undergo,verb,undergoing,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto subendo un intervento.,I am undergoing a surgery.
subito,False,subire,to undergo,verb,undergone,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; masculine singular,L'ho subito.,I suffered it.
subita,False,subire,to undergo,verb,undergone,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; feminine singular,L'ho subita.,I suffered it.
subiti,False,subire,to undergo,verb,undergone,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; masculine plural,Li ho subiti.,I suffered them.
subite,False,subire,to undergo,verb,undergone,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; feminine plural,Le ho subite.,I suffered them.
subisco,False,subire,to undergo,verb,I undergo,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io subisco pressioni al lavoro.,I undergo pressure at work.
subisci,False,subire,to undergo,verb,you undergo,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu subisci troppo stress.,You undergo too much stress.
subisce,False,subire,to undergo,verb,he undergoes/she undergoes/you (formal) undergo,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui subisce molte critiche.,He undergoes a lot of criticism.
subiamo,False,subire,to undergo,verb,we undergo,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi subiamo un controllo.,We undergo a check.
subite,False,subire,to undergo,verb,you (plural) undergo,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi subite ritardi.,You (plural) undergo delays.
subiscono,False,subire,to undergo,verb,they undergo,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro subiscono perdite.,They undergo losses.
subivo,False,subire,to undergo,verb,I was undergoing,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io subivo molte critiche.,I was undergoing a lot of criticism.
subivi,False,subire,to undergo,verb,you were undergoing,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu subivi pressioni ogni giorno.,You were undergoing pressure every day.
subiva,False,subire,to undergo,verb,he was undergoing/she was undergoing/you (formal) were undergoing,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei subiva molte pressioni.,You (formal) were undergoing a lot of pressure.
subivamo,False,subire,to undergo,verb,we were undergoing,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi subivamo ritardi frequenti.,We were undergoing frequent delays.
subivate,False,subire,to undergo,verb,you (plural) were undergoing,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi subivate cambiamenti continui.,You (plural) were undergoing continuous changes.
subivano,False,subire,to undergo,verb,they were undergoing,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro subivano ingiustizie.,They were undergoing injustices.
ho subito,False,subire,to undergo,verb,I have undergone,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'subito',Ho subito un torto.,I have undergone a wrong.
hai subito,False,subire,to undergo,verb,you have undergone,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'subito',Hai subito un danno.,You have undergone a loss.
ha subito,False,subire,to undergo,verb,he has undergone/she has undergone/you (formal) have undergone,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; also used as formal 'Lei',Ha subito un intervento.,He has undergone an operation.
abbiamo subito,False,subire,to undergo,verb,we have undergone,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'subito',Abbiamo subito danni.,We have undergone damages.
avete subito,False,subire,to undergo,verb,you (plural) have undergone,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'subito',Avete subito ritardi.,You (plural) have undergone delays.
hanno subito,False,subire,to undergo,verb,they have undergone,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'subito',Hanno subito perdite.,They have undergone losses.
