term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
dominare,True,dominare,to dominate,verb,to dominate,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; auxiliary avere in compound tenses,Voglio dominare la partita.,I want to dominate the match.
dominando,False,dominare,to dominate,verb,dominating,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto dominando la gara.,I am dominating the race.
dominato,False,dominare,to dominate,verb,dominated,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; masculine singular,L'ho dominato.,I dominated it.
dominata,False,dominare,to dominate,verb,dominated,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; feminine singular,L'ho dominata.,I dominated it.
dominati,False,dominare,to dominate,verb,dominated,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; masculine plural,Li ho dominati.,I dominated them.
dominate,False,dominare,to dominate,verb,dominated,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; feminine plural,Le ho dominate.,I dominated them.
domino,False,dominare,to dominate,verb,I dominate,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io domino il gioco.,I dominate the game.
domini,False,dominare,to dominate,verb,you dominate,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu domini la scena.,You dominate the scene.
domina,False,dominare,to dominate,verb,he dominates/she dominates/you (formal) dominate,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal Lei,Lui domina la partita.,He dominates the match.
dominiamo,False,dominare,to dominate,verb,we dominate,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi dominiamo la partita.,We dominate the match.
dominate,False,dominare,to dominate,verb,you (plural) dominate,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi dominate il campionato.,You dominate the championship.
dominano,False,dominare,to dominate,verb,they dominate,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro dominano il mercato.,They dominate the market.
dominavo,False,dominare,to dominate,verb,I was dominating,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io dominavo la corsa.,I was dominating the race.
dominavi,False,dominare,to dominate,verb,you were dominating,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu dominavi la gara.,You were dominating the race.
dominava,False,dominare,to dominate,verb,he was dominating/she was dominating/you (formal) were dominating,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal Lei,Lui dominava il dibattito.,He was dominating the debate.
dominavamo,False,dominare,to dominate,verb,we were dominating,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi dominavamo il torneo.,We were dominating the tournament.
dominavate,False,dominare,to dominate,verb,you (plural) were dominating,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi dominavate il gioco.,You were dominating the game.
dominavano,False,dominare,to dominate,verb,they were dominating,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro dominavano il torneo.,They were dominating the tournament.
ho dominato,False,dominare,to dominate,verb,I have dominated,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle dominato,Ho dominato la partita.,I have dominated the match.
hai dominato,False,dominare,to dominate,verb,you have dominated,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle dominato,Hai dominato la sfida.,You have dominated the challenge.
ha dominato,False,dominare,to dominate,verb,he has dominated/she has dominated/you (formal) have dominated,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle dominato; also used as formal Lei,Ha dominato la gara.,He has dominated the race.
abbiamo dominato,False,dominare,to dominate,verb,we have dominated,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle dominato,Abbiamo dominato la stagione.,We have dominated the season.
avete dominato,False,dominare,to dominate,verb,you (plural) have dominated,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle dominato,Avete dominato il torneo.,You have dominated the tournament.
hanno dominato,False,dominare,to dominate,verb,they have dominated,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle dominato,Hanno dominato il gruppo.,They have dominated the group.
