english,italian,english_base_term,is_base

moment,momento,moment,true
a moment,un momento,moment,false
the moment,il momento,moment,false
moments,momenti,moment,false

day,giorno,day,true
a day,un giorno,day,false
the day,il giorno,day,false
days,giorni,day,false

week,settimana,week,true
a week,una settimana,week,false
the week,la settimana,week,false
weeks,settimane,weeks,true

month,mese,month,true
a month,un mese,month,false
the month,il mese,month,false
months,mesi,month,false

year,anno,year,true
a year,un anno,year,false
the year,l'anno,year,false
years,anni,year,false

today,oggi,today,true

tomorrow,domani,tomorrow,true

yesterday,ieri,yesterday,true

now,ora / adesso,now,true

not now,non ora / non adesso,not now,true

not yet,non ancora,not yet,true

this year,quest'anno,this year,true

the next year,l'anno prossimo,the next year,true

the last year,l'anno scorso / lanno passato,the last year,true

the other day,l'altro giorno,the other day,true

in two days,fra due giorni / tra due giorni,in two days,true

within two days,entro due giorni,within two days,true

two days ago, due giorni fa,two days ago,true

two times,due volte,two times,true

three times,tre volte,three times,true

one more time / another time,un'altra volta,one more time,true

another time,ancora / di nuovo,another time,true

in time,cotempo,in time,true
on time / on schedule,in orario,on time,true
